	180min_mct1_lfc	180min_mct1_bh
Urea	-1.77316971	1.96E-07
L-Valine	2.389914845	1.31E-06
Putrescine	-2.480998267	3.34E-06
Methylmalonic acid	1.796403046	5.12E-06
Glycine	2.293949993	1.44E-05
Malonic acid	1.887302336	2.52E-05
Fumaric acid	1.60914071	3.51E-05
L-Alanine	4.338117107	4.17E-05
Threonic acid	2.914827146	6.50E-05
D-Malic acid	1.935864764	0.000147372
L-Isoleucine	1.995625428	0.000586921
Citric acid	-2.593905396	0.000794148
L-Lysine	-2.162810354	0.001100978
Xanthurenic acid	1.956634193	0.001705654
L-Glutamic acid	-1.116394204	0.001854925
Orotic acid	-4.307317866	0.003050019
L-Tyrosine	-1.89613968	0.003586183
Ornithine	-5.982165946	0.004305567
Phosphoenolpyruvate	-0.801272478	0.005212245
Thymine	-0.916607034	0.006472019
Adenine	-1.341735936	0.007781414
L-Aspartic acid	1.199008293	0.009430318
2-Hydroxyglutaric acid	2.433352138	0.011745302
Lanosterol	-0.651335365	0.012345175
alpha-D-Glucosamine 1-phosphate	-3.76750574	0.013388699
L-Asparagine	4.244918075	0.01669805
methyl-beta-D-Galactopyranoside	-1.821671621	0.01993448
Glycolic acid	0.656015742	0.021924955
Sorbitol	-0.379398161	0.024492623
O-Phosphoethanolamine	-0.944232286	0.02584688
L-Gulonic acid gamma-lactone	2.117188619	0.027274271
Hypoxanthine	-1.149303676	0.028623073
L-Serine	-0.2596375	0.031637362
D-Threitol	1.356008189	0.032670522
Glycerol	-0.422440762	0.033642989
Galactonic acid	1.176623527	0.035165838
Turanose	1.159577147	0.03955901
Pyroglutamic acid	-0.09942218	0.042708757
Azelaic acid	-0.183123012	0.047196542
Oleic acid	-0.359320226	0.049253381
N-acetyl-Lysine	-2.644987013	0.054345923
Nicotinamide	-0.233269873	0.056300523
Adenosine monophosphate	1.141397659	0.058120005
L-Ascorbic acid	2.552548405	0.064486187
Glutathione	1.833199629	0.066070961
3-Phosphoglyceric acid	-0.85824983	0.067758917
Trehalose	1.085730917	0.070943756
Inosine 5'-monophosphate	-1.409102035	0.073387635
L-Leucine	0.805163996	0.079077594
Ribonic acid-gamma-lactone	0.886644872	0.082521862
D-Glucose	1.521660751	0.086126874
Palmitic acid	0.764368456	0.093647907
Ethanolamine	-0.672045962	0.097738665
Stearic acid	0.90043627	0.099655278
Linoleic acid	-0.372554678	0.102737741
Ethanolamine	-0.467798011	0.110345089
L-Methionine	0.031424696	0.112543682
"fructose-1,6-diphosphate"	1.202991642	0.118707906
Glucose 6-phosphate	-0.20011975	0.123194323
L-Phenylalanine	-0.064282582	0.128680057
Palmitoleic acid	-0.235475317	0.138408912
cis-Aconitic acid	-2.01520502	0.141327124
Elaidic acid	-0.317553327	0.146275447
Phosphatidyl Glycerol	-1.298829804	0.15524946
Glycerol 3-phosphate	0.630891531	0.158613146
Iminodiacetic acid	-0.509086469	0.16176913
1-Octadecene	-0.087137457	0.176138654
2-Hydroxybutyric acid	1.286051188	0.183489262
"1,6-anhydro-Glucose"	0.72941559	0.186947331
1-Palmitoylglycerol	-0.324755626	0.206298454
Sucrose	0.679457569	0.212584448
Myristic acid	-0.271906298	0.21769232
Homoserine	0.931007822	0.221734225
Heptadecanoic acid	0	0.224948549
Isocitric acid	0.772039753	0.231108824
Sophorose	1.37536899	0.237271811
Eicosane	1.105927079	0.245040534
Nonanoic acid	-0.354623501	0.258556951
Ribitol	0.626174319	0.263319933
L-Proline	-0.094609398	0.27661058
Glutamine	-0.489450259	0.28132363
Ergosterol	0.952599193	0.292302284
Glyoxylic acid	0.786894755	0.298275633
Pyruvic acid	-0.019950154	0.302827087
2-Ketoisocaproic acid	0.879216307	0.318301146
D-Ribose-5-phosphate	0.691032747	0.334791647
Guanine	-0.307468258	0.339587016
Beta-Glycerophosphoric acid	-0.781151779	0.351180994
Nitrous Oxide	-0.284111896	0.368041151
Cellobiose	1.270286284	0.388378538
Capric acid	-0.025140753	0.406466127
Benzoic acid	-0.073426225	0.416042543
D-Mannose	0.596490052	0.421885699
Heptanoic acid	-0.170440449	0.432852398
L-Lactic acid	0.548228713	0.439740985
Sedoheptulose 7-phosphate	0.457282599	0.44593297
L-Threonine	0.406654554	0.461790733
Adenosine	0.736395815	0.467700251
1-Steroylglycerol	0.023399362	0.481531584
Phosphate	0.531007686	0.486457183
Arachidic acid	0.452831364	0.505293985
Allantoin	-0.179682525	0.511306536
Unknown acid	-0.027491604	0.539465215
Uracil	0.048854971	0.545294422
Cystathionine	-0.263944704	0.566527835
4-Hydroxyproline	0.056555294	0.587102363
1-Monomyristin	0.079879953	0.6012824
Fructose-6-phosphate	0.073523355	0.609531159
Pyrophosphate	0.693988297	0.645773013
N-acetyl-L-aspartic acid 1	-0.023913316	0.653870649
D-Fructose	0.093642679	0.676445858
Beta-Hydroxyisovaleric acid	0.037483055	0.691522973
Myoinositol	0.196543132	0.69988157
2-Steroylglycerol	0.008838073	0.734843985
Succinic acid	0.336588818	0.747466905
2-Monopalmitoylglycerol	0.439476107	0.77914618
Lauric Acid	0.196716931	0.81441692
L-Sorbose	0.375839962	0.825641197
Inositol phosphate	0.323017907	0.837479779
Inosine	0.309529423	0.900709574
Adipic acid	0.288210068	0.927921607
Beta-Alanine	0.274011478	0.947532504
Arachidonic Acid	0.263634109	0.999616249
