annotation	fc_log2	p-adj				
C00474	0.857462879	7.65E-09				
C00077	-0.84810783	3.22E-08				
UDP GlcNAc	1.176163198	1.94E-07				
C00221	-1.093726866	5.81E-07				
C00025	0.47031405	1.48E-06				
C00097	0.676315159	2.28E-06				
C00429	1.09017364	3.77E-06				
tocopherol alpha	1.136906245	4.82E-06				
C00385	1.347217801	1.87E-05				
C00327	-0.571123868	2.75E-05				
C00315	-0.55962869	3.12E-05				
C01904	0.497203995	4.33E-05				
C00379	0.519232882	4.77E-05				
C00135	-0.630702184	9.26E-05				
C00153	0.477855672	0.000102797				
C02336	-0.421681013	0.000117947				
C00258	0.500730719	0.000144083				
C00047	-1.374980178	0.000172834				
C00645	0.468630833	0.000183534				
C00130	1.785125709	0.000214923				
adenosine-5-phosphate	1.310849716	0.000228557				
C02277	-0.354274066	0.000271477				
C06423	-0.360573208	0.00033643				
C00158	-0.636298204	0.000501045				
C00147	0.541532966	0.000600989				
C00148	0.439027613	0.000637014				
fucose-rhamnose	1.083475984	0.000752443				
C00499	-0.664780978	0.000878199				
C00041	0.294946874	0.00095755				
C00597	-1.085793749	0.001044686				
C01157	0.305911257	0.001126476				
C00116	0.305653692	0.001225158				
C00872	0.329336564	0.001366352				
C06555	-0.697971463	0.001443451				
erythronic acid lactone	-0.556876905	0.001613925				
C00170	0.840279807	0.001734452				
C00836	-0.597481192	0.002385164				
C00106	0.540644717	0.002572302				
erythronic acid	0.314420281	0.002795622				
C00055	0.769034459	0.003001838				
C02479	0.254745248	0.003086555				
C02630	0.679551668	0.003363723				
C00366	0.49603624	0.003458475				
C00257	-0.991490549	0.003750501				
C00245	0.388917561	0.003907708				
C00152	0.231201015	0.004191927				
C00407	0.243870183	0.004716428				
C00219	0.590467272	0.005027144				
C00346	0.529420778	0.00516007				
C01601	-0.272110615	0.005920376				
C03668	0.390367866	0.007328161				
C16537	-0.276059154	0.007486567				
C01879	0.212251017	0.007684847				
C00299	-0.522203945	0.008806056				
C02781	0.534858519	0.01128446				
C01571	-0.237370118	0.011714321				
glycerol-beta-phosphate	0.243143072	0.013247487				
C01991	0.37402911	0.013627837				
C06771	-0.416771708	0.016322219				
C00392	-0.453376646	0.018689217				
C00037	0.152524171	0.019439377				
isothreonic acid	0.305557671	0.02014056				
C00192	-0.315355034	0.022343576				
C00016	0.242577147	0.023686914				
C02989	-0.841770145	0.024643156				
C07113	-0.418884658	0.025601646				
2-phenylpropanol	-0.27239264	0.026710246				
1-monostearin	-0.226174471	0.028190959				
inositol-4-monophosphate	-0.419143754	0.029044532				
C01530	-0.277838822	0.032109113				
