	log2fc	p-val 
C00158	1.394278939	0.012665628
C00221	0.653243768	0.326518995
C00022	-0.062541466	0.692554609
C00049	0.394440595	0.142021774
C00002	-1.181997834	0.104145111
C00026	0.442943496	0.309423425
C00064	-0.070676746	0.531679758
C00025	-0.669851398	0.023994311
C00127	-0.429392792	0.210173577
C00089	0.126830022	0.727564205
C00936	0.11321061	0.702549414
C00497	1.301169535	0.063217353
C00047	0.178803153	0.18973474
C00123	0.339486466	0.56515044
C01970	0.126830022	0.727564205
C00354	-0.533873729	0.074608202
C02336	0.11321061	0.702549414
C00085	-0.153746532	0.554052301
C00010	-1.245306813	0.036937349
C00152	-0.1740294	0.146911661
C00062	-0.090765464	0.326164235
C00041	0.452822162	0.033563829
C00164	0.690044547	0.184730578
C00183	0.529693954	0.387801239
C00122	1.101582776	0.002665504
C00042	1.555566089	0.039402047
C00212	0.461904104	0.19337773
C00294	1.321928095	0.052712799
C00147	0.382145618	0.422732474
C00106	0.592739851	0.302592278
C00262	-0.121990524	0.276087319
