1332	4
2	1	42
2	1	901
2	2	3
2	2	5
2	2	322
2	4	5
2	6	25
2	7	169
2	9	36
2	9	79
2	9	88
2	9	118
2	9	131
2	9	268
2	9	357
2	9	365
2	9	367
2	9	400
2	9	503
2	9	758
2	9	781
2	9	792
2	9	795
2	9	823
2	9	878
2	9	911
2	9	943
2	9	950
2	9	1038
2	9	1281
2	9	1285
2	9	1402
2	9	1569
2	9	1966
2	9	1969
2	9	1973
2	9	1977
2	9	2013
2	9	2016
2	9	2019
2	9	2360
2	9	2514
2	9	2580
2	9	2714
2	9	2849
2	10	51
2	10	224
2	10	236
2	10	552
2	10	2590
2	11	2451
2	13	33
2	13	129
2	14	26
2	14	64
2	14	694
2	15	53
2	15	695
2	17	103
2	17	201
2	17	408
2	17	423
2	18	20
2	18	62
2	18	609
2	18	2509
2	19	49
2	19	231
2	19	1345
2	19	1517
2	19	1561
2	19	1564
2	19	1985
2	20	132
2	20	173
2	21	155
2	21	202
2	21	207
2	21	342
2	21	511
2	21	1335
2	21	1409
2	22	251
2	22	666
2	22	822
2	22	865
2	22	1086
2	22	1270
2	22	1272
2	22	1274
2	22	1276
2	22	1278
2	22	1280
2	22	1991
2	22	2012
2	22	2015
2	22	2018
2	22	2591
2	22	2661
2	22	2662
2	22	2663
2	22	2664
2	23	253
2	23	298
2	23	407
2	23	768
2	23	931
2	23	1026
2	23	1416
2	23	1609
2	23	1743
2	24	232
2	24	309
2	24	666
2	24	881
2	24	1350
2	26	47
2	26	90
2	26	440
2	27	78
2	27	80
2	27	171
2	27	584
2	28	363
2	28	815
2	29	73
2	29	326
2	29	539
2	29	580
2	29	2497
2	29	2576
2	29	2687
2	31	40
2	31	84
2	31	123
2	31	271
2	32	45
2	32	135
2	32	224
2	33	44
2	33	46
2	33	57
2	33	157
2	33	307
2	33	660
2	33	850
2	33	1076
2	33	1332
2	35	114
2	35	223
2	35	323
2	35	324
2	36	213
2	37	506
2	38	79
2	38	107
2	38	187
2	38	236
2	38	602
2	39	167
2	39	1178
2	40	42
2	40	524
2	40	687
2	40	1241
2	41	2542
2	43	320
2	43	776
2	44	127
2	44	236
2	44	399
2	44	2632
2	45	87
2	45	129
2	45	313
2	45	929
2	45	953
2	45	1003
2	45	1070
2	45	1234
2	46	110
2	46	705
2	46	1009
2	46	1334
2	46	2176
2	46	2539
2	46	2610
2	46	2611
2	46	2612
2	46	2613
2	46	2614
2	46	2615
2	46	2616
2	46	2617
2	46	2618
2	46	2619
2	46	2620
2	46	2621
2	46	2623
2	46	2625
2	46	2626
2	46	2627
2	46	2735
2	46	2831
2	47	318
2	48	49
2	48	82
2	48	181
2	50	217
2	50	233
2	50	333
2	50	385
2	50	2477
2	50	2495
2	51	166
2	51	189
2	51	1053
2	51	1389
2	51	1902
2	51	2632
2	52	181
2	53	206
2	54	66
2	54	75
2	54	808
2	54	1003
2	56	264
2	56	829
2	56	956
2	57	67
2	57	144
2	57	550
2	57	873
2	57	900
2	57	919
2	57	1159
2	57	1688
2	58	115
2	58	122
2	58	532
2	58	2700
2	58	2837
2	58	2841
2	58	2865
2	59	278
2	59	940
2	59	1252
2	59	1308
2	59	2594
2	60	138
2	60	182
2	60	2447
2	60	2452
2	60	2732
2	62	132
2	62	296
2	62	628
2	62	852
2	62	933
2	62	2782
2	63	411
2	66	116
2	66	246
2	66	312
2	66	622
2	66	2481
2	67	250
2	67	893
2	67	1022
2	68	142
2	68	483
2	68	1021
2	70	91
2	71	627
2	71	910
2	71	2794
2	72	224
2	72	640
2	72	2361
2	73	157
2	73	329
2	73	1332
2	74	80
2	74	83
2	74	220
2	74	221
2	74	264
2	74	429
2	75	552
2	76	242
2	78	83
2	78	215
2	78	839
2	80	90
2	80	440
2	80	658
2	80	1096
2	81	98
2	81	101
2	81	433
2	81	438
2	81	655
2	81	1082
2	81	2482
2	82	222
2	82	242
2	83	288
2	83	343
2	83	470
2	83	722
2	83	1300
2	84	413
2	85	222
2	85	432
2	85	539
2	85	1154
2	85	1334
2	85	2124
2	87	179
2	87	496
2	87	1401
2	88	994
2	89	1743
2	90	431
2	91	113
2	92	595
2	93	280
2	93	364
2	95	202
2	95	247
2	95	1144
2	95	1392
2	96	157
2	96	1295
2	96	1414
2	96	1572
2	96	1582
2	97	281
2	97	405
2	97	663
