	log2fc	p-adj
ribitol	0.857462879	7.65115e-09
tocopherol alpha	1.136906245	4.82214e-06
arabitol	0.497203995	4.33157e-05
tagatose	-0.421681013	0.000117947
dodecanol	-0.354274066	0.000271477
fucose-rhamnose	1.083475984	0.000752443
allantoic acid	-0.664780978	0.000878199
trans-4-hydroxyproline	0.305911257	0.001126476
aminomalonic acid	0.329336564	0.001366352
biuret	-0.697971463	0.001443451
erythronic acid lactone	-0.556876905	0.001613925
erythronic acid	0.314420281	0.002795622
cytidine-5-monophosphate NIST	0.769034459	0.003001838
arabinose	0.254745248	0.003086555
2-hydroxyglutaric acid	0.679551668	0.003363723
gluconic acid	-0.991490549	0.003750501
pelargonic acid	-0.272110615	0.005920376
glycerol-beta-phosphate	0.243143072	0.013247487
triethanolamine	-0.416771708	0.016322219
mannitol	-0.453376646	0.018689217
isothreonic acid	0.305557671	0.02014056
hydroxylamine	-0.315355034	0.022343576
acetophenone NIST	-0.418884658	0.025601646
2-phenylpropanol NIST	-0.27239264	0.026710246
1-monostearin	-0.226174471	0.028190959
inositol-4-monophosphate	-0.419143754	0.029044532
238267 trisaccharide	0.601411342	0.03931121
1,5-anhydroglucitol	-0.338344248	0.040022875
glycerol-3-galactoside	1.089042751	0.04131462
octadecane-1,12-diol NIST	-0.192029528	0.054898268
azelaic acid	-0.295670818	0.059058275
N-methylalanine	0.208393874	0.062792075
adipic acid	-0.327964345	0.073973389
shikimic acid	0.230208529	0.075351591
homoserine	0.159452671	0.087592179
inositol allo-	-0.288499072	0.105205678
3-phenyllactic acid	0.541229259	0.125342052
methanolphosphate	0.189991771	0.1592688
1-monopalmitin	0.156225142	0.161169378
indole-3-lactate	0.19253182	0.170232153
arachidic acid	-1.812035424	0.184040778
octadecanol	-1.049022285	0.193864474
cysteine-glycine	-0.209360155	0.211915674
galactose-6-phosphate	-0.163492098	0.237908294
isoheptadecanoic acid	-0.100644334	0.261276097
3-aminoisobutyric acid	-0.179596171	0.268788057
gamma-tocopherol	0.221425414	0.274201373
5-aminovaleric acid	0.685248295	0.286770074
2-monopalmitin	-0.23889284	0.304778309
threitol	-0.107031561	0.317372193
hydroxycarbamate NIST	-0.090628653	0.323823535
levoglucosan	-0.16877771	0.36948541
glycerol-alpha-phosphate	0.228439153	0.37885545
behenic acid	-0.106513606	0.38230308
xanthosine	0.120409437	0.411862051
2-hydroxybutanoic acid	-0.109106932	0.447496463
salicylaldehyde	-0.09583416	0.45371809
quinic acid	-0.362192381	0.457769051
dodecane	-0.090948178	0.466463577
2-aminoadipic acid	0.225515399	0.483128876
2-monoolein	0.089193452	0.494286495
ethanol phosphate NIST	0.106718162	0.515107093
dihydroabietic acid	0.120499967	0.527736334
stigmasterol	-0.065649679	0.539949183
erythritol	-0.054408773	0.543898423
5-methoxytryptamine	0.098300907	0.594978747
maleimide	0.064924663	0.608338587
5-hydroxynorvaline NIST	0.043632416	0.61497164
cellobiotol	0.148481234	0.6215931
icosenoic acid	-0.042541432	0.784226267
inositol myo-	0.023029596	0.803432611
conduritol beta epoxide	0.036994545	0.851132506
digalacturonic acid	0.020673211	0.907346528
ribonic acid	-0.001960394	0.994850173
