	180min_mct1_lfc	180min_mct1_bh
Methylmalonic acid	1.796403046	5.12e-06
Malonic acid	1.887302336	2.52e-05
Threonic acid	2.914827146	6.5e-05
Xanthurenic acid	1.956634193	0.001705654
Orotic acid	-4.307317866	0.003050019
2-Hydroxyglutaric acid	2.433352138	0.011745302
alpha-D-Glucosamine 1-phosphate	-3.76750574	0.013388699
methyl-beta-D-Galactopyranoside	-1.821671621	0.01993448
L-Gulonic acid gamma-lactone	2.117188619	0.027274271
D-Threitol	1.356008189	0.032670522
Galactonic acid	1.176623527	0.035165838
Turanose	1.159577147	0.03955901
Azelaic acid	-0.183123012	0.047196542
Oleic acid	-0.359320226	0.049253381
N-acetyl-Lysine	-2.644987013	0.054345923
Trehalose	1.085730917	0.070943756
Ribonic acid-gamma-lactone	0.886644872	0.082521862
Linoleic acid	-0.372554678	0.102737741
Palmitoleic acid	-0.235475317	0.138408912
cis-Aconitic acid	-2.01520502	0.141327124
Phosphatidyl Glycerol	-1.298829804	0.15524946
Iminodiacetic acid	-0.509086469	0.16176913
1-Octadecene	-0.087137457	0.176138654
2-Hydroxybutyric acid	1.286051188	0.183489262
1,6-anhydro-Glucose	0.72941559	0.186947331
1-Palmitoylglycerol	-0.324755626	0.206298454
Sucrose	0.679457569	0.212584448
Myristic acid	-0.271906298	0.21769232
Homoserine	0.931007822	0.221734225
Heptadecanoic acid	0.0	0.224948549
Sophorose	1.37536899	0.237271811
Eicosane	1.105927079	0.245040534
Nonanoic acid	-0.354623501	0.258556951
Ribitol	0.626174319	0.263319933
Ergosterol	0.952599193	0.292302284
D-Ribose-5-phosphate	0.691032747	0.334791647
Beta-Glycerophosphoric acid	-0.781151779	0.351180994
Nitrous Oxide	-0.284111896	0.368041151
Cellobiose	1.270286284	0.388378538
Capric acid	-0.025140753	0.406466127
Benzoic acid	-0.073426225	0.416042543
Heptanoic acid	-0.170440449	0.432852398
1-Steroylglycerol	0.023399362	0.481531584
Arachidic acid	0.452831364	0.505293985
Allantoin	-0.179682525	0.511306536
Unknown acid	-0.027491604	0.539465215
1-Monomyristin	0.079879953	0.6012824
N-acetyl-L-aspartic acid 1	-0.023913316	0.653870649
Beta-Hydroxyisovaleric acid	0.037483055	0.691522973
2-Steroylglycerol	0.008838073	0.734843985
2-Monopalmitoylglycerol	0.439476107	0.77914618
Lauric Acid	0.196716931	0.81441692
L-Sorbose	0.375839962	0.825641197
Adipic acid	0.288210068	0.927921607
Beta-Alanine	0.274011478	0.947532504
