	000min_oar1_lfc	000min_oar1_bh	015min_oar1_lfc	015min_oar1_bh	030min_oar1_lfc	030min_oar1_bh	060min_oar1_lfc	060min_oar1_bh	180min_oar1_lfc	180min_oar1_bh
Urea	-2.727720802	0.000131371	-2.793595917	0.000724535	-1.793853155	4.63E-05	-2.770291777	2.99E-05	-1.779211937	2.15E-07
L-Valine	1.455073243	5.42E-05	-0.412066342	0.011220637	-0.065925515	0.810855555	1.645583233	0.000523991	2.460571515	2.81E-05
Putrescine	-1.552977711	1.77E-05	-1.783470227	0.000353198	-1.541999628	0.001321898	-2.376966909	0.0010256	-2.275724954	6.38E-06
Methylmalonic acid	1.283040164	0.001227765	-0.255904067	0.157585485	-0.084560045	0.679757787	1.541671817	1.27E-06	1.49072776	0.002042276
Glycine	2.535792828	2.57E-05	2.473871439	1.06E-07	2.214120321	0.00041114	2.488717026	5.07E-07	2.37861104	9.52E-06
Malonic acid	1.038727295	0.025473521	0.736624414	0.025384294	0.214339484	0.494538969	-0.001750304	0.996807366	2.180106003	1.24E-06
Fumaric acid	2.481641293	4.36E-06	0.580097413	0.087620124	0.641028475	0.000179509	0.483753036	0.046030501	1.61252471	0.000326301
L-Alanine	2.309107569	7.99E-07	0.356264936	0.010512991	0.233705726	0.206090891	1.46943758	2.13E-06	4.211987639	4.53E-06
Threonic acid	-0.193989116	0.313081991	-0.05155839	0.653049694	0.504135151	0.055883419	1.299478297	0.006419673	3.455436183	8.95E-05
D-Malic acid	2.488517822	0.000193494	1.703368578	0.001091729	1.123130582	0.019416624	0.483718471	0.190391335	1.875480023	0.000450858
L-Isoleucine	1.342778964	0.000166357	0.347868766	0.008712916	-0.000238266	0.991223177	0.371103289	0.05666939	1.644189673	0.000172585
Citric acid	0.099772833	0.75832855	-2.458358917	0.002661027	-2.231045802	0.000116317	-3.858562557	0.00024279	-3.011101135	0.000710898
L-Lysine	-1.850165359	0.005135464	-3.388382603	0.008399077	-2.776639288	0.002685204	-2.828759191	0.001588458	-2.079913693	0.001320478
Xanthurenic acid	1.762935081	0.001431231	0.968191732	0.003246284	0.880760209	0.002245176	1.245884267	0.000861544	2.167083306	0.018823134
