	log2fc	p-adj
PSD1	-0.643557247	1e-10
COX13	-3.120406049	9.36e-10
YDR379C-A	-3.64576622	1.81e-09
COX1	-3.378118682	3.84e-09
YHR033W	-1.596147622	7.82e-09
YDL027C	-1.35452051	1.72e-08
MRPS5	-1.572781576	2.47e-08
ACH1	-2.742380359	3.69e-08
IRC19	-1.800288048	4.98e-08
SNZ3	-1.926627091	6.72e-08
MSS2	-0.255332021	7.61e-08
BI2	-3.409785565	8.32e-08
AI3	-2.187322139	9.72e-08
DOT6	-1.012928048	1.1e-07
SDH4	-2.805884902	1.33e-07
ADH2	1.621291728	1.41e-07
ATP17	-2.473066326	1.55e-07
YPL107W	-1.570194763	1.66e-07
YJR149W	-1.479318109	1.88e-07
MRPL6	-0.817443779	2.1e-07
FYV4	-1.769850598	2.38e-07
SEE1	-0.532998906	2.54e-07
GID7	0.481495894	2.65e-07
FCJ1	-1.463596656	2.84e-07
HTD2	-1.006362613	3.1e-07
AIM33	-1.110623776	3.27e-07
UPS3	-0.988447934	3.44e-07
YGR235C	-1.097591464	3.9e-07
FKS1	-0.55119584	4.5e-07
DSE4	0.793350241	4.96e-07
MMP1	0.76839665	5.13e-07
MRP7	-0.492113826	5.38e-07
MRP51	-1.393998485	5.73e-07
ODC2	-2.070257406	6.06e-07
AHP1	1.525588693	6.25e-07
MSW1	-1.081178448	7.35e-07
DIP5	1.633018726	7.7e-07
PET123	-1.225878172	8.51e-07
RSM23	-1.328335651	8.89e-07
GEP7	-1.382716747	9.23e-07
YJR003C	-0.603303502	1.02e-06
TAM41	-1.042905977	1.06e-06
IRC15	1.128352267	1.31e-06
MRPL49	-1.084377084	1.39e-06
MSC6	-0.563091113	1.45e-06
GTF1	-1.355069401	1.49e-06
COQ9	-1.255083957	1.58e-06
MET17	6.330158287	1.65e-06
PCL7	-0.778341714	1.69e-06
YNL054W-B	-1.505669386	1.72e-06
NUC1	-0.629209199	1.77e-06
HST3	0.671233111	1.82e-06
LEU1	-1.647075997	1.86e-06
MSS51	-1.348940935	1.94e-06
AI1	-2.111282303	2.02e-06
RSM7	-0.859595949	2.08e-06
AIM11	-0.707080769	2.29e-06
MXR1	0.543147454	2.37e-06
PKP2	-0.7215758	2.41e-06
PET112	-0.932408783	2.59e-06
CMC2	-1.027817284	2.68e-06
YLR253W	-0.851007549	2.74e-06
MRPL16	-1.109508218	2.99e-06
NAM9	-1.044254836	3.07e-06
YJR096W	0.634134935	3.23e-06
YDR336W	-1.314798747	3.39e-06
OYE3	-1.708069201	3.44e-06
MRPS12	-1.539646735	3.53e-06
MRPS28	-1.089596188	3.83e-06
MRPL27	-1.092571283	3.89e-06
RSF2	-0.937678569	4e-06
ATO2	1.964374899	4.15e-06
MRP17	-1.038525239	4.23e-06
GAT2	-1.087327475	4.29e-06
COX5A	-2.900544309	4.35e-06
POS5	-0.673707135	4.57e-06
YGL039W	0.552468003	5.03e-06
BRE2	0.253135079	5.1e-06
PDC5	0.575406559	5.18e-06
CAB1	0.503716889	5.3e-06
PTC6	-0.820221214	5.39e-06
MRH4	-1.152468739	5.54e-06
MIA40	-0.98291256	5.66e-06
