	log2FoldChange	FDR
YHR043C	-3.108925725	3.86e-96
YLR303W	7.30981239	4.32e-51
YPR001W	1.499163098	3.99e-44
YPR002W	1.166626882	1.96e-37
YGR234W	-1.388017047	7.26e-36
YER024W	1.121540173	8.640000000000001e-27
YEL071W	1.056304795	8.09e-25
YBR115C	10.92260844	2.7699999999999996e-23
YMR018W	1.502006812	6.39e-22
YAR035W	2.108252082	8.2e-20
YCR010C	1.752797544	8.4e-19
YJR095W	-0.877448853	1.61e-17
YER091C	0.973040323	3.81e-14
YLR267W	1.286399924	8.75e-14
YGR087C	0.985950955	1.03e-13
YPL036W	1.042582815	7.26e-13
YNL014W	1.338399987	9.23e-13
YDL227C	-2.489766462	1.1e-12
YKL187C	0.799280609	2.06e-12
YOR180C	0.909877962	3.62e-12
YPR006C	1.050012053	1.07e-11
YKR016W	-0.546281765	3.04e-11
YLR266C	0.500133254	1.22e-10
YOL101C	-1.214606196	1.26e-10
YHR139C	1.53145734	2.08e-10
YER096W	0.996057039	2.44e-10
YKL182W	-0.92377547	2.71e-10
YPL231W	-1.022660457	5.58e-10
YOL031C	-0.66378089	1.02e-09
YDR223W	0.734074316	1.4e-09
YDL085W	0.934990008	1.58e-09
YPL265W	0.512229988	2.32e-09
YFR026C	-1.062080764	3.59e-09
YJR146W	1.125123681	4.35e-09
YEL067C	0.777412514	1.23e-08
YPL250C	0.901729447	1.67e-08
YOR313C	-2.320057843	2.38e-08
YPL092W	0.533478781	2.5e-08
YMR042W	0.583035425	2.97e-08
YDR256C	0.718530132	3.04e-08
YDR380W	-0.531516655	3.47e-08
YGR157W	-0.760340081	6.71e-08
YFL011W	1.035048221	1.03e-07
YJR150C	2.127025041	1.04e-07
YGL009C	-0.648052735	2.3e-07
YBR105C	0.420280896	6.19e-07
YAL062W	0.733370482	7.85e-07
YBR093C	-0.452758488	8.28e-07
YIL107C	0.383611749	8.97e-07
YMR147W	0.56519113	8.97e-07
YGL184C	1.122729802	1.12e-06
YML120C	-0.365782366	1.34e-06
YJL171C	-0.546373438	2.03e-06
YMR095C	0.823642067	2.78e-06
YMR306W	-0.887624368	3.26e-06
YIL123W	-0.838582295	3.7e-06
YPR192W	1.517283753	4.16e-06
YJL102W	-1.091843149	5.49e-06
YPL274W	0.77443517	5.49e-06
YNL169C	-0.929947636	6.48e-06
YJL206C	0.4030799	6.82e-06
YLR380W	-0.947080144	8.72e-06
YAR035C-A	2.632694688	1.01e-05
YJL035C	-0.582118187	1.3e-05
YOR181W	-0.773694132	1.32e-05
YDL024C	0.486791986	1.37e-05
YLL053C	-1.232726148	1.37e-05
YNR056C	0.667472385	1.42e-05
IRT1	0.641925257	1.47e-05
YKL120W	-0.583337826	1.73e-05
YOR011W	1.005950875	1.75e-05
YLR149C	0.344844467	1.77e-05
YER001W	-0.875685992	1.94e-05
YLR296W	-2.784306271	2.8e-05
YMR056C	0.473001266	3e-05
YMR303C	0.497472605	3.42e-05
YGR239C	0.609747684	3.47e-05
YPR026W	0.541736284	3.54e-05
YEL040W	-0.930996154	3.81e-05
YJL160C	0.766822621	4.2e-05
YNL217W	-0.44990116	4.23e-05
YOR315W	-1.067938139	4.59e-05
YOR128C	0.427860229	4.89e-05
YJL158C	-0.568610183	6.1e-05
YNL191W	0.436549279	6.6e-05
YGR066C	0.715033859	7.41e-05
YML089C	0.895203029	9.13e-05
YHR063C	-0.387124051	9.2e-05
YKR076W	0.378785792	0.000111819
YBL055C	-0.333926838	0.000124462
YBR065C	0.46464379	0.000124462
YGL096W	0.532956856	0.000124462
YCR044C	-0.425965551	0.000126772
YGR250C	-0.316892783	0.000131935
YPL054W	0.476963777	0.000135767
YNL065W	1.024145571	0.000149511
YOR062C	0.589165684	0.000158497
YBL067C	0.309652883	0.000158827
YLR343W	-0.520843531	0.000160482
YBR038W	-0.943390697	0.000174258
YPL026C	0.700425483	0.000237132
YDL186W	0.670926719	0.000250432
YOR314W	-4.373512555	0.000250432
YLR053C	0.71739376	0.000250774
YPL245W	-0.591889263	0.000261079
YNL009W	0.582676107	0.000263127
YLR100W	-0.371014489	0.000264513
YIR018C-A	1.02553578	0.000269597
YDR040C	0.636780978	0.000277931
YPL273W	-0.417133352	0.000346898
TP(AGG)C	4.271270844	0.000387548
YKR067W	0.486321411	0.000405082
YBR175W	-0.797981112	0.000416287
YDR034C	0.285217962	0.000425743
YMR305C	-0.331350352	0.000454127
YPL264C	0.677787439	0.000465703
YGL158W	2.136281992	0.00047281
YBR045C	0.72417712	0.000551348
YAL018C	-2.038944956	0.000585421
YGL012W	-0.361565286	0.000621642
YHR044C	-0.565826663	0.000631599
YCR005C	0.726872149	0.000671371
YKR070W	-0.360915708	0.00067158
YEL035C	1.023537688	0.000683972
YLR132C	-0.448463955	0.000694739
YJR121W	-0.259864029	0.000755551
YER072W	-0.490301636	0.000769119
YLR194C	-0.289932539	0.000867129
YGR065C	0.291410605	0.000919989
YDR281C	-0.768876045	0.000950338
YJL133C-A	0.816699737	0.000957346
YHR106W	0.360276486	0.000995551
YMR316W	-0.455075327	0.001006082
YDR076W	0.419495044	0.001077118
