	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YHR043C	216.7807685	-2.712763433	0.133717016	-20.28734644	1.66E-91	9.91E-88
YOR221C	162.5761853	-3.25470067	0.169076968	-19.24981684	1.42E-82	4.22E-79
YOR383C	271.2623135	1.463944011	0.107196487	13.65664161	1.84E-42	3.66E-39
YGL009C	983.172878	-0.90231179	0.073845611	-12.21889538	2.46E-34	3.67E-31
YLR303W	423.1847808	10.17321131	0.843559464	12.05986269	1.72E-33	2.05E-30
YBR115C	464.5579403	10.89180159	1.014356803	10.73764336	6.78E-27	6.73E-24
YHL047C	643.02519	1.370205216	0.141830719	9.660849424	4.42E-22	3.76E-19
YBR047W	211.6435175	1.059543538	0.114497359	9.253868795	2.17E-20	1.61E-17
YHL040C	491.5990038	0.876216013	0.108054219	8.109040292	5.10E-16	3.38E-13
YGL117W	474.0010816	0.715850233	0.08894754	8.048004864	8.42E-16	5.01E-13
YLR346C	143.7879882	1.069970205	0.134705294	7.943044972	1.97E-15	1.07E-12
YMR096W	397.7820106	1.31145882	0.168110533	7.801169836	6.13E-15	3.05E-12
YJR005C-A	23.30951264	3.171162739	0.433046434	7.322916186	2.43E-13	1.11E-10
YMR095C	168.0288147	1.17478882	0.163842726	7.170222625	7.49E-13	3.19E-10
YML047C	67.0671688	1.848506924	0.265801211	6.954471406	3.54E-12	1.41E-09
YBL043W	256.5619595	1.546499428	0.224203631	6.897744788	5.28E-12	1.85E-09
YJR150C	81.26711231	3.200202409	0.463933254	6.897980215	5.27E-12	1.85E-09
YKL071W	314.9298429	0.83890713	0.121895831	6.882164232	5.89E-12	1.95E-09
YER011W	139.711407	1.1375689	0.169433267	6.713964262	1.89E-11	5.94E-09
YOL091W	266.6639524	1.183748862	0.178320601	6.638318037	3.17E-11	9.45E-09
YLR304C	1420.191777	0.342178962	0.052410973	6.528765684	6.63E-11	1.88E-08
YOR049C	525.603305	0.603038575	0.096129601	6.273182944	3.54E-10	9.58E-08
YOL119C	349.5926372	0.647491585	0.104514488	6.195232788	5.82E-10	1.51E-07
YOR134W	427.1575221	0.75094547	0.121391507	6.186145026	6.17E-10	1.53E-07
YHL035C	795.3194266	0.481022885	0.078081681	6.160508853	7.25E-10	1.73E-07
YBL049W	242.5486931	0.58789387	0.097099061	6.054578339	1.41E-09	3.23E-07
YBL005W	870.4714579	0.397607894	0.066507227	5.978416365	2.25E-09	4.97E-07
YHR029C	461.2942333	0.559869399	0.094406279	5.93042547	3.02E-09	6.43E-07
YOL132W	185.6868741	0.712965766	0.121343218	5.875612794	4.21E-09	8.37E-07
YOR382W	301.1447262	0.97504891	0.165941172	5.87587095	4.21E-09	8.37E-07
YLR168C	449.7576323	0.54625433	0.094048451	5.808222535	6.31E-09	1.21E-06
YAL035W	1395.7996	-0.30388371	0.05256777	-5.780798933	7.43E-09	1.38E-06
YDR406W	1106.558574	0.655774297	0.114668321	5.718879391	1.07E-08	1.88E-06
YPR002W	324.1407025	0.846035978	0.147818723	5.723469659	1.04E-08	1.88E-06
YJR047C	179.3637584	0.986690371	0.175529467	5.621223529	1.90E-08	3.23E-06
YER001W	763.834814	-0.514363409	0.093162237	-5.521157792	3.37E-08	5.57E-06
YGL032C	27.38301234	1.791929996	0.327380497	5.473539232	4.41E-08	7.10E-06
YLL061W	217.833976	-0.823751488	0.151304493	-5.44432933	5.20E-08	8.15E-06
