




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	Saccharomyces cerevisiae (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Saccharomyces cerevisiae - REFLIST (6049)	upload_1 (43)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
sulfate reduction (GO:0019419)	3	3	.02	+	 100	6.46E-06	9.57E-04
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	3	3	.02	+	 100	6.46E-06	9.30E-04
hydrogen sulfide biosynthetic process (GO:0070814)	6	5	.04	+	 100	6.17E-09	1.28E-06
hydrogen sulfide metabolic process (GO:0070813)	6	5	.04	+	 100	6.17E-09	1.23E-06
lysine biosynthetic process via aminoadipic acid (GO:0019878)	11	8	.08	+	 100	2.21E-13	7.17E-11
mitochondrial citrate transmembrane transport (GO:0006843)	3	2	.02	+	93.78	4.80E-04	4.98E-02
tricarboxylic acid transport (GO:0006842)	3	2	.02	+	93.78	4.80E-04	4.88E-02
citrulline biosynthetic process (GO:0019240)	3	2	.02	+	93.78	4.80E-04	4.79E-02
tricarboxylic acid transmembrane transport (GO:0035674)	3	2	.02	+	93.78	4.80E-04	4.70E-02
sulfate assimilation (GO:0000103)	9	6	.06	+	93.78	4.11E-10	1.07E-07
citrulline metabolic process (GO:0000052)	3	2	.02	+	93.78	4.80E-04	4.61E-02
citrate transport (GO:0015746)	3	2	.02	+	93.78	4.80E-04	4.53E-02
mitochondrial tricarboxylic acid transmembrane transport (GO:1990546)	3	2	.02	+	93.78	4.80E-04	4.45E-02
lysine biosynthetic process (GO:0009085)	14	9	.10	+	90.43	1.36E-14	5.02E-12
lysine metabolic process (GO:0006553)	15	9	.11	+	84.40	2.16E-14	7.46E-12
arginine biosynthetic process (GO:0006526)	10	5	.07	+	70.34	3.93E-08	7.03E-06
cysteine biosynthetic process (GO:0019344)	10	4	.07	+	56.27	2.05E-06	3.12E-04
ornithine metabolic process (GO:0006591)	9	3	.06	+	46.89	6.90E-05	8.51E-03
aspartate family amino acid biosynthetic process (GO:0009067)	51	16	.36	+	44.13	1.43E-21	1.06E-18
arginine metabolic process (GO:0006525)	16	5	.11	+	43.96	2.58E-07	4.46E-05
aspartate family amino acid metabolic process (GO:0009066)	66	17	.47	+	36.23	1.09E-21	9.41E-19
cysteine metabolic process (GO:0006534)	16	4	.11	+	35.17	9.61E-06	1.31E-03
sulfur amino acid metabolic process (GO:0000096)	45	10	.32	+	31.26	2.33E-12	7.11E-10
