	WT at 0hr minR+Leu 1	WT at 0hr minR+Leu 2	WT at 0hr minR+Leu 3	WT at 0hr minR+Leu 4	WT at 0hr minR+Leu 5	WT at 0hr minR+Leu 6	mct1KO at 0hr minR+Leu 1	mct1KO at 0hr minR+Leu 2	mct1KO at 0hr minR+Leu 3	mct1KO at 0hr minR+Leu 4	mct1KO at 0hr minR+Leu 5	mct1KO at 0hr minR+Leu 6	WT at 15min minR+Leu 1	WT at 15min minR+Leu 2	WT at 15min minR+Leu 3	WT at 15min minR+Leu 4	WT at 15min minR+Leu 5	WT at 15min minR+Leu 6	mct1KO at 15min minR+Leu 1	mct1KO at 15min minR+Leu 2	mct1KO at 15min minR+Leu 3	mct1KO at 15min minR+Leu 4	mct1KO at 15min minR+Leu 5	mct1KO at 15min minR+Leu 6	WT at 30min minR+Leu 1	WT at 30min minR+Leu 2	WT at 30min minR+Leu 3	WT at 30min minR+Leu 4	WT at 30min minR+Leu 5	WT at 30min minR+Leu 6	mct1KO at 30min minR+Leu 1	mct1KO at 30min minR+Leu 2	mct1KO at 30min minR+Leu 3	mct1KO at 30min minR+Leu 4	mct1KO at 30min minR+Leu 5	mct1KO at 30min minR+Leu 6	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	WT at 1hr minR+Leu 6	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 6	WT at 3hr minR+Leu 1	WT at 3hr minR+Leu 2	WT at 3hr minR+Leu 3	WT at 3hr minR+Leu 4	WT at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 1	mct1KO at 3hr minR+Leu 2	mct1KO at 3hr minR+Leu 3	mct1KO at 3hr minR+Leu 4	mct1KO at 3hr minR+Leu 5	mct1KO at 3hr minR+Leu 6
" 1,6-anhydro-Glucose "	97014	119105	119243	131025	138845	108584	171530	133744	98583	58821	175398	162189	181110	249246	154563	132949	153814	125511	239328	238909	164923	246632	151136	220432	122232	167602	115714	157215	86959	40573	76218	102692	92342	101165	95924	127147	80949	125928	100191	109265	35868	89625	79255	86942	70761	68477	42564	71140	68481	82512	169416	95525	120222	43614	118317	302892	112271	146658	165178
 1-Monomyristin	36431	27270	35841	38193	12635	39636	14071	25722	22286	32334	28701	21800	15754	18144	16904	14616	27146	15118	11213	20369	14606	18442	17775	8425	32471	18995	40595	45308	46324	41491	20733	17401	23351	38902	16544	17379	22304	23877	10138	21774	23587	27561	9220	15425	12598	14545	10845	37733	27924	61754	16849	32558	28920	56887	15894	21500	21971	23875	37443
 1-Octadecene 	78300	14498	93635	73186	21889	70467	25577	38178	41217	38186	21409	20569	69164	55407	34630	33858	82936	59748	24097	32918	26420	27752	52936	44292	144336	86159	93574	131168	122286	134619	33202	70804	52839	100712	40622	49020	77736	69834	55968	102786	55427	71479	32425	62349	48562	22193	46682	98604	79766	164501	77308	91507	88390	125321	40368	83767	67991	55945	98688
 1-Palmitoylglycerol	186576	90180	200770	111288	57840	211153	57052	74195	59249	80184	35328	41885	62482	66917	81109	67036	101322	78084	58290	100218	58854	82496	85456	42500	158738	96891	207912	219107	189725	258415	110368	75926	91217	184159	61160	66358	113467	114299	51050	96016	120795	121196	36672	74601	51880	61816	43239	180222	130119	399870	85751	155320	171113	294694	69223	80283	97251	105781	105031
 1-Steroylglycerol 	1887650	1063838	1272616	849409	495017	1481417	836165	705803	353699	480140	532313	481276	565153	642805	726386	491478	674951	601718	392095	584985	451353	604668	493651	324715	930337	707974	1180274	1261595	1125756	1356891	608026	471540	610257	1053579	467853	456640	628294	907980	401099	692626	552084	828349	262692	437550	325715	398276	279890	975043	1037273	1956813	578729	872803	894783	1667640	530795	531195	789661	692628	1215805
 2-Hydroxybutyric acid 	490522	279244	984768	577881	256257	751729	345511	381669	229027	499954	388040	260938	643804	345760	261240	457996	673669	593896	533306	866346	291290	684792	579602	306314	35268	55212	350586	371274	393696	472978	253635	263808	112839	378568	148759	62370	50124	193620	57838	324512	106001	275279	81376	234816	140112	216600	68520	272313	493665	619306	194437	282051	356588	2577395	202011	331417	711600	214816	708382
 2-Hydroxyglutaric acid	21643	29344	44010	38487	25620	12826	219060	159153	95919	74972	264072	87172	451	0	614	0	259	767	2269	3122	5557	5056	2564	1268	3912	3373	0	3526	5444	2279	5629	6985	7078	8259	35540	7917	2921	11407	36402	18319	3076	6119	9851	38267	44722	30385	19991	7047	17883	14647	44093	31436	24783	14413	77440	291658	98525	155219	80290
 2-Ketoisocaproic acid	38626	13234	103107	70464	24935	41357	21904	34707	17183	22270	23208	12505	37403	35074	15028	26980	60572	34174	55626	78176	21037	57484	42261	33066	14777	13756	30479	41559	27942	13286	6401	8522	11773	32774	14658	10258	20172	22791	11883	26030	16903	29674	3814	32999	4556	13064	6455	17699	34722	60041	17581	24296	32734	155851	17630	19793	40534	20002	57733
 2-Monopalmitoylglycerol	893	6472	809	6063	6276	7733	3598	0	3944	8771	12719	13822	2595	1215	4631	0	0	0	0	0	1156	1414	672	0	1989	0	0	0	0	0	336	0	3201	1821	1871	980	701	1595	1874	2595	0	0	790	0	843	0	0	0	2691	4623	3743	1847	0	8253	0	2585	0	2724	3938
 2-Steroylglycerol	12235	13511	0	15623	12212	3245	3009	5420	0	15174	0	4046	0	845	0	360	1444	0	0	2565	0	0	0	0	2895	1160	2751	0	0	21576	0	2779	0	0	487	0	2113	0	0	0	0	0	0	708	0	0	0	0	25240	0	9263	41625	3233	7647	11800	19099	36413	0	4889
