	14251X4	14251X6	14251X10	14251X12	14251X16	14251X18	14251X22	14251X24
ETS1-1	0	0	0	0	0	0	0	0
ETS1-2	0	0	0	0	0	0	0	0
ETS2-1	0	0	0	0	0	0	0	0
ETS2-2	0	0	0	0	0	0	0	0
HRA1	4	1	0	1	2	1	4	3
ICR1	191	128	178	86	118	100	132	72
IRT1	410	615	429	718	391	760	510	806
ITS1-1	0	0	0	0	0	0	0	0
ITS1-2	0	0	0	0	0	0	0	0
ITS2-1	0	0	0	0	0	0	0	0
ITS2-2	0	0	0	0	0	0	0	0
LSR1	334	295	281	398	610	294	204	417
NME1	67	71	54	78	165	63	44	91
PWR1	0	0	0	0	0	0	0	0
Q0010	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0
Q0020	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0
Q0045	0	0	0	0	0	0	0	0
Q0050	0	0	0	0	0	0	0	0
Q0055	0	0	0	0	0	0	0	0
Q0060	0	0	0	0	0	0	0	0
Q0065	0	0	0	0	0	0	0	0
Q0070	0	0	0	0	0	0	0	0
Q0075	0	0	0	0	0	0	0	0
Q0080	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0
Q0110	0	0	0	0	0	0	0	0
Q0115	0	0	0	0	0	0	0	0
Q0120	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0
Q0158	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0
Q0250	0	0	0	0	0	0	0	0
Q0255	0	0	0	0	0	0	0	0
Q0275	0	0	0	0	0	0	0	0
Q0285	0	0	0	0	0	0	0	0
Q0297	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0
RDN5-1	6	4	1	1	6	1	4	0
RDN5-2	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	1	0	0	0
RDN58-1	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0
RME2	61	60	52	66	40	66	67	69
RME3	0	0	0	0	0	0	0	0
RNA170	39	40	40	50	29	41	34	36
RPR1	103	51	93	76	159	30	57	86
RUF20	124	139	134	141	139	132	149	131
RUF21	45	48	54	36	37	43	48	47
RUF22	0	0	0	2	0	1	1	0
RUF23	11	4	8	10	3	8	4	13
RUF5-1	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0
SCR1	237	152	215	234	358	139	133	292
SRG1	214	241	200	243	216	235	228	238
YAL001C	852	698	809	701	546	660	596	680
YAL002W	725	616	661	562	411	730	453	655
YAL003W	591	602	567	596	541	571	723	758
YAL004W	0	0	0	0	0	0	0	0
YAL005C	435	400	411	374	339	410	425	423
YAL007C	399	392	423	380	337	345	393	324
YAL008W	339	356	311	367	334	322	342	343
YAL009W	258	219	234	232	188	251	214	278
YAL010C	498	435	440	415	318	392	395	369
YAL011W	333	187	370	240	201	311	235	314
YAL012W	481	177	407	150	216	304	233	260
YAL013W	613	517	595	532	348	629	473	745
YAL014C	377	335	334	295	219	400	270	428
YAL015C	407	345	427	358	302	371	373	373
YAL016C-A	16	20	16	20	7	15	24	36
YAL016C-B	29	42	32	32	32	38	40	41
YAL016W	983	970	967	963	855	968	903	971
YAL017W	723	595	675	582	496	740	502	746
YAL018C	33	7	21	10	33	13	36	2
YAL019W	639	290	588	331	272	533	233	450
YAL019W-A	0	0	0	0	0	0	0	0
YAL020C	239	177	241	189	138	247	173	260
YAL021C	752	433	737	464	350	589	411	620
YAL022C	541	442	551	447	321	593	397	599
YAL023C	1107	563	1140	502	585	614	622	605
YAL024C	535	316	490	204	164	204	236	219
YAL025C	540	503	600	590	459	584	624	658
YAL026C	851	490	800	508	453	567	418	540
YAL026C-A	76	82	84	77	57	89	87	111
YAL027W	293	332	291	338	291	298	347	299
YAL028W	107	138	130	138	130	181	137	171
YAL029C	1442	1294	1424	1399	946	1470	1026	1423
YAL030W	272	284	247	290	227	288	304	325
YAL031C	442	281	423	324	227	419	272	411
YAL031W-A	37	29	26	26	27	33	33	39
YAL032C	410	402	461	394	282	495	418	521
YAL033W	225	202	234	207	180	225	217	222
YAL034C	511	531	469	412	341	626	385	626
YAL034C-B	35	31	34	38	23	45	43	52
YAL034W-A	253	207	289	191	176	155	243	142
YAL035W	1706	1265	1669	1336	959	1605	1072	1578
YAL036C	508	383	541	442	304	488	371	511
YAL037C-A	32	9	18	10	13	10	19	12
YAL037C-B	32	32	29	26	27	26	28	31
YAL037W	199	239	208	227	173	186	210	180
YAL038W	453	375	435	339	340	374	373	410
YAL039C	579	579	547	623	442	701	558	797
YAL040C	404	285	429	330	224	351	261	338
YAL041W	567	387	576	390	295	636	343	553
YAL042C-A	0	0	2	0	0	0	1	2
YAL042W	616	468	621	513	412	583	478	600
YAL043C	532	311	517	365	264	473	302	495
YAL044C	384	445	418	484	415	474	557	613
YAL044W-A	83	88	80	89	83	86	91	89
YAL045C	5	5	7	11	0	2	15	10
YAL046C	235	250	242	261	198	255	294	292
YAL047C	364	313	305	241	185	335	227	309
YAL047W-A	0	0	0	0	0	0	0	1
YAL048C	365	284	408	316	180	387	187	372
YAL049C	444	458	475	490	397	437	476	487
YAL051W	592	422	473	397	236	624	319	566
YAL053W	1342	1144	1281	1166	888	1237	1017	1216
YAL054C	477	980	488	1105	365	1101	463	1246
YAL055W	287	292	294	309	266	279	328	312
YAL056C-A	27	23	26	27	19	30	25	28
YAL056W	958	897	985	958	770	963	844	1025
YAL058W	417	332	406	400	266	378	338	392
YAL059C-A	0	0	0	0	0	1	0	0
YAL059W	177	177	191	188	156	194	214	199
YAL060W	904	870	901	900	806	859	976	1005
YAL061W	477	514	396	491	386	653	457	681
YAL062W	457	632	455	828	431	869	487	923
YAL063C	263	271	293	277	213	309	287	344
YAL063C-A	24	30	22	25	25	19	25	19
YAL064C-A	63	69	69	73	42	63	50	68
YAL064W	2	5	6	7	7	15	6	13
YAL064W-B	26	23	25	24	22	24	7	21
YAL065C	18	14	11	19	10	20	7	12
YAL066W	1	5	0	0	1	0	1	0
YAL067C	176	195	170	202	162	172	150	159
YAL067W-A	0	0	0	0	0	0	1	0
YAL068C	0	1	0	0	0	1	0	0
YAL068W-A	0	0	0	0	0	0	0	0
YAL069W	0	0	0	0	0	0	0	0
YAR002C-A	476	474	469	426	425	397	505	398
YAR002W	780	739	775	750	598	722	668	695
YAR003W	359	380	400	390	328	367	377	380
YAR007C	727	590	758	544	418	481	513	505
YAR008W	289	210	326	206	197	168	239	174
YAR009C	29	32	31	28	23	23	28	28
YAR010C	2	0	0	1	0	2	0	0
YAR014C	741	631	815	721	513	742	603	824
YAR015W	618	704	668	753	596	740	764	871
YAR018C	315	219	292	209	153	263	216	222
YAR019C	341	246	321	228	206	289	217	301
YAR019W-A	1	2	1	1	0	0	4	1
YAR020C	25	23	23	29	23	32	20	46
YAR023C	155	219	196	222	199	195	250	223
YAR027W	428	479	412	480	428	448	478	468
YAR028W	224	254	259	288	206	237	236	248
YAR029W	42	48	50	66	40	59	54	70
YAR030C	53	82	69	88	60	101	82	104
YAR031W	147	167	154	185	109	183	130	190
YAR033W	124	175	140	153	126	132	135	143
YAR035C-A	3	18	6	23	3	34	6	44
YAR035W	154	401	179	593	114	781	136	894
YAR042W	989	706	875	799	500	768	497	819
YAR047C	32	49	37	33	30	49	33	39
YAR050W	331	148	324	187	153	214	197	240
YAR053W	36	58	31	45	37	43	43	40
YAR060C	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0
YAR064W	24	10	14	6	5	7	8	13
YAR066W	12	0	4	4	1	2	2	2
