	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YHR043C	257.0034941	-2.982244881	0.127798122	-23.33559235	1.93E-120	1.25E-116
YOR221C	235.3084947	-3.625477805	0.169571857	-21.38018578	2.04E-101	6.61E-98
YLR303W	393.5382663	8.664318759	0.515509517	16.80729158	2.16E-63	4.65E-60
YGL009C	1058.873476	-0.98199786	0.061570558	-15.94914662	2.89E-57	4.67E-54
YJL102W	591.5667619	-1.082683131	0.073637797	-14.70281815	6.18E-49	8.00E-46
YPR194C	483.3096479	-1.220724713	0.083976419	-14.53651778	7.11E-48	7.66E-45
YBL015W	816.5928217	-0.991383197	0.068595155	-14.4526708	2.41E-47	2.23E-44
YER001W	717.0324111	-1.199495409	0.086684048	-13.83755647	1.51E-43	1.22E-40
YER073W	582.9322163	-1.178236299	0.086729565	-13.58517473	4.90E-42	3.52E-39
YFL030W	517.132475	-1.044371451	0.082214578	-12.70299602	5.69E-37	3.68E-34
YDR536W	417.6963882	-1.283830992	0.102540535	-12.5202291	5.79E-36	3.40E-33
YOR375C	747.4800234	-0.916640704	0.074778472	-12.25808278	1.52E-34	8.19E-32
YLL053C	136.2957612	-1.717668995	0.149246741	-11.50892131	1.19E-30	5.92E-28
YIL125W	1583.832731	-0.560505606	0.050581935	-11.08114213	1.55E-28	7.15E-26
YBR033W	780.9711006	-0.722402118	0.066235293	-10.90660404	1.07E-27	4.62E-25
YLL052C	99.01910872	-1.912500201	0.180357823	-10.60392154	2.86E-26	1.15E-23
YBR115C	384.4898419	10.63315149	1.014857137	10.47748604	1.10E-25	4.17E-23
YJR047C	128.8008081	1.679014573	0.161411046	10.40210452	2.43E-25	8.71E-23
YKL120W	390.3036581	-0.904874649	0.088968858	-10.17068973	2.68E-24	9.12E-22
YFL011W	118.3576001	2.180999264	0.215747343	10.10904343	5.04E-24	1.63E-21
IRT1	490.1250031	0.78174432	0.077449044	10.09366009	5.89E-24	1.81E-21
YIL055C	373.0701419	0.967491691	0.098093861	9.862917876	6.03E-23	1.77E-20
YBR093C	821.0532442	-0.632465017	0.064623175	-9.786969096	1.28E-22	3.60E-20
YLR377C	513.4201299	-1.110701511	0.116530204	-9.53144744	1.55E-21	4.18E-19
YOR153W	2140.665012	0.669591835	0.071756506	9.331444182	1.04E-20	2.70E-18
YHL028W	179.7065126	-1.852054856	0.200026323	-9.259055636	2.06E-20	5.13E-18
YCR005C	1033.050429	0.620931434	0.067954979	9.137394214	6.40E-20	1.53E-17
YHR208W	607.3405802	-0.626764351	0.070789607	-8.853903479	8.45E-19	1.95E-16
YGL062W	1672.125469	0.513982913	0.058159564	8.837461532	9.79E-19	2.18E-16
YDR148C	932.0425261	-0.51173245	0.058401569	-8.762306515	1.91E-18	4.12E-16
YJL103C	602.8997951	-0.699377953	0.081333767	-8.598863459	8.05E-18	1.68E-15
YBR177C	426.2875816	-0.905679805	0.105390533	-8.593559391	8.43E-18	1.70E-15
YGR249W	281.7634466	-1.09164768	0.1276637	-8.550963829	1.22E-17	2.39E-15
YIR039C	322.522721	-0.82644527	0.097154785	-8.506480373	1.79E-17	3.41E-15
YPR006C	660.2359488	0.695205718	0.081909464	8.487489514	2.11E-17	3.90E-15
YKL148C	1181.381308	-0.516828845	0.061157603	-8.450770145	2.89E-17	5.20E-15
