Condition	Timepoint	M+0	M+1	M+2	M+3	M+4
WT + EV	1hr 15min	2346262.333	246201.6667	286664	128490.3333	27491.66667
WT + EV	1hr 15min	3832057.667	359389	482626.3333	234590.3333	38312.33333
WT + EV	1hr 15min	3975242.667	377623.6667	468856.3333	208969.6667	60774
mct1-del + EV	1hr 15min	13378818.33	1186997.333	1555103.667	581944.3333	79491.33333
mct1-del + EV	1hr 15min	12160211	1128460.333	1450184	540418.3333	89563
mct1-del + EV	1hr 15min	10875054	1016194.333	1348529	459246.3333	82019.33333
WT + EV	1hr 30min 	2883891.333	302659	397472.3333	190403.3333	48124.66667
WT + EV	1hr 30min 	3548757	370032	494999.3333	238209.3333	44953.33333
WT + EV	1hr 30min 	3629864.667	349501.6667	463333.3333	229471.6667	68145.66667
mct1-del + EV	1hr 30min 	12273488.67	1307561.667	1858412.667	850892	135086.3333
mct1-del + EV	1hr 30min 	13222180	1355091.333	2027023.667	840214.6667	139358.3333
mct1-del + EV	1hr 30min 	14312400.33	1411439.333	1972339.667	829802	138609.6667
WT + EV	8hr 15min	1693153	176100.3333	189347	109348.3333	31636.66667
WT + EV	8hr 15min	2680285.667	370262.6667	425313.6667	290627.6667	84614.66667
WT + EV	8hr 15min	4686388.333	480320.6667	558331.3333	349574	76793.33333
mct1-del + EV	8hr 15min	32599480	2819769.667	2849919.333	2143531	302622.3333
mct1-del + EV	8hr 15min	33963330	3026624.667	3486619.333	2018552.667	283101
mct1-del + EV	8hr 15min	27410732.67	2774837	3365254.667	2248742.667	348013
WT + EV	8hr 30min	1127625	132112.6667	136503.6667	78464	26977.66667
WT + EV	8hr 30min	1947514	266997.6667	325486.3333	207412	61059.33333
WT + EV	8hr 30min	2556481	280441.3333	344945	204294.6667	40958.33333
mct1-del + EV	8hr 30min	28412719	3168628.5	3994444	2705804	513390
mct1-del + EV	8hr 30min	21062006	2044854	2405258.667	1823030	274800.6667
mct1-del + EV	8hr 30min	27796640.67	2852900.667	3669384.333	2478976	388175.6667
