	MCT_SD_A1	MCT_SD_A2	MCT_SD_A3	MCT_SR_A1	MCT_SR_A2	MCT_SR_A3	MCT_SD_EV1	MCT_SD_EV2	MCT_SD_EV3	MCT_SR_EV1	MCT_SR_EV2	MCT_SR_EV3	WT_SD_A1	WT_SD_A2	WT_SD_A3	WT_SR_A1	WT_SR_A2	WT_SR_A3	WT_SD_EV1	WT_SD_EV2	WT_SD_EV3	WT_SR_EV1	WT_SR_EV2	WT_SR_EV3
Citrate	230000000	160000000	360000000	230000000	200000000	220000000	200000000	280000000	200000000	180000000	170000000	110000000	130000000	260000000	170000000	90000000	81000000	85000000	56000000	120000000	160000000	63000000	60000000	52000000
Glucose	7500000	9200000	13000000	170000000	160000000	160000000	8400000	13000000	7000000	230000000	180000000	120000000	3200000	12000000	8700000	150000000	170000000	170000000	4200000	11000000	14000000	170000000	17000000	150000000
Pyruvate	9700000	13000000	12000000	5000000	4700000	3800000	7800000	12000000	9800000	5000000	5500000	5300000	6400000	11000000	10000000	4200000	6400000	6100000	10000000	16000000	13000000	5700000	6300000	4500000
Aspartate	680000000	930000000	1100000000	820000000	850000000	940000000	950000000	1100000000	950000000	890000000	990000000	670000000	470000000	720000000	1100000000	740000000	890000000	430000000	500000000	840000000	980000000	690000000	720000000	530000000
ATP	10000000	9000000	13000000	3300000	5900000	6500000	10000000	12000000	21000000	860000	2400000	1500000	9100000	8700000	7600000	2900000	3900000	3400000	8300000	10000000	13000000	1900000	4400000	4500000
a-KG	12000000	11000000	20000000	3600000	690000	1000000	15000000	21000000	24000000	3700000	2000000	3000000	16000000	24000000	14000000	3800000	2700000	1500000	9600000	13000000	11000000	3000000	1800000	1600000
Glutamine	67000000	92000000	84000000	78000000	73000000	39000000	110000000	110000000	110000000	81000000	85000000	73000000	73000000	62000000	77000000	80000000	80000000	46000000	86000000	100000000	69000000	93000000	79000000	79000000
Glutamate	630000000	880000000	930000000	850000000	770000000	590000000	1000000000	1100000000	950000000	950000000	990000000	700000000	790000000	1200000000	1300000000	1400000000	1400000000	830000000	1000000000	1500000000	1300000000	1600000000	1400000000	1200000000
Glutathione disulfide	60000000	45000000	89000000	19000000	27000000	22000000	95000000	100000000	110000000	21000000	35000000	19000000	83000000	80000000	79000000	21000000	30000000	19000000	59000000	130000000	140000000	29000000	33000000	39000000
Sucrose	6000000	6600000	11000000	130000000	120000000	120000000	1100000	980000	910000	180000000	140000000	84000000	650000	2300000	2700000	110000000	120000000	120000000	980000	980000	960000	140000000	130000000	100000000
Mannose	7500000	9200000	13000000	170000000	160000000	160000000	8400000	13000000	7000000	230000000	180000000	120000000	3200000	12000000	8700000	150000000	170000000	170000000	4200000	11000000	14000000	170000000	170000000	150000000
Malate	14000000	8800000	9300000	49000000	34000000	48000000	24000000	17000000	14000000	64000000	45000000	29000000	4600000	9800000	15000000	24000000	20000000	15000000	7900000	6500000	6500000	20000000	24000000	12000000
Lysine	500000000	1900000000	1100000000	840000000	890000000	970000000	980000000	1200000000	890000000	960000000	1100000000	1200000000	990000000	1100000000	1100000000	920000000	990000000	1000000000	920000000	1300000000	1400000000	880000000	1000000000	1000000000
Leucine	1900000000	1200000000	2700000000	2700000000	810000000	2700000000	2300000000	2700000000	820000000	1000000000	2700000000	2500000000	2100000000	1000000000	1600000000	2800000000	2800000000	1600000000	1500000000	1500000000	1700000000	2500000000	1100000000	1300000000
Lactose	6000000	6600000	11000000	130000000	120000000	120000000	1100000	980000	910000	180000000	140000000	84000000	650000	2300000	2700000	110000000	120000000	120000000	980000	980000	960000	140000000	130000000	100000000
F16BP	150000000	170000000	200000000	160000000	130000000	140000000	250000000	260000000	330000000	110000000	120000000	67000000	240000000	230000000	250000000	90000000	120000000	140000000	130000000	280000000	320000000	140000000	160000000	130000000
Fructose	7500000	9200000	13000000	170000000	160000000	160000000	8400000	13000000	7000000	230000000	180000000	120000000	3200000	12000000	8700000	150000000	170000000	170000000	4200000	11000000	14000000	170000000	170000000	150000000
F6P	78750000	89600000	106500000	165000000	145000000	150000000	129200000	136500000	168500000	170000000	150000000	93500000	121600000	121000000	129350000	120000000	145000000	155000000	67100000	145500000	167000000	155000000	165000000	140000000
CoA	240000	260000	260000	59000	98000	34000	250000	350000	470000	73000	97000	62000	270000	330000	160000	270000	120000	70000	400000	530000	180000	200000	230000	120000
Asparagine 	31000000	36000000	36000000	30000000	26000000	27000000	35000000	36000000	33000000	26000000	28000000	24000000	33000000	37000000	32000000	32000000	31000000	30000000	26000000	31000000	31000000	27000000	29000000	32000000
Arginine	160000000	170000000	270000000	210000000	220000000	230000000	240000000	300000000	290000000	240000000	250000000	280000000	250000000	280000000	260000000	260000000	270000000	270000000	230000000	330000000	350000000	260000000	290000000	270000000
Alanine	110000000	130000000	150000000	150000000	140000000	160000000	170000000	190000000	170000000	160000000	180000000	150000000	110000000	130000000	160000000	130000000	150000000	61000000	93000000	170000000	190000000	130000000	130000000	98000000
Acetoacetate	96000000	92000000	120000000	4300000	1200000	4700000	130000000	140000000	130000000	3900000	3400000	4800000	110000000	170000000	130000000	5100000	4100000	2400000	85000000	87000000	100000000	4000000	2500000	1000000
Valine	215000000	140000000	330000000	135000000	66650000	139650000	420000000	470000000	172000000	56550000	168000000	205000000	270000000	335000000	315000000	128950000	128350000	56800000	195000000	250000000	255000000	108100000	81850000	107600000
Fumarate	33500000	36500000	51500000	57500000	62000000	71000000	54000000	58000000	54500000	58000000	73000000	70500000	27000000	43500000	44500000	43500000	48500000	29000000	21000000	42000000	43150000	33000000	35000000	25900000
Succinate	20000000	28000000	44500000	70000000	45500000	121500000	60500000	70500000	46000000	101500000	165000000	195000000	30500000	45000000	35000000	31500000	48000000	23000000	56000000	32500000	43500000	91000000	31500000	34500000
Adenosine	690000	1800000	1100000	1800000	3300000	3000000	970000	1300000	1000000	8100000	8100000	13000000	800000	1400000	2100000	3200000	5400000	5200000	990000	1700000	2400000	8000000	6900000	6300000
Inosine	83000000	29000000	110000000	120000000	36000000	100000000	54000000	31000000	10000000	25000000	47000000	41000000	36000000	23000000	51000000	34000000	46000000	11000000	40000000	14000000	40000000	22000000	5200000	18000000
Adenine	800000000	790000000	730000000	730000000	740000000	640000000	490000000	96000000	69000000	440000000	390000000	760000000	410000000	740000000	700000000	540000000	630000000	490000000	300000000	430000000	450000000	270000000	420000000	530000000
Uracil	67000000	79000000	100000000	160000000	52000000	73000000	89000000	86000000	43000000	50000000	140000000	89000000	56000000	57000000	110000000	120000000	150000000	46000000	56000000	78000000	70000000	67000000	66000000	52000000
Hypoxanthine	270000000	280000000	310000000	370000000	280000000	360000000	250000000	300000000	280000000	350000000	300000000	370000000	170000000	380000000	320000000	340000000	340000000	380000000	320000000	390000000	540000000	390000000	350000000	370000000
