	Condition	Time
WT at 0hr minR+Leu 1	WT	000min
WT at 0hr minR+Leu 2	WT	000min
WT at 0hr minR+Leu 3	WT	000min
WT at 0hr minR+Leu 4	WT	000min
WT at 0hr minR+Leu 5	WT	000min
WT at 0hr minR+Leu 6	WT	000min
mct1KO at 0hr minR+Leu 1	mct1	000min
mct1KO at 0hr minR+Leu 2	mct1	000min
mct1KO at 0hr minR+Leu 3	mct1	000min
mct1KO at 0hr minR+Leu 4	mct1	000min
mct1KO at 0hr minR+Leu 5	mct1	000min
mct1KO at 0hr minR+Leu 6	mct1	000min
WT at 15min minR+Leu 1	WT	015min
WT at 15min minR+Leu 2	WT	015min
WT at 15min minR+Leu 3	WT	015min
WT at 15min minR+Leu 4	WT	015min
WT at 15min minR+Leu 5	WT	015min
WT at 15min minR+Leu 6	WT	015min
mct1KO at 15min minR+Leu 1	mct1	015min
mct1KO at 15min minR+Leu 2	mct1	015min
mct1KO at 15min minR+Leu 3	mct1	015min
mct1KO at 15min minR+Leu 4	mct1	015min
mct1KO at 15min minR+Leu 5	mct1	015min
mct1KO at 15min minR+Leu 6	mct1	015min
WT at 30min minR+Leu 1	WT	030min
WT at 30min minR+Leu 2	WT	030min
WT at 30min minR+Leu 3	WT	030min
WT at 30min minR+Leu 4	WT	030min
WT at 30min minR+Leu 5	WT	030min
WT at 30min minR+Leu 6	WT	030min
mct1KO at 30min minR+Leu 1	mct1	030min
mct1KO at 30min minR+Leu 2	mct1	030min
mct1KO at 30min minR+Leu 3	mct1	030min
mct1KO at 30min minR+Leu 4	mct1	030min
mct1KO at 30min minR+Leu 5	mct1	030min
mct1KO at 30min minR+Leu 6	mct1	030min
WT at 1hr minR+Leu 1	WT	060min
WT at 1hr minR+Leu 2	WT	060min
WT at 1hr minR+Leu 3	WT	060min
WT at 1hr minR+Leu 4	WT	060min
WT at 1hr minR+Leu 5	WT	060min
WT at 1hr minR+Leu 6	WT	060min
mct1KO at 1hr minR+Leu 1	mct1	060min
mct1KO at 1hr minR+Leu 2	mct1	060min
mct1KO at 1hr minR+Leu 3	mct1	060min
mct1KO at 1hr minR+Leu 4	mct1	060min
mct1KO at 1hr minR+Leu 5	mct1	060min
mct1KO at 1hr minR+Leu 6	mct1	060min
WT at 3hr minR+Leu 1	WT	180min
WT at 3hr minR+Leu 2	WT	180min
WT at 3hr minR+Leu 3	WT	180min
WT at 3hr minR+Leu 4	WT	180min
WT at 3hr minR+Leu 5	WT	180min
mct1KO at 3hr minR+Leu 1	mct1	180min
mct1KO at 3hr minR+Leu 2	mct1	180min
mct1KO at 3hr minR+Leu 3	mct1	180min
mct1KO at 3hr minR+Leu 4	mct1	180min
mct1KO at 3hr minR+Leu 5	mct1	180min
mct1KO at 3hr minR+Leu 6	mct1	180min
