	14251X10_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X11_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X12_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X13_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X14_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X15_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X16_170420_D00294_0314_BCB1VVANXX_6_Aligned	14251X17_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X18_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X19_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X1_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X20_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X21_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X22_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X23_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X24_170420_D00294_0314_BCB1VVANXX_7_Aligned	14251X2_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X3_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X4_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X5_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X6_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X7_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X8_170420_D00294_0314_BCB1VVANXX_5_Aligned	14251X9_170420_D00294_0314_BCB1VVANXX_6_Aligned
ETS1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRA1	0	5	1	1	3	1	3	11	1	8	1	3	7	4	9	3	1	7	5	9	1	3	4	2
ICR1	297	256	116	557	309	217	180	140	123	560	408	279	303	210	142	93	336	331	297	250	206	448	331	355
IRT1	883	852	3425	637	1369	633	896	698	4025	724	562	1487	669	1286	619	4699	2206	552	788	747	2406	663	1799	740
ITS1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSR1	739	279	1280	1510	425	1160	5579	229	777	1327	1965	686	259	484	238	1633	748	1309	902	357	894	914	1315	203
NME1	132	165	288	194	131	395	3564	77	131	179	338	158	74	74	84	343	159	448	170	182	188	132	269	122
PWR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-1	1	2	1	9	11	4	24	3	1	14	18	11	2	5	5	0	35	9	7	3	4	8	21	12
RDN5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RME2	283	107	337	214	148	100	188	107	507	306	300	169	142	377	123	527	205	99	311	116	487	273	157	100
RME3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA170	48	39	65	22	28	25	35	20	48	30	33	32	28	44	25	47	41	27	48	34	59	29	20	25
RPR1	214	49	241	322	326	380	1550	14	38	339	407	392	59	120	23	282	588	305	237	54	93	290	554	112
RUF20	620	945	652	910	819	615	668	882	583	1338	616	961	681	912	929	720	905	707	531	949	675	734	780	820
RUF21	279	158	107	201	275	159	119	134	174	409	241	282	240	254	204	272	196	165	274	184	201	255	158	166
RUF22	0	1	2	1	0	0	0	1	1	0	0	2	2	1	1	0	0	2	0	0	0	1	1	0
RUF23	9	8	12	5	2	12	3	9	9	7	2	4	13	6	5	13	3	9	11	10	6	6	4	17
RUF5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCR1	1109	169	1362	1602	655	2675	10898	45	398	1287	3490	980	197	328	52	4197	1489	2070	1485	214	489	1125	1712	223
SRG1	1273	2825	1969	2173	2135	1286	1757	1443	2039	1780	1667	1984	1347	1470	1320	1365	1780	1452	1284	2827	2314	1451	1985	1890
YAL001C	1910	1933	1534	2442	2252	1242	1227	1253	1552	2623	2079	2465	1471	1380	1164	1610	2519	1606	1994	1940	1766	2469	2240	1720
YAL002W	1205	953	1047	1542	1097	853	707	587	1519	1488	1391	922	939	768	588	1384	1174	1179	1491	1003	1246	1259	1027	1261
YAL003W	40987	16203	45901	24722	17258	43580	22223	27237	42739	18250	38027	14883	39897	37307	29129	42642	19384	25453	44188	21557	56696	33531	19941	26060
YAL004W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL005C	9175	5558	5423	9768	7662	3917	3740	1868	7149	10390	8004	7338	3630	5491	1355	7284	5639	6705	11534	7707	9009	7262	5350	5041
YAL007C	3712	3734	2293	2910	2381	4358	2163	3880	1947	2720	3670	2390	4297	2800	4011	1620	2725	3760	3493	4326	3169	3596	2910	3480
YAL008W	2472	2121	3530	3335	2810	1448	2688	1235	2647	3131	2320	3138	1514	2727	1209	2573	2736	1816	2582	2560	3999	2829	2686	1662
YAL009W	655	811	588	906	659	557	460	535	795	926	689	697	689	552	602	771	842	684	745	778	595	639	732	765
YAL010C	1258	895	1238	1336	968	954	742	692	958	1297	1290	1027	1063	1026	678	939	1222	955	1348	1027	1363	1466	1080	896
YAL011W	612	341	324	690	453	258	291	244	519	678	474	427	312	387	271	549	610	427	544	293	286	494	501	508
YAL012W	723	1951	191	3050	1686	1862	307	1414	451	2553	1656	1160	1819	364	1196	382	2300	4226	1095	1967	255	1456	1686	5289
YAL013W	1964	669	1632	1505	955	1002	701	578	2445	1559	1868	1047	1106	1097	591	2745	1398	906	2233	757	1712	1906	1047	1073
