index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_8955794	PGP:Mg2+ dimer hydrolyses 3PG to glycerol	undefined	3-phosphoglycerate,H2O	glycerol,phosphoric acid	PGP:Mg2+ dimer,catalyst	A6NDG6,ENST00000333503,species_29926	1.391447441	0.001044686	0.001225158	0.0030752711878274715
1	0	reaction_74247	XDH oxidizes hypoxanthine to form xanthine	undefined	H2O,O2,hypoxanthine	H2O2,xanthine	XDH dimer,catalyst	P47989,ENST00000379416,CHEBI:44074,species_113596	1.1769716920000002	0.108933753	0.0000187	0.0038796854697387296
2	0	reaction_9727347	XDH dehydrogenates hypoxanthine to form xanthine	undefined	H2O,hypoxanthine,NAD+	H+,NADH,xanthine	XDH dimer,catalyst	P47989,ENST00000379416,CHEBI:44074,species_113596	1.1769716920000002	0.108933753	0.0000187	0.0038796854697387296
3	0	reaction_8954327	UCKL1 phosphorylates urindine, cytidine	undefined	Cyt-Rib, Ura-Rib,ATP	ADP,CMP, UMP	UCKL1,catalyst	CHEBI:17562,CHEBI:16704,species_109402,species_727810,ENST00000369908	1.291238404	0.008806056	0.0030018379999999	0.01397586924591762
4	0	reaction_8851396	NTPDase6 hydrolyzes nucleoside diphosphates	undefined	H2O,CDP,GDP,IDP,UDP	CMP,GMP,IMP,UMP,phosphoric acid,H+	NTPDase6:Ca2+,Mg2+,catalyst	species_110096,species_2509811,species_110094,species_29420,species_727810,species_109402,species_5696194,species_29602,species_1606834,O75354,ENST00000376652,species_29926	1.266954114	0.943991378	0.002183381139289775	0.12340798832826809
5	0	reaction_74376	(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)	undefined	phosphoric acid,(d)Ura	uracil,R1P, dRibP	UPP1, UPP2,catalyst	CHEBI:16450,CHEBI:16704,species_112016,species_112032,Q16831,ENST00000457596,O95045,ENST00000605860	1.062848662	0.008806056	0.002572302	0.012937375427977089
6	0	reaction_74248	(d)GMP or (d)IMP + H2O => (2'-deoxy)guanosine or (2'-deoxy)inosine + orthophosphate (NT5C2)	undefined	(d)GMP, (d)IMP,H2O	phosphoric acid,Gu-Rib, dG, Ino, dI	NT5C2 tetramer,catalyst	species_109327,species_5696194,species_29602,species_9731659,species_83927,CHEBI:17172,CHEBI:16750,CHEBI:28997,species_29926,P49902,ENST00000676449	1.7970699739999998	0.000214923	1	0.03985069765951999
7	0	reaction_5652195	SORD oxidizes D-sorbitol to Fru	undefined	sorbitol,NAD+	H+,fructose,NADH	SORD tetramer,catalyst	Q00796,ENST00000558789,species_216667	1.059399438	0.100168575	0.824893923	0.781374585905896
8	0	reaction_6799495	GLYCTK phosphorylates DGA to 3PDGA	undefined	glyceric acid,ATP	ADP,H+,3-phosphoglycerate	GLYCTK,catalyst	ENST00000477382	1.586524468	0.0001440829999999	0.001044686	0.0010546145055957193
9	0	reaction_109903	cytidine or uridine + ATP => CMP or UMP + ADP [UCK2]	undefined	Cyt-Rib, Ura-Rib,ATP	ADP,CMP, UMP	UCK2 tetramer,catalyst	CHEBI:17562,CHEBI:16704,species_109402,species_727810,Q9BZX2,ENST00000470820	1.291238404	0.008806056	0.0030018379999999	0.01397586924591762
10	0	reaction_109291	CMP or TMP or UMP + H2O => cytidine, thymidine, or uridine + orthophosphate [NT5E]	undefined	H2O,CMP, TMP, UMP	Cyt-Rib, Thy-dRib, Ura-Rib,phosphoric acid	NT5E:Zn2+ dimer,catalyst	species_109402,species_727810,species_109366,CHEBI:17562,CHEBI:16704,species_83928,P21589,ENST00000369651,species_216667	1.291238404	0.0030018379999999	0.008806056	0.01397586924591762
11	0	reaction_109470	(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C)	undefined	(d)GMP, (d)IMP,H2O	phosphoric acid,Gu-Rib, dG, Ino, dI	NT5C dimer,catalyst	species_109327,species_5696194,species_29602,species_9731659,species_83927,CHEBI:17172,CHEBI:16750,CHEBI:28997,Q8TCD5,ENST00000580758,species_29926	1.7970699739999998	0.000214923	1	0.03985069765951999
12	0	reaction_74215	HPRT1 catalyzes the conversion of guanine or hypoxanthine to GMP or IMP	undefined	PRPP,Gua, Hyp	GMP, IMP,PPi	HPRT1 tetramer,catalyst	species_83956,species_113599,species_5696194,species_29602,P00492,ENST00000298556,species_29926	1.747200004	0.615816784797986	0.000214923	0.031272434378904077
13	0	reaction_74255	Guanine + H2O => Xanthine + NH4+	undefined	H+,H2O,guanine	NH4+,xanthine	GDA dimer,catalyst	Q9Y2T3,ENST00000545168,species_216667	1.4416125	0.471141775	0.0000187	0.00806846820732802
14	0	reaction_109278	NT5E:Zn2+ hydrolyses AMP,dAMP,GMP, IMP	undefined	H2O,AMP, dAMP, GMP, IMP	Ade-Rib, dA, Gua-Rib, Ino,phosphoric acid	NT5E:Zn2+ dimer,catalyst	species_109386,species_5696194,species_29602,species_159448,species_83927,CHEBI:16750,CHEBI:17256,species_83909,P21589,ENST00000369651,species_216667	1.7609089619999998	0.000214923	1	0.03985069765951999
15	0	reaction_109449	(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)	undefined	H2O,(d)CMP, TMP, (d)UMP	phosphoric acid,(d)C, T, (d)U	NT5C3 holoenzyme,catalyst	species_109402,species_727810,species_109378,species_109366,species_500742,CHEBI:16450,CHEBI:17562,CHEBI:16704,CHEBI:15698,species_83928,Q9H0P0,species_29926	1.291238404	0.0030018379999999	0.008806056	0.01397586924591762
16	0	reaction_74372	uracil + (deoxy)ribose 1-phosphate <=> (deoxy)uridine + orthophosphate [UPP]	undefined	uracil,R1P, dRibP	phosphoric acid,(d)Ura	UPP1, UPP2,catalyst	species_112016,species_112032,CHEBI:16450,CHEBI:16704,Q16831,ENST00000457596,O95045,ENST00000605860	1.062848662	0.002572302	0.008806056	0.012937375427977089
17	0	reaction_109380	(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)	undefined	H2O,(d)CMP, TMP, (d)UMP	phosphoric acid,(d)C, T, (d)U	NT5C1A tetramer,catalyst,ADP,catalyst	species_109402,species_727810,species_109378,species_109366,species_500742,CHEBI:16450,CHEBI:17562,CHEBI:16704,CHEBI:15698,species_83928,Q9BXI3,ENST00000235628,species_29926	1.291238404	0.0030018379999999	0.008806056	0.01397586924591762
18	0	reaction_8851550	NTPDase8 hydrolyzes nucleoside diphosphates	undefined	H2O,ADP,GDP,IDP,CDP,TDP,UDP	phosphoric acid,AMP,GMP,IMP,CMP,TMP,UMP,H+	NTPDase8:Ca2+,Mg2+,catalyst	species_29370,species_110096,species_2509811,species_110094,CHEBI:58369,species_29420,species_109402,species_727810,species_5696194,species_109366,species_29602,species_159448,Q5MY95,ENST00000371506,species_1606834,species_29926	1.266954114	0.943991378	0.002183381139289775	0.12340798832826809
