index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_70569_reaction_202127	arginine + H2O => ornithine + urea [ARG1] // eNOS synthesizes NO	true	NADPH,O2,L-Arg	urea,ornithine	ARG1 trimer,catalyst,p-S1177-eNOS:CaM:HSP90:p-AKT1:BH4,catalyst,ADMA,inhibitor	species_1981162,P05089,ENST00000640973,P07900,ENST00000334701,species_76629,species_1606834,species_71185,P29474,ENST00000484524,P0DP23,ENST00000356978,species_29870,species_113596,P31749,ENST00000683722,species_216667	1.090684977	3.2200000000000004e-8	0.023686914	0.00007507177066435009
1	0	reaction_74247	XDH oxidizes hypoxanthine to form xanthine	false	H2O,O2,hypoxanthine	H2O2,xanthine	XDH dimer,catalyst	P47989,ENST00000379416,CHEBI:44074,species_113596	1.1180442275	0.0000187	0.09930557021931803	0.003704265356000278
2	0	reaction_9727347	XDH dehydrogenates hypoxanthine to form xanthine	false	H2O,hypoxanthine,NAD+	H+,NADH,xanthine	XDH dimer,catalyst	P47989,ENST00000379416,CHEBI:44074,species_113596	1.1180442275	0.0000187	0.09930557021931803	0.003704265356000278
3	0	reaction_9727349	XDH dehydrogenates xanthine to form urate	false	H2O,xanthine,NAD+	uric acid,H+,NADH	XDH dimer,catalyst	P47989,ENST00000379416,CHEBI:44074,species_113596	1.1180442275	0.0000187	0.09930557021931803	0.003704265356000278
4	0	reaction_174374_reaction_5696838_reaction_5676940	MTR transfers CH3 from MeCbl to HCYS // BHMT2 tetramer transfers CH3 group from SMM to LHCYS // MSRA reduces L-methyl-(S)-S-oxide to L-Methionine	true	MTRR:MTR:cob(I)alamin,L-Met	TXN,methionine sulfoxide	BHMT2:Zn2+ tetramer,catalyst,MTRR:MTR:MeCbl,catalyst,MSRA,catalyst	Q9H2M3,ENST00000521567,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,species_3159260,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,ENST00000374517,ENST00000374517,ENST00000645318	1.084347292	0.024643156	0.023686914	0.06567451687959669
5	0	reaction_174374_reaction_5696838_reaction_5676912	MTR transfers CH3 from MeCbl to HCYS // BHMT2 tetramer transfers CH3 group from SMM to LHCYS // Methionine is oxidised to methionine sulfoxide	true	MTRR:MTR:cob(I)alamin,L-Met	MetO,H2O	BHMT2:Zn2+ tetramer,catalyst,MTRR:MTR:MeCbl,catalyst	Q9H2M3,ENST00000521567,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,species_3159260,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,species_5676932,species_5676925	1.084347292	0.024643156	0.023686914	0.06567451687959669
6	0	reaction_174374_reaction_1614654_reaction_5676912	MTR transfers CH3 from MeCbl to HCYS // BHMT tetramer transfers CH3 group from BET to HCYS to form DMGLY // Methionine is oxidised to methionine sulfoxide	true	MTRR:MTR:cob(I)alamin,L-Met	MetO,H2O	BHMT:Zn2+ tetramer,catalyst,MTRR:MTR:MeCbl,catalyst	Q93088,ENST00000274353,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,species_3159260,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,species_5676932,species_5676925	1.084347292	0.024643156	0.023686914	0.06567451687959669
7	0	reaction_174374_reaction_1614654_reaction_5676940	MTR transfers CH3 from MeCbl to HCYS // BHMT tetramer transfers CH3 group from BET to HCYS to form DMGLY // MSRA reduces L-methyl-(S)-S-oxide to L-Methionine	true	MTRR:MTR:cob(I)alamin,L-Met	TXN,methionine sulfoxide	BHMT:Zn2+ tetramer,catalyst,MTRR:MTR:MeCbl,catalyst,MSRA,catalyst	Q93088,ENST00000274353,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,species_3159260,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,ENST00000374517,ENST00000374517,ENST00000645318	1.084347292	0.024643156	0.023686914	0.06567451687959669
8	0	reaction_71241_reaction_2162187_reaction_70938	TMLHE dimer dioxygenates TMLYS and 2OG to form HTMLYS and SUCCA // DHB is hydroxylated to DHDB by COQ6 // lysine + alpha-ketoglutarate +NADPH + H+ => saccharopine + NADP+ + H2O	true	CO2,succinic acid,HTMLYS	NADPH,lysine,alpha ketoglutaric acid,H+	COQ6:FAD,catalyst,TMLHE:AscH-:Fe2+ dimer,catalyst,AASS tetramer,catalyst	Q9Y2Z9,ENST00000394026,species_113596,Q9NVH6,ENST00000675642,species_198816,species_71067,Q9UDR5,ENST00000679864	1.6175573250000002	0.000172834	0.023686914	0.0055000079105622405
9	0	reaction_70938_reaction_6808487_reaction_71046	lysine + alpha-ketoglutarate +NADPH + H+ => saccharopine + NADP+ + H2O // ALDH1L2 dehydrogenates 10-formyl-THFPG to THFPG // glutaryl-CoA + FAD => crotonyl-CoA + FADH2 + CO2	true	NADPH,lysine,alpha ketoglutaric acid,H+	FAD,GL-CoA	ADH1L2 tetramer,catalyst,AASS tetramer,catalyst,GCDH tetramer,catalyst	Q3SY69,ENST00000552270,Q9UDR5,ENST00000679864,Q92947,ENST00000591470,species_113596	1.6175573250000002	0.000172834	0.023686914	0.0055000079105622405
10	0	reaction_70938_reaction_6808487_reaction_71401	lysine + alpha-ketoglutarate +NADPH + H+ => saccharopine + NADP+ + H2O // ALDH1L2 dehydrogenates 10-formyl-THFPG to THFPG // alpha-ketoglutarate + CoASH + NAD+ => succinyl-CoA + CO2 + NADH + H+	true	NADPH,lysine,alpha ketoglutaric acid,H+	NAD+,CoA-SH,alpha ketoglutaric acid	ADH1L2 tetramer,catalyst,AASS tetramer,catalyst,lipo-aKGDH,catalyst	Q3SY69,ENST00000552270,Q9UDR5,ENST00000679864,P36957,ENST00000334220,P09622,ENST00000437604,species_29480,CHEBI:17460,Q02218,ENST00000449767,species_113596	1.6175573250000002	0.000172834	0.023686914	0.0055000079105622405
11	0	reaction_70938_reaction_6808487_reaction_9012268	lysine + alpha-ketoglutarate +NADPH + H+ => saccharopine + NADP+ + H2O // ALDH1L2 dehydrogenates 10-formyl-THFPG to THFPG // ME2:Mg2+ tetramer oxidatively decarboxylates MAL to PYR	true	NADPH,lysine,alpha ketoglutaric acid,H+	NAD+,malic acid	ADH1L2 tetramer,catalyst,AASS tetramer,catalyst,ME2:Mg2+ tetramer,catalyst,fumaric acid,catalyst,ATP,inhibitor	Q3SY69,ENST00000552270,Q9UDR5,ENST00000679864,P23368,ENST00000382927,species_29926	1.471821038	0.000172834	0.361250699	0.021478968473373834
12	0	reaction_70938_reaction_6808487_reaction_70713	lysine + alpha-ketoglutarate +NADPH + H+ => saccharopine + NADP+ + H2O // ALDH1L2 dehydrogenates 10-formyl-THFPG to THFPG // BCKDH transfers CoA group from CoA-SH to BCAAs	true	NADPH,lysine,alpha ketoglutaric acid,H+	NAD+,CoA-SH,KIC, KMVA, KIV	ADH1L2 tetramer,catalyst,AASS tetramer,catalyst,lipo-BCKDH,catalyst	Q3SY69,ENST00000552270,Q9UDR5,ENST00000679864,CHEBI:28654,CHEBI:16530,CHEBI:17865,species_70715,species_70851,species_70718,P11182,ENST00000370132,P09622,ENST00000437604,species_29480,P21953,ENST00000369760,species_113596,P12694,ENST00000457836	1.6175573250000002	0.000172834	0.023686914	0.0055000079105622405
13	0	reaction_74258	XDH oxidizes xanthine to form urate	false	H2O,O2,xanthine	uric acid,H2O2	XDH dimer,catalyst	P47989,ENST00000379416,CHEBI:44074,species_113596	1.1180442275	0.0000187	0.09930557021931803	0.003704265356000278
14	0	reaction_5676912_reaction_174374	Methionine is oxidised to methionine sulfoxide // MTR transfers CH3 from MeCbl to HCYS	true	MTRR:MTR:MeCbl,HCYS	MetO,H2O	MTRR:MTR:MeCbl,catalyst	species_5676932,species_5676925,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,species_3159260,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667	1.084347292	0.024643156	0.023686914	0.06567451687959669
15	0	reaction_5676940_reaction_174374	MSRA reduces L-methyl-(S)-S-oxide to L-Methionine // MTR transfers CH3 from MeCbl to HCYS	true	TXN,methionine sulfoxide	MTRR:MTR:cob(I)alamin,L-Met	MSRA,catalyst,MTRR:MTR:MeCbl,catalyst	ENST00000374517,ENST00000374517,ENST00000645318,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,species_3159260,Q9UBK8,ENST00000440940,species_113596,species_216667,Q99707,ENST00000535889,species_76629,CHEBI:28115,Q9UBK8,ENST00000440940,species_113596,species_216667	1.084347292	0.024643156	0.023686914	0.06567451687959669
