index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_198440_reaction_916855_reaction_70654	SLC25A11 exchanges malate and alpha-ketoglutarate (2-oxoglutarate) across the inner mitochondrial membrane // PXLP-K357-ABAT dimer:2Fe-2S transforms GABA to SUCCSA // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	malic acid,2OG	ornithine,2OG	PXLP-K357-ABAT dimer:2Fe-2S,catalyst,SLC25A11 homodimer,catalyst,OAT hexamer,catalyst	P80404,ENST00000425191,CHEBI:33739,Q02978,ENST00000544061,P04181,ENST00000539214	1.238475696	0.007328161	3.2200000000000004e-8	0.00004175609902682556
1	0	reaction_198440_reaction_70596_reaction_70654	SLC25A11 exchanges malate and alpha-ketoglutarate (2-oxoglutarate) across the inner mitochondrial membrane // GOT2 dimer deaminates L-Asp // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	malic acid,2OG	ornithine,2OG	GOT2 dimer,catalyst,SLC25A11 homodimer,catalyst,OAT hexamer,catalyst	P00505,ENST00000434819,Q02978,ENST00000544061,P04181,ENST00000539214	1.238475696	0.007328161	3.2200000000000004e-8	0.00004175609902682556
2	0	reaction_70664_reaction_70667_reaction_70654	PYCR1 decamer reduces (S)-1-pyrroline-5-carboxylate to L-Pro // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	proline,NAD+	ornithine,2OG	PYCR1 decamer,catalyst,OAT hexamer,catalyst	P32322,ENST00000619204,P04181,ENST00000539214	1.287135443	0.000637014	3.2200000000000004e-8	0.000012311101342044729
3	0	reaction_70670_reaction_70667_reaction_70654	PRODH oxidises L-Pro to 1PYR-5COOH // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	FAD,proline	ornithine,2OG	PRODH(1-?),catalyst,OAT hexamer,catalyst	ENST00000357068,P04181,ENST00000539214	1.287135443	0.000637014	3.2200000000000004e-8	0.000012311101342044729
4	0	reaction_6783939_reaction_70667_reaction_70654	PYCR2 decamer reduces (S)-1-pyrroline-5-carboxylate to L-Pro // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	proline,NAD+	ornithine,2OG	PYCR2 decamer,catalyst,OAT hexamer,catalyst	Q96C36,ENST00000343818,P04181,ENST00000539214	1.287135443	0.000637014	3.2200000000000004e-8	0.000012311101342044729
5	0	reaction_73589_reaction_73591_reaction_70899	5,6-dihydrouracil + H2O => beta-ureidopropionate // beta-ureidopropionate + H2O => beta-alanine + NH4+ + CO2 // histidine => urocanate + NH4+	true	5,6-dihydrouracil,H2O	histidine	UPB1:Zn2+,catalyst,DPYS tetramer,catalyst,HAL,catalyst	Q9UBR1,ENST00000326010,species_216667,Q14117,ENST00000351513,species_216667,ENST00000541929	1.720875824	0.00000377	0.0000926	0.000050789115588370775
6	0	reaction_507749_reaction_70654	PXLP-K341-GPT2 transaminates PYR to form L-Ala // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	ornithine,2OG	alanine,2OG	PXLP-K341-GPT2 dimer,catalyst,OAT hexamer,catalyst	Q8TD30,P04181,ENST00000539214	1.1430547039999999	3.2200000000000004e-8	0.00095755	0.0000150939583772614
7	0	reaction_1362408_reaction_9012597_reaction_70654	FXN:NFS1:ISD11:ISCU assembles 2Fe-2S iron-sulfur cluster // GOT2 dimer transfers amino group from L-Cys to 2OG to form 3MPYR and Glu // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	alanine,FXN:NFS1:ISD11:ISCU:2Fe-2S Cluster,FDX1,FDX2 (oxidized)	ornithine,2OG	GOT2 dimer,catalyst,2 Iron:FXN:NFS1:ISD11:ISCU,catalyst,FDX1,FDX2 (reduced),catalyst,OAT hexamer,catalyst	P00505,ENST00000434819,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,species_71067,Q6P4F2,ENST00000393708,CHEBI:33738,P10109,ENST00000260270,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,CHEBI:33739,Q6P4F2,ENST00000393708,CHEBI:33737,P10109,ENST00000260270,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,species_71067,Q6P4F2,ENST00000393708,CHEBI:33738,P10109,ENST00000260270,P04181,ENST00000539214	1.1430547039999999	0.00095755	3.2200000000000004e-8	0.0000150939583772614
8	0	reaction_198440_reaction_9012597_reaction_70654	SLC25A11 exchanges malate and alpha-ketoglutarate (2-oxoglutarate) across the inner mitochondrial membrane // GOT2 dimer transfers amino group from L-Cys to 2OG to form 3MPYR and Glu // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	malic acid,2OG	ornithine,2OG	GOT2 dimer,catalyst,SLC25A11 homodimer,catalyst,OAT hexamer,catalyst	P00505,ENST00000434819,Q02978,ENST00000544061,P04181,ENST00000539214	1.238475696	0.007328161	3.2200000000000004e-8	0.00004175609902682556
9	0	reaction_508179_reaction_70654	a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate <=> leu, ile, or val + alpha-ketoglutarate [BCAT2] // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	ornithine,2OG	2OG,Leu, Ile, Val	BCAT2 dimer,catalyst,OAT hexamer,catalyst	CHEBI:28654,CHEBI:16530,CHEBI:17865,species_29702,species_29588,species_113537,O15382,ENST00000545387,P04181,ENST00000539214	1.032825368	3.2200000000000004e-8	0.18021325098846605	0.00020706933004828874
