	log2fc	p-adj
maltose	0.139330386	0.6438136
cysteine	0.676315159	2.28e-06
octadecane-1,12-diol	-0.192029528	0.054898268
fumaric acid	0.09684086	0.361250699
valine	0.01939655	0.765924786
levoglucosan	-0.16877771	0.36948541
trehalose	0.189363463	0.55251835
3-aminoisobutyric acid	-0.179596171	0.268788057
5'-deoxy-5'-methylthioadenosine	0.840279807	0.001734452
quinic acid	-0.362192381	0.457769051
pseudo uridine	-0.07654489	0.352328601
fucose-rhamnose	1.083475984	0.000752443
oxoproline	0.212251017	0.007684847
phenylalanine	0.190696526	0.071881265
ethanol phosphate	0.106718162	0.515107093
adenosine	0.246673065	0.405494406
mannitol	-0.453376646	0.018689217
uracil	0.540644717	0.002572302
alanine	0.294946874	0.00095755
citric acid	-0.636298204	0.000501045
hydroxycarbamate	-0.090628653	0.323823535
2-monopalmitin	-0.23889284	0.304778309
threitol	-0.107031561	0.317372193
1-monostearin	-0.226174471	0.028190959
N-acetyl-D-mannosamine	0.468630833	0.000183534
digalacturonic acid	0.020673211	0.907346528
indole-3-lactate	0.19253182	0.170232153
2-ketoisocaproic acid	-0.21543181	0.142382123
pyrophosphate	-0.041297457	0.720539197
uric acid	0.49603624	0.003458475
myristic acid	-0.126354716	0.152408467
arabitol	0.497203995	4.33e-05
maleimide	0.064924663	0.608338587
galactose-6-phosphate	-0.163492098	0.237908294
methionine sulfoxide	-0.841770145	0.024643156
lauric acid	-0.208178192	0.079279578
phenylpyruvic acid	0.072128051	0.399951132
behenic acid	-0.106513606	0.38230308
acetophenone	-0.418884658	0.025601646
urea	0.052125115	0.58452693
2-monoolein	0.089193452	0.494286495
stearic acid	-0.277838822	0.032109113
fucose	0.534858519	0.01128446
guanine	-0.094394699	0.471141775
isoleucine	0.243870183	0.004716428
glucuronic acid	-0.044546439	0.672488974
adenine	0.541532966	0.000600989
dihydroabietic acid	0.120499967	0.527736334
3-hydroxybutanoic acid	-0.122650042	0.679065143
icosenoic acid	-0.042541432	0.784226267
arabinose	0.254745248	0.003086555
5-aminovaleric acid	0.685248295	0.286770074
inosine	0.024216747	0.842693738
glycerol-3-galactoside	1.089042751	0.04131462
kynurenine	-0.349060539	0.110070081
