index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_10902645_reaction_10904197_reaction_10911355	acetate + CoA + ATP => acetyl-CoA + AMP + pyrophosphate [mitochondrial] // Adenylate Kinase 3 is a GTP-AMP phosphotransferase // AK4 phosphorylates (d)NMPs to (d)NDPs	true	CH3COO-,CoenzymeA,ATP	(d)NMPs,ATP	AK3,catalyst,ACSS1,catalyst,AK4,catalyst	YER170W,YAL054C,species_109395,species_109386,CHEBI:57566,species_159448,CHEBI:57667,CHEBI:58593,species_29370,species_110094,YER170W	1.293770358	0.036937349	0.314272073	0.29287360866748996
1	0	reaction_10902645_reaction_10904197_reaction_10894409	acetate + CoA + ATP => acetyl-CoA + AMP + pyrophosphate [mitochondrial] // Adenylate Kinase 3 is a GTP-AMP phosphotransferase // Pyruvate, HCO3-, and ATP react to form oxaloacetate, ADP, and phosphate	true	CH3COO-,CoenzymeA,ATP	Pyruvate,ATP,HCO3-	AK3,catalyst,ACSS1,catalyst,PC tetramer,catalyst,Ac-CoA,catalyst	YER170W,YAL054C,species_1981162,P11154,YGL062W	1.182765347	0.036937349	0.692554609	0.4347647803202229
2	0	reaction_10902645_reaction_10904197_reaction_10894735	acetate + CoA + ATP => acetyl-CoA + AMP + pyrophosphate [mitochondrial] // Adenylate Kinase 3 is a GTP-AMP phosphotransferase // ADP + Orthophosphate + Succinyl-CoA <=> ATP + Succinate + CoA	true	CH3COO-,CoenzymeA,ATP	CoenzymeA,Succinate,ATP	AK3,catalyst,ACSS1,catalyst,SUCLA2:SUCLG1,catalyst	YER170W,YAL054C,P53598,YOR142W,P53312,YGR244C	1.400436451	0.036937349	0.036937349	0.10259146353589163
3	0	reaction_10903378_reaction_10910430	ALDH5A1 dehydrogenates SUCCSA to SUCCA // DLD dimer:2xFAD oxidises GCSH:DHLL to GCSH:lipoate	true	NAD+,GCSH:DHLL	NADH,Succinate,H+	ALDH5A1 tetramer,catalyst,DLD dimer:2xFAD,catalyst	P38067,YBR006W,CHEBI:50746,P39726,YAL044C,YAL044C,P09624,YFL018C,species_113596	2.006339086	0.022805273	0.039402047	0.081483844630914
4	0	reaction_10903131_reaction_10903429_reaction_10903378	PXLP-K341-GPT2 transaminates PYR to form L-Ala // PXLP-K357-ABAT dimer:2Fe-2S transforms GABA to SUCCSA // ALDH5A1 dehydrogenates SUCCSA to SUCCA	true	Pyruvate,L-Glu	NADH,Succinate,H+	PXLP-K357-ABAT dimer:2Fe-2S,catalyst,PXLP-K341-GPT2 dimer,catalyst,ALDH5A1 tetramer,catalyst	P17649,YGR019W,CHEBI:33739,P52892,YDR111C,P52893,YLR089C,P38067,YBR006W	1.6181075550000001	0.692554609	0.039402047	0.4490357163394223
5	0	reaction_10903131_reaction_10903429_reaction_10894430	PXLP-K341-GPT2 transaminates PYR to form L-Ala // PXLP-K357-ABAT dimer:2Fe-2S transforms GABA to SUCCSA // glutamate + acetyl CoA => N-acetyl glutamate + CoA	true	Pyruvate,L-Glu	CoenzymeA,NAcGlu	PXLP-K357-ABAT dimer:2Fe-2S,catalyst,PXLP-K341-GPT2 dimer,catalyst,ARG5,6,catalyst,Arginine,catalyst	P17649,YGR019W,CHEBI:33739,P52892,YDR111C,P52893,YLR089C,YER069W	1.182765347	0.692554609	0.036937349	0.4347647803202229
6	0	reaction_10903378_reaction_10900939_reaction_10894932	ALDH5A1 dehydrogenates SUCCSA to SUCCA // 5-hydroxyindole acetaldehyde to 5-hydroxyindole acetic acid // alpha-ketoglutarate + CoASH + NAD+ => succinyl-CoA + CO2 + NADH + H+	true	NADH,Succinate,H+	NAD+,CoenzymeA,2OG	ALDH2 tetramer,catalyst,ALDH5A1 tetramer,catalyst,lipo-aKGDH,catalyst	P46367,YPL061W,P40047,YPL061W,P54115,YPL061W,P38067,YBR006W,species_29480,P09624,YFL018C,P20967,YIL125W,CHEBI:17460,P19262,YDR148C,species_113596	2.800872902	0.039402047	0.036937349	0.10370190529602485
7	0	reaction_10903378_reaction_10900939_reaction_10910430	ALDH5A1 dehydrogenates SUCCSA to SUCCA // 5-hydroxyindole acetaldehyde to 5-hydroxyindole acetic acid // DLD dimer:2xFAD oxidises GCSH:DHLL to GCSH:lipoate	true	NADH,Succinate,H+	NAD+,GCSH:DHLL	ALDH2 tetramer,catalyst,ALDH5A1 tetramer,catalyst,DLD dimer:2xFAD,catalyst	P46367,YPL061W,P40047,YPL061W,P54115,YPL061W,P38067,YBR006W,CHEBI:50746,P39726,YAL044C,YAL044C,P09624,YFL018C,species_113596	2.006339086	0.039402047	0.022805273	0.081483844630914
8	0	reaction_10903378_reaction_10900939_reaction_10894766	ALDH5A1 dehydrogenates SUCCSA to SUCCA // 5-hydroxyindole acetaldehyde to 5-hydroxyindole acetic acid // alpha-ketoadipate + CoASH + NAD+ => glutaryl-CoA + CO2 + NADH + H+	true	NADH,Succinate,H+	NAD+,CoenzymeA,aKADA	ALDH2 tetramer,catalyst,ALDH5A1 tetramer,catalyst,lipo-aKGDH,catalyst	P46367,YPL061W,P40047,YPL061W,P54115,YPL061W,P38067,YBR006W,species_29480,P09624,YFL018C,P20967,YIL125W,CHEBI:17460,P19262,YDR148C,species_113596	2.800872902	0.039402047	0.036937349	0.10370190529602485
9	0	reaction_10903378_reaction_10900939_reaction_10894930	ALDH5A1 dehydrogenates SUCCSA to SUCCA // 5-hydroxyindole acetaldehyde to 5-hydroxyindole acetic acid // lipo-PDH decarboxylates PYR to Ac-CoA	true	NADH,Succinate,H+	NAD+,CoenzymeA,Pyruvate	ALDH2 tetramer,catalyst,ALDH5A1 tetramer,catalyst,lipo-PDH,catalyst	P46367,YPL061W,P40047,YPL061W,P54115,YPL061W,P38067,YBR006W,species_29480,P32473,YBR221C,P09624,YFL018C,P16387,YER178W,species_113596,P12695,YNL071W	2.2094902285	0.039402047	0.036937349	0.27254653124404365
