index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_10903429_reaction_10894600	PXLP-K357-ABAT dimer:2Fe-2S transforms GABA to SUCCSA // leu, ile, or val + alpha-ketoglutarate <=> a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate [BCAT2]	true	2OG,Leu, Ile, Val	Glutamate,SUCCSA	PXLP-K357-ABAT dimer:2Fe-2S,catalyst,BCAT2 dimer,catalyst	P17649,YGR019W,CHEBI:33739,CHEBI:57762,species_29588,CHEBI:58045,CHEBI:28654,CHEBI:16530,CHEBI:17865,P38891,YHR208W	1.496004719	1	0.000133668	0.03142738217911034
1	0	reaction_10903429_reaction_10894544	PXLP-K357-ABAT dimer:2Fe-2S transforms GABA to SUCCSA // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	L-Orn,2OG	Glutamate,SUCCSA	PXLP-K357-ABAT dimer:2Fe-2S,catalyst,OAT hexamer,catalyst	P17649,YGR019W,CHEBI:33739,P07991,YLR438W	1.462620537	0.023994311	0.000137623	0.004939626752380706
2	0	reaction_10894511_reaction_10896147	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // UTP + glutamine + ATP + H2O => CTP + glutamate + ADP + orthophosphate [CTPS]	true	Glutamate,NH4+,ATP	CTP,ADP,Glutamate,H+,Pi	GLUL decamer,catalyst,CTPS tetramer,catalyst	P32288,YPR035W,P28274,YBL039C	1.512652852	0.023994311	0.030856243	0.07396395858237488
3	0	reaction_10894511_reaction_10896302	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate	true	Glutamate,NH4+,ATP	Glutamate,H+,AMP,GMP,PPi	GLUL decamer,catalyst,GMPS,catalyst	P32288,YPR035W,YMR217W	1.512652852	0.023994311	0.030856243	0.07396395858237488
4	0	reaction_10894511_reaction_10902630	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // GFPT1,2 transfer an amino group from L-Gln to F6P to form GlcN6P	true	Glutamate,NH4+,ATP	Glutamate,GlcN6P	GLUL decamer,catalyst,GFPT1,2,catalyst	P32288,YPR035W,P14742,YKL104C,P0CF18,YMR085W	1.512652852	0.023994311	0.030856243	0.07396395858237488
5	0	reaction_10894511_reaction_10896372	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // FGAR + L-Glutamine + ATP + H2O => FGAM + L-Glutamate + ADP + Pi	true	Glutamate,NH4+,ATP	ADP,Glutamate,H+,Pi,FGAM	GLUL decamer,catalyst,PFAS,catalyst	P32288,YPR035W,YGR061C	1.512652852	0.023994311	0.030856243	0.07396395858237488
6	0	reaction_10894511_reaction_10899335	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // NADSYN1 hexamer amidates NAAD to NAD+	true	Glutamate,NH4+,ATP	Glutamate,AMP,PPi,NAD+	GLUL decamer,catalyst,NADSYN1 hexamer,catalyst	P32288,YPR035W,P38795,YHR074W	1.512652852	0.023994311	0.030856243	0.07396395858237488
7	0	reaction_10894511_reaction_10918312	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // GMPS dimer transforms 6TXMP to 6TGMP	true	Glutamate,NH4+,ATP	Glutamate,H+,6TGMP,AMP,PPi	GLUL decamer,catalyst,GMPS dimer,catalyst	P32288,YPR035W,P38625,YMR217W	1.512652852	0.023994311	0.030856243	0.07396395858237488
8	0	reaction_10894511_reaction_10896074	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // CAD hexamer transforms L-Gln to CAP	true	Glutamate,NH4+,ATP	ADP,Glutamate,H+,Pi,CAP	GLUL decamer,catalyst,CAD hexamer,catalyst	P32288,YPR035W,P07259,YJL130C	1.512652852	0.023994311	0.030856243	0.07396395858237488
9	0	reaction_10894511_reaction_10903115	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // UTP + glutamine + ATP + H2O => CTP + glutamate + ADP + orthophosphate [CTPS2]	true	Glutamate,NH4+,ATP	ADP,CTP,Glutamate,H+,Pi	GLUL decamer,catalyst,CTPS2 tetramer,catalyst	P32288,YPR035W,P28274,YBL039C,P38627,YJR103W	1.512652852	0.023994311	0.030856243	0.07396395858237488
10	0	reaction_10894511_reaction_10894501	glutamate + NH4+ + ATP => glutamine + ADP + orthophosphate [GLUL] // aspartate + glutamine + ATP <=> asparagine + glutamate + AMP + pyrophosphate [ASNS]	true	Glutamate,NH4+,ATP	Glutamate,L-Asn,AMP,PPi	GLUL decamer,catalyst,ASNS dimer,catalyst	P32288,YPR035W,P49090,YPR145W,P49089,YPR145W	1.512652852	0.023994311	0.030856243	0.07396395858237488
11	0	reaction_10916143_reaction_10894932_reaction_10910430	MCAT transfers Mal from Mal-CoA to NDUFAB1 // alpha-ketoglutarate + CoASH + NAD+ => succinyl-CoA + CO2 + NADH + H+ // DLD dimer:2xFAD oxidises GCSH:DHLL to GCSH:lipoate	true	Malonyl-CoA,P32463	NAD+,GCSH:DHLL	lipo-aKGDH,catalyst,Q12283,catalyst,DLD dimer:2xFAD,catalyst	species_29480,P09624,YFL018C,P20967,YIL125W,CHEBI:17460,P19262,YDR148C,species_113596,YKL192C,YKL192C,YOR221C,CHEBI:50746,P39726,YAL044C,YAL044C,P09624,YFL018C,species_113596	3.227369453	0.065849952	0.000012	0.002416366667804927
12	0	reaction_10916143_reaction_10894932_reaction_10910415	MCAT transfers Mal from Mal-CoA to NDUFAB1 // alpha-ketoglutarate + CoASH + NAD+ => succinyl-CoA + CO2 + NADH + H+ // PXLP-K754-GLDC dimer decarboxylates Gly	true	Malonyl-CoA,P32463	P39726,Gly	lipo-aKGDH,catalyst,Q12283,catalyst,PXLP-K754-GLDC dimer,catalyst	species_29480,P09624,YFL018C,P20967,YIL125W,CHEBI:17460,P19262,YDR148C,species_113596,YKL192C,YKL192C,YOR221C,YAL044C,CHEBI:14949,P39726,YAL044C,P49095,YMR189W	3.227369453	0.065849952	0.000012	0.002416366667804927
13	0	reaction_10894544_reaction_10894932_reaction_10910430	ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT] // alpha-ketoglutarate + CoASH + NAD+ => succinyl-CoA + CO2 + NADH + H+ // DLD dimer:2xFAD oxidises GCSH:DHLL to GCSH:lipoate	true	Glutamate,L-Glu5S	NAD+,GCSH:DHLL	lipo-aKGDH,catalyst,OAT hexamer,catalyst,DLD dimer:2xFAD,catalyst	species_29480,P09624,YFL018C,P20967,YIL125W,CHEBI:17460,P19262,YDR148C,species_113596,P07991,YLR438W,CHEBI:50746,P39726,YAL044C,YAL044C,P09624,YFL018C,species_113596	1.462620537	0.023994311	0.000137623	0.004939626752380706
14	0	reaction_10894544_reaction_10894932_reaction_10910415	ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT] // alpha-ketoglutarate + CoASH + NAD+ => succinyl-CoA + CO2 + NADH + H+ // PXLP-K754-GLDC dimer decarboxylates Gly	true	Glutamate,L-Glu5S	P39726,Gly	lipo-aKGDH,catalyst,OAT hexamer,catalyst,PXLP-K754-GLDC dimer,catalyst	species_29480,P09624,YFL018C,P20967,YIL125W,CHEBI:17460,P19262,YDR148C,species_113596,P07991,YLR438W,YAL044C,CHEBI:14949,P39726,YAL044C,P49095,YMR189W	1.462620537	0.023994311	0.000137623	0.004939626752380706
15	0	reaction_10898436_reaction_10903368_reaction_10894544	Reducing equivalents from beta-oxidation of fatty acids transfer to ETF // (R)-2-hydroxyglutarate + FAD => 2-oxoglutarate + FADH2 // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	ETF:FAD,FADH2	Glutamate,L-Glu5S	P46681,catalyst,Co2+,catalyst,Mn2+,catalyst,Zn2+,catalyst,ETF:FAD,catalyst,OAT hexamer,catalyst	YDL178W,P42940,YGR207C,species_113596,Q12480,YPR004C,species_159448,P42940,YGR207C,species_31649,Q12480,YPR004C,species_159448,P42940,YGR207C,species_113596,Q12480,YPR004C,species_159448,P07991,YLR438W	1.462620537	0.023994311	0.000137623	0.004939626752380706
