	log2fc	p-val 
Fructose	0.11321061	0.702549414
Arginine	-0.090765464	0.326164235
Mannose	0.11321061	0.702549414
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Adenosine	0.461904104	0.19337773
ATP	-1.181997834	0.104145111
Succinate	1.555566089	0.039402047
Glucose	0.653243768	0.326518995
Aspartate	0.394440595	0.142021774
Inosine	1.321928095	0.052712799
CoenzymeA	-1.245306813	0.036937349
Alanine	0.452822162	0.033563829
Citric acid	1.394278939	0.012665628
Lactic acid	0.126830022	0.727564205
alpha-ketoglutarate	0.442943496	0.309423425
Malate	1.301169535	0.063217353
Pyruvate	-0.062541466	0.692554609
Fructose-6-Phosphate	-0.153746532	0.554052301
Valine	0.529693954	0.387801239
