	log2fc	p-adj
UBC9	-0.051427957	0.720353447
SDS3	0.103658083	0.372615822
MTG1	-1.352435741	1.16e-05
HEM4	-0.184322061	0.125904868
PEX19	0.109926733	0.054739528
SPC34	0.124320849	0.190337831
SEC15	0.097427822	0.262471008
HTD2	-1.006362613	3.1e-07
HAP5	-0.060968014	0.382171995
KAP95	-0.036774898	0.49306492
MXR2	-0.016138588	0.957201018
ALG2	0.215421407	0.007935263
CHS5	-0.04547132	0.415235094
ROG1	0.726736198	0.005729773
SSD1	-0.00281673	0.929351955
VTH1	0.569747181	0.000140098
YAL044W-A	-0.102137309	0.649332605
GWT1	0.123733171	0.021921277
PRP31	0.056186035	0.229358272
MEC1	0.398246305	6.72e-05
PRY2	1.117544949	0.295736771
DOA1	-0.056117377	0.435454155
ARF3	-0.034998941	0.625032937
ACM1	-0.199189822	0.206564624
SDT1	-0.164901869	0.004836427
RPB9	-0.049512525	0.76648869
HRB1	0.086278159	0.424632441
GLN4	-0.163299987	0.014633497
LCP5	0.254259688	0.013956696
TOM70	-0.10466069	0.119002264
BNI1	0.158144019	0.000824588
PHO4	-0.384084496	0.013101598
RRG8	-1.737696929	2.51e-05
NMD3	-0.006086033	0.874127991
ADE2	0.286020766	0.002515922
YEL025C	0.499093413	0.06247142
MSH6	0.128561314	0.204608151
CSE4	0.114998023	0.061755201
SPE3	0.203465648	0.006520994
OCA2	0.432717901	4.35e-05
ASI3	0.346841152	0.078868322
ARK1	0.189923227	0.073190215
RAD34	0.033388208	0.546571709
ABD1	0.029403113	0.0389515
COX2	-3.718569251	0.000263257
CKI1	-0.138718014	0.000578748
RFC1	0.04869342	0.171022096
SPT4	0.176644134	0.172123041
RPS23A	-0.651255212	0.184092871
YMR209C	0.077577177	0.197163071
HMG2	0.475110223	0.001296397
MSW1	-1.081178448	7.35e-07
YOR1	0.350586146	0.004030634
ACP1	-0.257587649	0.065849952
GCD2	0.037574601	0.372008903
SCL1	-0.0148045	0.892431897
BEM3	0.130477647	0.106634382
RAM1	0.204540683	0.015602537
SUM1	0.214586171	0.068652367
MRP7	-0.492113826	5.38e-07
CPR8	-0.662705929	1.91e-05
PEP7	-0.003286343	0.93675112
NNF2	0.270083794	0.001672178
TOD6	0.196414729	0.192030676
ERV2	-0.076571368	0.757197363
NVJ1	-0.071353316	0.235563069
LPD1	-0.980206872	7.63e-06
TCB1	0.179796189	0.040182157
YPR147C	-0.072410768	0.63523364
SMF2	0.28540977	0.012786697
MAD2	0.148551992	0.094324183
CCT2	-0.180069721	0.064910746
OSH3	0.155152982	0.031651418
PDH1	2.143451065	4.69e-05
TIF4631	-0.243439399	0.03236122
NTG2	0.103491328	0.681001089
SSP120	-0.011635572	0.867373311
TAF2	0.192532283	0.000883033
MBR1	-0.775503165	0.035101302
PBS2	-0.01753538	0.798840757
BUR2	0.193968954	0.012842032
YPT10	0.155018612	0.018778228
ISN1	-0.006200879	0.930329268
VPS30	0.099517282	0.15047585
UTP13	-0.105935627	0.119484732
YHM2	-1.950505477	0.000322588
OMA1	-0.255751662	0.002129003
VMA16	-0.051079451	0.742538671
RPL13A	-0.45861847	0.121156384
MDM12	0.105635392	0.301432966
