	log2fc	p-adj
SCS22	0.624341505	7.82e-05
BIR1	0.048943809	0.492117073
CTF3	0.114067246	0.002544822
CCM1	-0.693304797	7.41e-05
YJL206C	0.515922181	0.000361389
CBP6	-0.330094935	0.012121233
ATP6	-3.024107259	0.000233663
KKQ8	0.323050022	0.00075658
PGA3	0.348125336	0.002134213
YAP3	-0.201394815	0.072021114
YDR248C	0.127275531	0.103729634
MNN2	0.089913512	0.378812683
YLR143W	0.084699712	0.602479367
AIM46	-0.897316219	0.000406262
SAC3	0.256914069	0.013923623
MED1	0.037856103	0.632580632
DIF1	1.103937624	9.69e-05
KRE27	0.159471489	0.057517085
SLI1	0.555922862	8.72e-05
TSR2	0.077432924	0.47270964
PFY1	0.189912815	0.007485275
AIM36	-0.232089412	0.045236959
PDS1	-0.23231801	0.023553556
FUN19	-1.033127393	0.010441689
RIM2	-0.834100251	0.000917688
YDR306C	-0.135689912	0.115340541
OPT1	0.907468914	0.000423571
HLR1	0.813484455	0.000661369
ALO1	-0.075176504	0.45010192
TMA10	-0.531724738	0.014924717
IFM1	-0.218422898	0.00753128
PRS4	-0.152809318	0.030192925
TIM21	-0.699415565	5.3e-05
ISN1	-0.006200879	0.930329268
YVH1	0.177449277	0.014826047
TMA64	-0.056780944	0.247669365
YAF9	0.287419799	0.029552583
TDA5	0.578644574	0.001197237
POC4	0.070352335	0.384719298
YPT7	0.17288992	0.034109142
SER1	0.320718815	0.00715443
QDR2	-0.227010479	0.000998489
PRP21	0.323318659	0.036784505
KRE28	0.155256907	0.034706221
CCA1	-0.108034346	0.012812216
CFD1	0.09800256	0.306339365
YJR124C	-0.048737581	0.701843389
IMP1	-0.718468546	1.33e-05
RMR1	0.22089706	0.284941896
CIT3	1.80470806	0.001484991
SNT309	0.027617796	0.792601603
SRB6	0.011280335	0.969625786
CHL4	0.650926873	0.00569462
HIS4	1.22115341	0.001134941
KIN3	-0.080129466	0.241008433
YHR177W	0.300273424	0.074722988
TBS1	0.445636137	0.000384991
ROY1	0.166691297	0.005560912
APE4	0.108291424	0.352229548
BRX1	0.020527434	0.806014784
MED7	0.181235745	0.157681788
BNI1	0.158144019	0.000824588
YNR029C	-0.098070543	0.188819891
SIR3	0.324940138	0.000380915
ARB1	-0.05741838	0.299091176
SIR1	0.203071565	0.114384028
CNB1	0.073804542	0.596245952
TRI1	0.215820965	0.007707422
NGL2	-0.022412739	0.753554997
CDC19	0.269683831	0.27499189
MRPL15	-0.383638209	0.019840259
TBF1	0.188722752	0.046846975
YFR039C	0.297625509	0.001631001
RIB4	-0.229008446	0.265322306
TEF2	-0.306224227	0.229263654
ATP14	-1.697665211	0.018675406
IRE1	0.171539794	0.351613809
ARA2	0.744333218	8.41e-06
SUA7	-0.037024341	0.929651315
CSR2	-0.135875749	0.081914675
YLR363W-A	-0.113101745	0.292554863
COQ1	-0.698615799	3.32e-06
YDR026C	0.531609062	0.056448456
YDL086W	0.360175936	0.130119178
ADE12	-0.019841527	0.432154714
PDC2	0.257008201	0.001199416
MRH4	-1.152468739	5.54e-06
VPS54	0.173283049	0.095234557
NAM2	-0.467859581	0.002293975
YHR202W	0.456467634	5.2e-05
HER2	-1.034461548	0.000156462
TEF4	-0.388645941	0.082834606
PRI2	0.348506395	0.002423283
SSP1	-0.232993078	8.99e-05
CCC1	0.023466118	0.762407452
MUM2	-0.379005881	0.002552717
HSP104	0.111614073	0.11218603
PGA1	0.334640382	0.002190164
ADE4	0.245762296	0.196872408
YGR126W	0.277114142	0.020682128
VCX1	0.336517568	0.028189628
TPO3	-0.469827825	0.005644721
YFR006W	0.257705757	0.009739763
YBR238C	0.472694268	0.000432559
YDR161W	0.230207632	0.00930709
OST1	0.281192436	0.008073029
KAP120	0.29698092	0.001614706
SEN2	0.074663841	0.655006466
CSE4	0.114998023	0.061755201
URB2	0.118926867	0.293825892
MRM2	-0.396271759	0.001311903
CBP2	-0.239482323	0.104854201
SUR1	-0.095650937	0.080046388
ABZ2	0.077415457	0.645481464
RBA50	0.140615351	0.038278152
NTF2	-0.081893046	0.756295473
HUA2	0.192014878	0.067523465
YKL107W	1.297365226	0.002959172
YNR034W-A	-1.193374073	0.007670218
AIM31	-0.527996578	0.00122864
REI1	-0.088821767	0.279366012
STP4	-1.395013167	0.001525733
IRS4	0.343842863	0.02584946
YMR130W	-0.080828412	0.374703237
RAV1	0.214927226	0.009469554
VPS60	0.048001952	0.431660251
CKA1	0.052040783	0.650215479
SCC4	0.246973001	0.010171816
NUP157	0.232490452	0.00095708
MRP10	-0.403583451	0.481401115
GIM3	-0.0754322	0.617505134
MAK32	0.163157667	0.149721766
DED81	-0.283174223	0.021644062
CRH1	-0.119837378	0.387387042
XYL2	0.606050252	0.005386092
YKL047W	0.113457266	0.149867711
PET54	-0.585470356	0.000552332
GDH3	-1.308937727	4.41e-05
CTF18	0.043777018	0.55466378
MRPL16	-1.109508218	2.99e-06
SBH1	-0.012028878	0.936265407
YOX1	-0.479300839	0.000768822
PET100	-1.044234756	2.49e-05
YPT53	0.489796595	0.001481121
YOL114C	-0.321542889	0.065377579
YDR336W	-1.314798747	3.39e-06
PHO85	0.140260792	0.013501478
STH1	0.138260727	0.114296174
MAK16	-0.023545426	0.749112051
NBL1	-0.373425215	0.243782936
MRPS9	-1.501325977	6.33e-05
AIM33	-1.110623776	3.27e-07
BNA7	0.081179467	0.316172737
YDR541C	1.089836859	0.000120755
HPA3	0.027930113	0.641974802
ZRT3	0.060345611	0.536201158
RHO4	0.016937956	0.870928509
LIF1	0.399558867	0.011980594
TRZ1	-0.204891772	0.024759524
MRM1	-1.173584744	0.000101883
YOR296W	0.141875621	0.07624073
PMT4	0.023547493	0.429706038
FPR2	-0.210995299	0.61516714
RRG8	-1.737696929	2.51e-05
MTC3	-0.840608726	0.000172971
CIN5	-0.141164722	0.664187531
SAH1	-0.295808763	0.107407052
CPR4	-0.032707874	0.77577423
OM45	-0.666878985	0.000157125
SOP4	0.293937914	0.007832375
RIT1	-0.101154139	0.131820133
YOR342C	0.485830698	0.009752901
ALY2	0.027779608	0.686665166
REP1	0.334562895	0.046414812
TAD1	0.063884492	0.092991564
FAA2	0.530855964	0.068877039
MRP20	-0.699962517	3.12e-05
REG1	0.101406349	0.039592941
ATP18	-2.592392943	0.000738262
AI1	-2.111282303	2.02e-06
FMO1	0.023510771	0.735194709
YBR096W	0.037233455	0.841916656
POL5	0.029385567	0.515182826
RAD50	0.164351488	0.042088088
QCR10	-3.172208253	1.13e-05
PDR3	1.357087299	0.000276839
CUE4	0.291657687	0.035985756
NEJ1	0.284626364	0.004522804
AXL1	-0.127555561	0.017224505
MSY1	-0.347240804	0.034425696
PET191	-1.168329301	0.000191242
NAP1	-0.106286813	0.280118954
TMA17	0.008813112	0.873449345
LYS21	0.116367292	0.062118778
HBS1	0.162134441	0.05907011
SRL3	-0.369238068	0.029425167
YOL092W	0.007313752	0.917165744
PPM2	0.296714318	0.015095518
THI6	0.373998546	0.077190912
NNK1	0.053775092	0.305945403
GTB1	0.313667086	0.000505501
MBR1	-0.775503165	0.035101302
IRC15	1.128352267	1.31e-06
KTR6	-0.178333944	0.23345304
SCW4	0.726933359	0.004128879
GSC2	-0.108542113	0.040130244
DJP1	-0.014434857	0.822440341
DIB1	-0.17859426	0.480909561
SWD2	-0.105848638	0.253186929
CDC36	-0.033751662	0.743135908
ABF1	0.31471772	0.025629909
BCD1	0.18837672	0.012827054
YFL013W-A	-0.39140606	0.00093112
EDC2	-0.184118665	0.458671743
CTS1	0.943363382	0.010689649
YPL014W	-0.481517643	0.000265304
DDI1	0.263223601	0.008511123
YLR312C	0.330964411	0.020014306
RPT2	-0.073403229	0.285073247
NCS6	0.045073662	0.761931843
SEC53	-0.098915461	0.095145396
SNN1	0.010876217	0.877718033
RHR2	1.701236935	7.02e-05
YHR078W	0.358533262	0.000203614
MET12	0.056589702	0.207220319
FZO1	-0.388044057	0.000554548
YGR071C	0.151748939	0.001416927
PHR1	0.575776714	0.000248441
TMA22	0.189730332	0.340216802
ESC1	0.306431373	0.003694861
GCD14	-0.044269302	0.646568967
OPI1	-0.168356467	0.14937565
HCH1	0.12610154	0.312036757
RRG7	-0.794143919	0.001589827
BSP1	0.195409372	0.015114006
COQ5	-0.928919922	0.00097058
ATG22	0.000625539	0.998333953
ERG1	1.089010401	0.001305338
ICL2	0.833929142	2.27e-05
APN2	-0.135446166	0.084341085
SWI3	0.078435134	0.146561782
TMA16	-0.095581864	0.594985803
MGE1	0.147901815	0.306444296
RHO5	0.49460834	0.07359455
LEU4	-0.107450299	0.128013866
NAM7	0.087282596	0.162454493
EAR1	-0.106110754	0.14388896
BNA6	0.224549771	0.145219889
ATP12	-0.68311522	6.57e-05
SGN1	-0.433558553	0.011129831
YDL085C-A	0.085133165	0.410511022
VPS13	-0.004540806	0.861587674
CDC5	-0.097752201	0.115391905
RIB1	-0.050823906	0.502358245
SHE3	0.048321034	0.361332527
YPD1	-0.126801286	0.027849457
LCL2	-0.330759396	0.570176507
SUP35	-0.174844539	0.03037769
TOS3	0.089492213	0.71441287
YPR084W	0.226761739	0.005585975
AIM23	-1.193430509	2.39e-05
YDL124W	0.189235484	0.019103369
STP3	0.41503077	0.035553179
PDC1	0.337135195	0.069772288
YOP1	-0.019199247	0.790017651
YDR262W	0.190103417	0.010273317
SKG3	0.012822342	0.730398918
DOS2	0.033626048	0.698039933
RHO3	-0.099222896	0.266640387
TAN1	0.057082018	0.505752136
HHO1	-0.089721892	0.183078533
DSD1	0.067774229	0.428317937
DAM1	0.021773853	0.803149218
EMI1	-1.127051006	0.043437488
PTC6	-0.820221214	5.39e-06
YNL260C	0.178616889	0.542297616
OCT-1	-1.002970367	6.62e-05
SSH4	0.494033119	0.009082872
VAS1	-0.147408756	0.09707528
HAS1	-0.19278071	0.000699498
MTR2	-0.003771817	0.971337973
ATP19	-3.218204002	6.02e-05
OSH7	0.013378642	0.847461324
PDE2	0.041256013	0.325129166
NHP10	-0.058492758	0.731501261
SWD3	0.106899727	0.090729088
YGR035C	1.556946378	0.001655424
YMR178W	0.342029576	0.005791027
VPS3	0.273478477	0.000664977
DYN1	0.269111914	0.00968034
AI3	-2.187322139	9.72e-08
MDV1	-0.379716992	0.000386107
SVP26	0.067496479	0.599571701
BAP3	-0.544349392	0.001057999
RSC30	0.200164134	0.115987284
ADH5	1.060186116	0.010341102
YEL043W	0.189576477	0.079341494
NMD4	-0.085608338	0.493472758
STP22	0.232149572	0.050154632
LAA1	-0.15997564	0.050187824
REH1	-0.161600706	0.134094764
PPQ1	-0.609591724	0.003448109
SSC1	-0.149589031	0.332331129
PEX4	0.336282446	0.019547143
AIM2	-0.076400892	0.582071451
HSH155	0.292026914	0.000797305
ROX1	-0.057145191	0.522211797
RAD18	0.087871697	0.412451155
ATM1	-0.778492265	0.000144027
LSC1	-0.503682881	0.005396886
SEC24	-0.204908728	0.007634264
GEP5	-0.838143534	0.000786271
MRPS12	-1.539646735	3.53e-06
BNA5	-0.011242397	0.89269802
MNL1	0.347866718	0.003751843
GDE1	0.24297325	0.005465561
HOM6	0.164005439	0.063349224
YRA1	0.033000324	0.606389317
AAR2	0.062584148	0.514676903
TMA23	0.307583911	0.085716697
MRD1	0.037174497	0.610502163
MLP2	0.240281493	0.004633018
MOT2	0.114305422	0.319404253
ATG1	0.358860276	3.34e-05
AST2	0.11543787	0.029784476
TYS1	-0.13104706	0.053284448
MSC3	0.037673197	0.629586105
IXR1	0.34919117	0.000143298
ECM1	0.099573394	0.24705768
UBA2	0.028112594	0.162396171
ACB1	0.332482564	0.003423072
YBR242W	-0.186452119	0.000613569
TPK2	0.19213707	0.016171611
YPR098C	0.476013625	0.049889399
