	MCT_SD_EV1	MCT_SD_EV2	MCT_SD_EV3	MCT_SD_A1	MCT_SD_A2	MCT_SD_A3	avg	fc	p			MCT_SR_EV1	MCT_SR_EV2	MCT_SR_EV3	MCT_SR_A1	MCT_SR_A2	MCT_SR_A3	avg	fc	p			WT_SR_A1	WT_SR_A2	WT_SR_A3	WT_SR_EV1	WT_SR_EV2	WT_SR_EV3
Citrate	"200,000,000"	"280,000,000"	"200,000,000"	"230,000,000"	"160,000,000"	"360,000,000"	1.102941176	0.141355849	0.7353571			"180,000,000"	"170,000,000"	"110,000,000"	"230,000,000"	"200,000,000"	"220,000,000"	1.413043478	0.498805857	0.054828172			"90,000,000"	"81,000,000"	"85,000,000"	"63,000,000"	"60,000,000"	"52,000,000"
Glucose	"8,400,000"	"13,000,000"	"7,000,000"	"7,500,000"	"9,200,000"	"13,000,000"	1.045774648	0.064572001	0.867387163			"230,000,000"	"180,000,000"	"120,000,000"	"170,000,000"	"160,000,000"	"160,000,000"	0.924528302	-0.11321061	0.698066369			"150,000,000"	"170,000,000"	"170,000,000"	"170,000,000"	"170,000,00"	"150,000,000"
Pyruvate	"7,800,000"	"12,000,000"	"9,800,000"	"9,700,000"	"13,000,000"	"12,000,000"	1.172297297	0.229338487	0.3363718			"5,000,000"	"5,500,000"	"5,300,000"	"5,000,000"	"4,700,000"	"3,800,000"	0.85443038	-0.226965151	0.119862476			"4,200,000"	"6,400,000"	"6,100,000"	"5,700,000"	"6,300,000"	"4,500,000"
Aspartate	"950,000,000"	"1,100,000,000"	"950,000,000"	"680,000,000"	"930,000,000"	"1,100,000,000"	0.903333333	-0.146669649	0.504037196			"890,000,000"	"990,000,000"	"670,000,000"	"820,000,000"	"850,000,000"	"940,000,000"	1.023529412	0.03355256	0.85291519			"740,000,000"	"890,000,000"	"430,000,000"	"690,000,000"	"720,000,000"	"530,000,000"
ATP	"10,000,000"	"12,000,000"	"21,000,000"	"10,000,000"	"9,000,000"	"13,000,000"	0.744186047	-0.426264755	0.364843214			"860,000"	"2,400,000"	"1,500,000"	"3,300,000"	"5,900,000"	"6,500,000"	3.298319328	1.72173108	0.027783223			"2,900,000"	"3,900,000"	"3,400,000"	"1,900,000"	"4,400,000"	"4,500,000"
a-KG	"15,000,000"	"21,000,000"	"24,000,000"	"12,000,000"	"11,000,000"	"20,000,000"	0.716666667	-0.480625841	0.218653453			"3,700,000"	"2,000,000"	"3,000,000"	"3,600,000"	"690,000"	"1,000,000"	0.608045977	-0.717747679	0.338389473			"3,800,000"	"2,700,000"	"1,500,000"	"3,000,000"	"1,800,000"	"1,600,000"
Glutamine	"110,000,000"	"110,000,000"	"110,000,000"	"67,000,000"	"92,000,000"	"84,000,000"	0.736363636	-0.441509711	0.017041593			"81,000,000"	"85,000,000"	"73,000,000"	"78,000,000"	"73,000,000"	"39,000,000"	0.794979079	-0.3310112	0.269397307			"80,000,000"	"80,000,000"	"46,000,000"	"93,000,000"	"79,000,000"	"79,000,000"
Glutamate	"1,000,000,000"	"1,100,000,000"	"950,000,000"	"630,000,000"	"880,000,000"	"930,000,000"	0.8	-0.321928095	0.118923829			"950,000,000"	"990,000,000"	"700,000,000"	"850,000,000"	"770,000,000"	"590,000,000"	0.837121212	-0.25649156	0.294553165			"1,400,000,000"	"1,400,000,000"	"830,000,000"	"1,600,000,000"	"1,400,000,000"	"1,200,000,000"
Glutathione disulfide	"95,000,000"	"100,000,000"	"110,000,000"	"60,000,000"	"45,000,000"	"89,000,000"	0.636065574	-0.65275259	0.053462461			"21,000,000"	"35,000,000"	"19,000,000"	"19,000,000"	"27,000,000"	"22,000,000"	0.906666667	-0.141355849	0.695667726			"21,000,000"	"30,000,000"	"19,000,000"	"29,000,000"	"33,000,000"	"39,000,000"
Sucrose	"1,100,000"	"980,000"	"910,000"	"6,000,000"	"6,600,000"	"11,000,000"	7.892976589	2.98056947	0.012101397			"180,000,000"	"140,000,000"	"84,000,000"	"130,000,000"	"120,000,000"	"120,000,000"	0.915841584	-0.126830022	0.706751495			"110,000,000"	"120,000,000"	"120,000,000"	"140,000,000"	"130,000,000"	"100,000,000"
Mannose	"8,400,000"	"13,000,000"	"7,000,000"	"7,500,000"	"9,200,000"	"13,000,000"	1.045774648	0.064572001	0.867387163			"230,000,000"	"180,000,000"	"120,000,000"	"170,000,000"	"160,000,000"	"160,000,000"	0.924528302	-0.11321061	0.698066369			"150,000,000"	"170,000,000"	"170,000,000"	"170,000,000"	"170,000,000"	"150,000,000"
Malate	"24,000,000"	"17,000,000"	"14,000,000"	"14,000,000"	"8,800,000"	"9,300,000"	0.583636364	-0.776858321	0.087753588			"64,000,000"	"45,000,000"	"29,000,000"	"49,000,000"	"34,000,000"	"48,000,000"	0.949275362	-0.075101455	0.845351304			"24,000,000"	"20,000,000"	"15,000,000"	"20,000,000"	"24,000,000"	"12,000,000"
Lysine	"980,000,000"	"1,200,000,000"	"890,000,000"	"500,000,000"	"1,900,000,000"	"1,100,000,000"	1.140065147	0.189116266	0.747691808			"960,000,000"	"1,100,000,000"	"1,200,000,000"	"840,000,000"	"890,000,000"	"970,000,000"	0.828220859	-0.271912557	0.078007932			"920,000,000"	"990,000,000"	"1,000,000,000"	"880,000,000"	"1,000,000,000"	"1,000,000,000"
Leucine	"2,300,000,000"	"2,700,000,000"	"820,000,000"	"1,900,000,000"	"1,200,000,000"	"2,700,000,000"	0.996563574	-0.004966253	0.99303084			"1,000,000,000"	"2,700,000,000"	"2,500,000,000"	"2,700,000,000"	"810,000,000"	"2,700,000,000"	1.001612903	0.002325053	0.996978689			"2,800,000,000"	"2,800,000,000"	"1,600,000,000"	"2,500,000,000"	"1,100,000,000"	"1,300,000,000"
Lactose	"1,100,000"	"980,000"	"910,000"	"6,000,000"	"6,600,000"	"11,000,000"	7.892976589	2.98056947	0.012101397			"180,000,000"	"140,000,000"	"84,000,000"	"130,000,000"	"120,000,000"	"120,000,000"	0.915841584	-0.126830022	0.706751495			"110,000,000"	"120,000,000"	"120,000,000"	"140,000,000"	"130,000,000"	"100,000,000"
F16BP	"250,000,000"	"260,000,000"	"330,000,000"	"150,000,000"	"170,000,000"	"200,000,000"	0.619047619	-0.691877705	0.021378887			"110,000,000"	"120,000,000"	"67,000,000"	"160,000,000"	"130,000,000"	"140,000,000"	1.447811448	0.533873729	0.074608202			"90,000,000"	"120,000,000"	"140,000,000"	"140,000,000"	"160,000,000"	"130,000,000"
Fructose	"8,400,000"	"13,000,000"	"7,000,000"	7500000	"9,200,000"	"13,000,000"	1.045774648	0.064572001	0.867387163			"230,000,000"	"180,000,000"	"120,000,000"	"170,000,000"	"160,000,000"	"160,000,000"	0.924528302	-0.11321061	0.698066369			"150,000,000"	"170,000,000"	"170,000,000"	"170,000,000"	"170,000,000"	"150,000,000"
F6P	129200000	136500000	168500000	78750000	89600000	106500000	0.633003224	-0.659715247	0.021617181			170000000	150000000	93500000	165000000	145000000	150000000	1.112454655	0.153746532	0.548499697			120000000	145000000	155000000	155000000	165000000	140000000
CoA	"250,000"	"350,000"	"470,000"	240000	"260,000"	"260,000"	0.710280374	-0.493539473	0.18140183			"73,000"	"97,000"	"62,000"	"59,000"	"98,000"	"34,000"	0.823275862	-0.280552167	0.555979558			"270,000"	"120,000"	"70,000"	"200,000"	"230,000"	"120,000"
Asparagine 	"35,000,000"	"36,000,000"	"33,000,000"	"31,000,000"	"36,000,000"	"36,000,000"	0.990384615	-0.013939191	0.868273624			"26,000,000"	"28,000,000"	"24,000,000"	"30,000,000"	"26,000,000"	"27,000,000"	1.064102564	0.089637212	0.373900966			"32,000,000"	"31,000,000"	"30,000,000"	"27,000,000"	"29,000,000"	"32,000,000"
Arginine	"240,000,000"	"300,000,000"	"290,000,000"	"160,000,000"	"170,000,000"	"270,000,000"	0.722891566	-0.468148836	0.125798448			"240,000,000"	"250,000,000"	"280,000,000"	"210,000,000"	"220,000,000"	"230,000,000"	0.857142857	-0.222392421	0.051374431			"260,000,000"	"270,000,000"	"270,000,000"	"260,000,000"	"290,000,000"	"270,000,000"
Alanine	"170,000,000"	"190,000,000"	"170,000,000"	"110,000,000"	"130,000,000"	"150,000,000"	0.735849057	-0.442518236	0.024896163			"160,000,000"	"180,000,000"	"150,000,000"	"150,000,000"	"140,000,000"	"160,000,000"	0.918367347	-0.122856748	0.274576629			"130,000,000"	"150,000,000"	"61,000,000"	"130,000,000"	"130,000,000"	"98,000,000"
Acetoacetate	"130,000,000"	"140,000,000"	"130,000,000"	"96,000,000"	"92,000,000"	"120,000,000"	0.77	-0.377069649	0.030576452			"3,900,000"	"3,400,000"	"4,800,000"	"4,300,000"	"1,200,000"	"4,700,000"	0.842975207	-0.246437895	0.61976355			"5,100,000"	"4,100,000"	"2,400,000"	"4,000,000"	"2,500,000"	"1,000,000"
Valine	420000000	470000000	172000000	215000000	140000000	330000000	0.645009416	-0.632607873	0.307061341			56550000	168000000	205000000	135000000	66650000	139650000	0.794552439	-0.331785658	0.591268377			128950000	128350000	56800000	108100000	81850000	107600000
