	MCT_SD_A1	MCT_SD_A2	MCT_SD_A3	MCT_SR_A1	MCT_SR_A2	MCT_SR_A3	MCT_SD_EV1	MCT_SD_EV2	MCT_SD_EV3	MCT_SR_EV1	MCT_SR_EV2	MCT_SR_EV3	WT_SD_A1	WT_SD_A2	WT_SD_A3	WT_SR_A1	WT_SR_A2	WT_SR_A3	WT_SD_EV1	WT_SD_EV2	WT_SD_EV3	WT_SR_EV1	WT_SR_EV2	WT_SR_EV3
Citrate	230000000.00	160000000.00	360000000.00	230000000.00	200000000.00	220000000.00	200000000.00	280000000.00	200000000.00	180000000.00	170000000.00	110000000.00	130000000.00	260000000.00	170000000.00	90000000.00	81000000.00	85000000.00	56000000.00	120000000.00	160000000.00	63000000.00	60000000.00	52000000.00
Glucose	7500000.00	9200000.00	13000000.00	170000000.00	160000000.00	160000000.00	8400000.00	13000000.00	7000000.00	230000000.00	180000000.00	120000000.00	3200000.00	12000000.00	8700000.00	150000000.00	170000000.00	170000000.00	4200000.00	11000000.00	14000000.00	170000000.00	17000000.00	150000000.00
Pyruvate	9700000.00	13000000.00	12000000.00	5000000.00	4700000.00	3800000.00	7800000.00	12000000.00	9800000.00	5000000.00	5500000.00	5300000.00	6400000.00	11000000.00	10000000.00	4200000.00	6400000.00	6100000.00	10000000.00	16000000.00	13000000.00	5700000.00	6300000.00	4500000.00
Aspartate	680000000.00	930000000.00	1100000000.00	820000000.00	850000000.00	940000000.00	950000000.00	1100000000.00	950000000.00	890000000.00	990000000.00	670000000.00	470000000.00	720000000.00	1100000000.00	740000000.00	890000000.00	430000000.00	500000000.00	840000000.00	980000000.00	690000000.00	720000000.00	530000000.00
ATP	10000000.00	9000000.00	13000000.00	3300000.00	5900000.00	6500000.00	10000000.00	12000000.00	21000000.00	860000.00	2400000.00	1500000.00	9100000.00	8700000.00	7600000.00	2900000.00	3900000.00	3400000.00	8300000.00	10000000.00	13000000.00	1900000.00	4400000.00	4500000.00
a-KG	12000000.00	11000000.00	20000000.00	3600000.00	690000.00	1000000.00	15000000.00	21000000.00	24000000.00	3700000.00	2000000.00	3000000.00	16000000.00	24000000.00	14000000.00	3800000.00	2700000.00	1500000.00	9600000.00	13000000.00	11000000.00	3000000.00	1800000.00	1600000.00
Glutamine	67000000.00	92000000.00	84000000.00	78000000.00	73000000.00	39000000.00	110000000.00	110000000.00	110000000.00	81000000.00	85000000.00	73000000.00	73000000.00	62000000.00	77000000.00	80000000.00	80000000.00	46000000.00	86000000.00	100000000.00	69000000.00	93000000.00	79000000.00	79000000.00
Glutamate	630000000.00	880000000.00	930000000.00	850000000.00	770000000.00	590000000.00	1000000000.00	1100000000.00	950000000.00	950000000.00	990000000.00	700000000.00	790000000.00	1200000000.00	1300000000.00	1400000000.00	1400000000.00	830000000.00	1000000000.00	1500000000.00	1300000000.00	1600000000.00	1400000000.00	1200000000.00
Glutathione disulfide	60000000.00	45000000.00	89000000.00	19000000.00	27000000.00	22000000.00	95000000.00	100000000.00	110000000.00	21000000.00	35000000.00	19000000.00	83000000.00	80000000.00	79000000.00	21000000.00	30000000.00	19000000.00	59000000.00	130000000.00	140000000.00	29000000.00	33000000.00	39000000.00
Sucrose	6000000.00	6600000.00	11000000.00	130000000.00	120000000.00	120000000.00	1100000.00	980000.00	910000.00	180000000.00	140000000.00	84000000.00	650000.00	2300000.00	2700000.00	110000000.00	120000000.00	120000000.00	980000.00	980000.00	960000.00	140000000.00	130000000.00	100000000.00
Mannose	7500000.00	9200000.00	13000000.00	170000000.00	160000000.00	160000000.00	8400000.00	13000000.00	7000000.00	230000000.00	180000000.00	120000000.00	3200000.00	12000000.00	8700000.00	150000000.00	170000000.00	170000000.00	4200000.00	11000000.00	14000000.00	170000000.00	170000000.00	150000000.00
Malate	14000000.00	8800000.00	9300000.00	49000000.00	34000000.00	48000000.00	24000000.00	17000000.00	14000000.00	64000000.00	45000000.00	29000000.00	4600000.00	9800000.00	15000000.00	24000000.00	20000000.00	15000000.00	7900000.00	6500000.00	6500000.00	20000000.00	24000000.00	12000000.00
Lysine	500000000.00	1900000000.00	1100000000.00	840000000.00	890000000.00	970000000.00	980000000.00	1200000000.00	890000000.00	960000000.00	1100000000.00	1200000000.00	990000000.00	1100000000.00	1100000000.00	920000000.00	990000000.00	1000000000.00	920000000.00	1300000000.00	1400000000.00	880000000.00	1000000000.00	1000000000.00
Leucine	1900000000.00	1200000000.00	2700000000.00	2700000000.00	810000000.00	2700000000.00	2300000000.00	2700000000.00	820000000.00	1000000000.00	2700000000.00	2500000000.00	2100000000.00	1000000000.00	1600000000.00	2800000000.00	2800000000.00	1600000000.00	1500000000.00	1500000000.00	1700000000.00	2500000000.00	1100000000.00	1300000000.00
Lactose	6000000.00	6600000.00	11000000.00	130000000.00	120000000.00	120000000.00	1100000.00	980000.00	910000.00	180000000.00	140000000.00	84000000.00	650000.00	2300000.00	2700000.00	110000000.00	120000000.00	120000000.00	980000.00	980000.00	960000.00	140000000.00	130000000.00	100000000.00
F16BP	150000000.00	170000000.00	200000000.00	160000000.00	130000000.00	140000000.00	250000000.00	260000000.00	330000000.00	110000000.00	120000000.00	67000000.00	240000000.00	230000000.00	250000000.00	90000000.00	120000000.00	140000000.00	130000000.00	280000000.00	320000000.00	140000000.00	160000000.00	130000000.00
Fructose	7500000.00	9200000.00	13000000.00	170000000.00	160000000.00	160000000.00	8400000.00	13000000.00	7000000.00	230000000.00	180000000.00	120000000.00	3200000.00	12000000.00	8700000.00	150000000.00	170000000.00	170000000.00	4200000.00	11000000.00	14000000.00	170000000.00	170000000.00	150000000.00
F6P	78750000.00	89600000.00	106500000.00	165000000.00	145000000.00	150000000.00	129200000.00	136500000.00	168500000.00	170000000.00	150000000.00	93500000.00	121600000.00	121000000.00	129350000.00	120000000.00	145000000.00	155000000.00	67100000.00	145500000.00	167000000.00	155000000.00	165000000.00	140000000.00
CoA	240000.00	260000.00	260000.00	59000.00	98000.00	34000.00	250000.00	350000.00	470000.00	73000.00	97000.00	62000.00	270000.00	330000.00	160000.00	270000.00	120000.00	70000.00	400000.00	530000.00	180000.00	200000.00	230000.00	120000.00
Asparagine 	31000000.00	36000000.00	36000000.00	30000000.00	26000000.00	27000000.00	35000000.00	36000000.00	33000000.00	26000000.00	28000000.00	24000000.00	33000000.00	37000000.00	32000000.00	32000000.00	31000000.00	30000000.00	26000000.00	31000000.00	31000000.00	27000000.00	29000000.00	32000000.00
Arginine	160000000.00	170000000.00	270000000.00	210000000.00	220000000.00	230000000.00	240000000.00	300000000.00	290000000.00	240000000.00	250000000.00	280000000.00	250000000.00	280000000.00	260000000.00	260000000.00	270000000.00	270000000.00	230000000.00	330000000.00	350000000.00	260000000.00	290000000.00	270000000.00
Alanine	110000000.00	130000000.00	150000000.00	150000000.00	140000000.00	160000000.00	170000000.00	190000000.00	170000000.00	160000000.00	180000000.00	150000000.00	110000000.00	130000000.00	160000000.00	130000000.00	150000000.00	61000000.00	93000000.00	170000000.00	190000000.00	130000000.00	130000000.00	98000000.00
Acetoacetate	96000000.00	92000000.00	120000000.00	4300000.00	1200000.00	4700000.00	130000000.00	140000000.00	130000000.00	3900000.00	3400000.00	4800000.00	110000000.00	170000000.00	130000000.00	5100000.00	4100000.00	2400000.00	85000000.00	87000000.00	100000000.00	4000000.00	2500000.00	1000000.00
Valine	215000000.00	140000000.00	330000000.00	135000000.00	66650000.00	139650000.00	420000000.00	470000000.00	172000000.00	56550000.00	168000000.00	205000000.00	270000000.00	335000000.00	315000000.00	128950000.00	128350000.00	56800000.00	195000000.00	250000000.00	255000000.00	108100000.00	81850000.00	107600000.00
Fumarate	33500000.00	36500000.00	51500000.00	57500000.00	62000000.00	71000000.00	54000000.00	58000000.00	54500000.00	58000000.00	73000000.00	70500000.00	27000000.00	43500000.00	44500000.00	43500000.00	48500000.00	29000000.00	21000000.00	42000000.00	43150000.00	33000000.00	35000000.00	25900000.00
Succinate	20000000.00	28000000.00	44500000.00	70000000.00	45500000.00	121500000.00	60500000.00	70500000.00	46000000.00	101500000.00	165000000.00	195000000.00	30500000.00	45000000.00	35000000.00	31500000.00	48000000.00	23000000.00	56000000.00	32500000.00	43500000.00	91000000.00	31500000.00	34500000.00
Adenosine	690000.00	1800000.00	1100000.00	1800000.00	3300000.00	3000000.00	970000.00	1300000.00	1000000.00	8100000.00	8100000.00	13000000.00	800000.00	1400000.00	2100000.00	3200000.00	5400000.00	5200000.00	990000.00	1700000.00	2400000.00	8000000.00	6900000.00	6300000.00
Inosine	83000000.00	29000000.00	110000000.00	120000000.00	36000000.00	100000000.00	54000000.00	31000000.00	10000000.00	25000000.00	47000000.00	41000000.00	36000000.00	23000000.00	51000000.00	34000000.00	46000000.00	11000000.00	40000000.00	14000000.00	40000000.00	22000000.00	5200000.00	18000000.00
Adenine	800000000.00	790000000.00	730000000.00	730000000.00	740000000.00	640000000.00	490000000.00	96000000.00	69000000.00	440000000.00	390000000.00	760000000.00	410000000.00	740000000.00	700000000.00	540000000.00	630000000.00	490000000.00	300000000.00	430000000.00	450000000.00	270000000.00	420000000.00	530000000.00
Uracil	67000000.00	79000000.00	100000000.00	160000000.00	52000000.00	73000000.00	89000000.00	86000000.00	43000000.00	50000000.00	140000000.00	89000000.00	56000000.00	57000000.00	110000000.00	120000000.00	150000000.00	46000000.00	56000000.00	78000000.00	70000000.00	67000000.00	66000000.00	52000000.00
Hypoxanthine	270000000.00	280000000.00	310000000.00	370000000.00	280000000.00	360000000.00	250000000.00	300000000.00	280000000.00	350000000.00	300000000.00	370000000.00	170000000.00	380000000.00	320000000.00	340000000.00	340000000.00	380000000.00	320000000.00	390000000.00	540000000.00	390000000.00	350000000.00	370000000.00
