	WT_15min_1	WT_15min_2	WT_15min_3	WT_15min_4	WT_15min_5	WT_15min_6	mct1_15min_1	mct1_15min_2	mct1_15min_3	mct1_15min_4	mct1_15min_5	mct1_15min_6
 D-Glucose	11175	24743	3224	2042	5125	2059	18382	6055	23522	65211	11414	15840
 Glucose 6-phosphate	86841	162437	41945	24040	149746	98501	67941	66191	80945	48363	64967	70705
 Fructose-6-phosphate 	314081	475973	141592	102373	358076	319651	125287	131602	183768	101657	156354	171975
" fructose-1,6-diphosphate"	327233	556055	129517	127561	357463	319148	223306	180095	385943	48923	128871	251405
 3-Phosphoglyceric acid 	159075	203374	28872	15000	140105	117912	44116	42512	28395	9429	41799	42361
 Phosphoenolpyruvate 	6762	9777	786	1082	4197	6110	2087	1041	1761	1827	4312	3138
 Pyruvic acid 	364854	290093	356690	535342	127635	88883	172428	90826	113442	742426	52754	61658
 L-Lactic acid 	318088	238690	183827	322092	463961	378453	398521	494437	345884	539727	478166	286895
 Citric acid 	52766	84123	21988	15680	51934	51159	12916	11747	16122	13270	12734	15544
 cis-Aconitic acid	0	283	0	339	1280	0	0	0	1569	599	0	0
 Isocitric acid 	57222	15226	30953	26437	36247	60821	22219	29196	20221	22663	28409	16907
 Succinic acid 	1933764	1721017	2220648	2288026	1677155	1274783	1509600	1571234	2415298	2304031	2179323	1591099
 Fumaric acid 	223908	181565	168363	178134	178619	150939	364299	371392	367706	454371	348643	262164
 D-Malic acid 	6965	14018	8593	5593	8783	5160	49183	36224	69198	52520	48591	43429
 D-Ribose-5-phosphate	43551	42873	45976	38301	46276	25246	22569	15953	29731	21948	20442	26690
 Glycine 	1156676	806636	1320660	1459961	1076575	835068	5874662	6887993	7445520	7100222	6783362	5698346
 L-Alanine	2366167	2304684	2604481	1937903	2264515	1298838	3586546	3842548	3597665	3846349	3838739	3197445
 L-Valine	815685	885207	777147	911809	932613	690318	1313897	1112715	1095488	1277621	813824	1218420
 L-Leucine	943856	1465164	900726	864796	1150160	669834	1195428	886722	891237	932138	663001	1131745
 L-Isoleucine	1137136	1343119	1549154	1111398	1071193	783886	1670140	1485532	1749804	1430991	1452721	1372925
 L-Proline	4138699	4080331	5293162	3968203	2752404	1876454	4149494	3253312	4197044	2844427	3282579	3695675
 L-Phenylalanine	1812808	2294573	3680990	2096167	1745376	1317583	749084	639672	1199377	858841	811723	732175
 L-Tyrosine	1620397	2911081	2140208	473570	644810	448375	661143	406456	499418	680883	341312	579618
 L-Tyrosine	141282	57743	199284	264966	241738	130384	3335	17935	46905	15035	40181	9376
 L-Serine	2029937	1931339	2791568	2255091	1552279	1401123	1179194	1071750	1114017	904681	980794	910498
 L-Threonine	923979	497707	399111	962073	779127	537701	168893	203158	409719	346784	294686	307795
 L-Methionine	157436	148977	227234	140927	74486	75900	184532	122899	160463	151152	130891	125294
 L-Asparagine	0	1081	0	2169	2380	834	734	0	2497	0	186	2152
 Glutamine	32369	18288	17168	81214	32062	25638	5789	8114	9912	5426	9148	4718
 L-Aspartic acid	441411	599145	980612	616169	487284	357609	93869	71024	340684	235502	138201	102551
 L-Glutamic acid	341572	271341	651849	431979	211252	145243	25610	59050	114640	37313	70433	36577
 L-Lysine	1285682	686904	3477050	2692818	930794	613215	1841	50316	77760	0	106556	4150
 Pyroglutamic acid 	1456938	1405597	1376185	1505215	1266273	964237	785919	919786	1028299	863538	884941	745399
 Ornithine 	553097	80764	953126	770283	304174	274245	0	3309	2445	0	4716	391
 Beta-Alanine 	7853	6045	11178	7359	9256	4798	3462	6044	7665	5862	7219	5450
 L-Threonine	519909	480481	574310	524851	446834	295802	259612	230474	330925	265139	186399	220699
 Iminodiacetic acid	123002	46475	60151	114499	206116	163694	58937	160391	87889	96782	152225	55465
 4-Hydroxyproline	175842	166881	99674	116896	201375	162283	147337	153487	137632	181510	142733	102591
 D-Fructose	20025205	22318206	10428949	7514229	15388171	7112478	23985678	22173181	18561511	31130941	20418815	21561749
 D-Mannose	2322754	3122279	1285544	1009317	1492426	925621	2858611	2447117	2114843	2783463	2112479	2632690
 Sorbitol 	2639323	2809574	3305069	2003463	2128685	1539839	1190916	1481119	2279689	2625487	1308713	1415285
 Ribitol 	49239	43442	26134	23610	68903	33573	28763	18935	40967	29607	32956	32309
 Myoinositol 	4912444	4778203	5896594	4762739	4184814	2839932	3282415	3294008	2494089	2374634	2662146	2823269
 Inositol phosphate	1400187	1785286	1939269	587443	1055616	854625	398047	479178	829013	573267	311764	334950
 Sedoheptulose 7-phosphate 	61185	78557	59898	40968	48193	59533	38062	44955	54123	39298	35026	33897
 alpha-D-Glucosamine 1-phosphate 	4009765	836767	1898092	3801504	3671351	3131394	40580	113222	103769	25904	108422	33909
 Galactonic acid	16968	17541	21310	36640	32698	26672	10181	10083	9658	8885	6622	8974
 Cellobiose	30477	41617	0	0	0	0	0	0	21995	20868	4921	32747
 L-Sorbose	62993	92600	60455	45089	42932	25564	63666	57333	42568	68269	58652	45992
 D-Threitol 	115224	155728	183195	196399	111902	74524	84170	75310	143029	198037	72436	79059
 Threonic acid 	19121	20773	24467	26726	23329	14730	18779	17752	22853	27438	18988	15922
 Nonanoic acid 	2865948	2866227	2293469	2851724	4191487	3565603	3292883	4164593	2778397	3798319	3748267	2364218
 Capric acid 	91143	74084	131125	131514	147285	86630	100919	174634	90740	113636	122496	78011
 Myristic acid 	1666389	715803	875804	1686982	1558865	2130092	679256	989065	480833	788527	874351	539361
