	WT at 1hr minR+Leu 0	WT at 1hr minR+Leu 1	WT at 1hr minR+Leu 2	WT at 1hr minR+Leu 3	WT at 1hr minR+Leu 4	WT at 1hr minR+Leu 5	mct1KO at 1hr minR+Leu 0	mct1KO at 1hr minR+Leu 1	mct1KO at 1hr minR+Leu 2	mct1KO at 1hr minR+Leu 3	mct1KO at 1hr minR+Leu 4	mct1KO at 1hr minR+Leu 5
Urea	3662047	2731388	4706587	5067730	2245102	3042512	155286	694882	250501	463317	198136	338455
L-Valine	717233	529692	154089	311986	485306	155745	605509	2423410	1447240	1522064	377722	1760771
Putrescine	2174582	1811636	3327904	4160877	889308	2822663	596044	860614	643413	701386	468683	638943
Methylmalonic acid	35004	26186	20832	25089	21195	19301	53413	90396	56420	67834	46989	72700
Glycine	1072903	777913	1271600	1265878	587681	742598	3581800	5711632	4510163	5366331	4196662	4463571
Malonic acid	11612	7441	0	8034	7327	7343	3281	21176	4362	9480	1734	5690
Fumaric acid	483248	738619	986833	1202432	352511	894544	497452	1264722	1126696	955209	580770	1192400
L-Alanine	2226160	2175729	1313645	1366630	1783017	1514380	3708446	4748402	3755956	4598050	3609520	5010514
Threonic acid	22385	27367	28695	40153	17059	27155	35829	59615	68062	55739	40993	51084
D-Malic acid	80555	159766	297209	304564	41499	204829	114504	246936	297868	229056	132365	282394
L-Isoleucine	1473791	1209961	1355078	1566206	873168	921520	1340038	1963657	2543008	1878630	1355765	2513537
Citric acid	88895	166991	208743	178222	51307	149877	8432	15461	13135	12345	7645	10152
L-Lysine	1421161	840220	2234529	2345728	564590	1018252	275379	313864	286825	291265	157422	191877
Xanthurenic acid	2956	3126	1063	3031	2672	4810	2426	4556	2527	4407	1122	2944
L-Glutamic acid	506934	623602	1239213	1222202	307567	638801	126585	138396	245746	139627	122923	95265
Orotic acid	734381	1107520	1204534	1161908	348200	953261	6211	34529	66034	102661	49872	23495
L-Tyrosine	214862	93138	244028	340726	147784	114333	128578	132175	144847	156200	102743	94738
Ornithine	648608	434812	943324	926470	241986	541425	5548	6426	9369	8867	4507	5509
Phosphoenolpyruvate	7240	14872	3374	6436	1997	8451	721	2417	1087	0	0	0
Thymine	19306	36081	20544	28577	12337	18592	16111	25999	14931	21740	16102	22747
Adenine	168400	227435	208426	171827	94077	134763	17514	48579	54795	45570	21642	30155
L-Aspartic acid	160495	198723	271206	359561	105021	219144	202383	369197	369250	390423	277574	357680
2-Hydroxyglutaric acid	2921	11407	36402	18319	3076	6119	9851	38267	44722	30385	19991	7047
Lanosterol	7006	10299	4166	8775	4192	2613	0	2224	1679	1744	0	2838
alpha-D-Glucosamine 1-phosphate	5129196	3699428	5836435	6738444	2118928	4087096	44266	129210	182798	15181	103512	91983
L-Asparagine	0	0	5577	0	0	1827	379	5398	0	0	355	653
methyl-beta-D-Galactopyranoside	12548	65782	28572	36064	17136	6175	0	0	7007	0	0	1521
Glycolic acid	1612341	1596523	1104645	1886041	1351463	1507420	1005434	1557575	1352229	1240555	1070005	1730776
Sorbitol	1724367	2223735	5499037	3771876	1091176	2070223	889722	1224196	1037399	1078510	806095	1039078
O-Phosphoethanolamine	3914	6537	2584	4779	2967	3795	1026	0	2647	2382	0	4284
L-Gulonic acid gamma-lactone	2560	8608	24034	20264	1248	4539	898	770	12418	0	1031	3200
Hypoxanthine	13876	0	27453	11197	14451	12895	5143	1378	5791	5853	0	2585
L-Serine	1790430	1793496	2542270	2969217	1032533	2004144	903458	1745417	1521064	1283079	831630	1355186
D-Threitol	37975	77159	285942	295407	12532	85809	32374	52992	45989	54537	29707	41344
