	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3
YHR033W	17.5815	17.5893	17.4567	5.91764	5.89658	5.5928
GEP7	11.7368	11.83	11.7306	4.32961	4.72345	4.48335
PSD1	10.511	10.4259	10.5796	6.68065	6.8151	6.67899
MET17	0.0654999	0.333118	0.794802	31.7575	31.0119	33.2504
MTG1	12.3514	11.8433	11.8866	4.68366	4.74986	4.69701
COX13	10.851	10.8147	11.265	1.22832	1.57268	0.985737
BI2	12.9142	12.1557	12.8188	1.13915	1.42331	1.00256
YJR149W	11.3142	11.3775	11.8255	4.0382	4.28255	4.05913
YDR379C-A	27.1819	26.8088	28.3943	2.46368	2.75185	1.36655
QCR7	12.4168	12.2337	13.0686	1.73233	1.77147	1.39879
MRPS5	12.4023	12.6224	12.1817	4.03955	4.54892	3.91882
DIC1	4.60911	4.3957	4.84612	19.573	20.9157	20.7741
COX1	10.944	10.6895	11.3294	0.992332	1.45093	0.727111
STE6	32.1934	29.5348	31.1104	1.58586	1.762	0.589552
FCJ1	10.4557	10.4022	10.6954	3.55195	4.13913	3.74977
ACH1	9.69145	10.3201	10.3526	1.47528	1.77062	1.29166
MRPS35	12.1382	11.5659	12.2701	4.81371	4.81454	4.78876
FYV4	12.6264	12.3067	12.2099	3.48219	4.08561	3.32398
MRPL49	11.0055	11.1109	10.5672	5.00092	5.14957	5.26296
COX4	11.3968	11.7523	10.7486	2.0685	2.10786	2.09707
YNL134C	13.4703	13.095	14.1303	4.09392	4.14843	4.06813
IRC19	14.6398	15.0231	14.3386	3.77765	4.75488	4.10106
CAB1	7.24837	7.28928	7.37048	10.5224	10.191	10.3493
SNZ3	9.69766	9.77823	9.31658	2.34182	2.93674	2.29511
YBR230W-A	13.3215	13.3108	13.4859	7.4625	6.85672	6.76424
DLD3	2.73568	2.39529	3.0467	18.4599	17.1685	18.9153
YCR061W	7.19561	7.70715	8.08396	15.0045	14.8093	14.9482
DOT6	14.348	14.8231	14.0684	7.27533	6.84562	7.30593
YPR011C	11.1743	10.7697	11.433	5.64149	5.48639	5.38733
AI1	11.9375	11.5059	11.949	2.49562	3.32846	2.36718
CPR8	12.7071	12.8638	12.732	7.85658	7.94433	8.39474
MEF2	11.0068	10.6582	11.5051	4.33915	4.4018	4.42344
SEE1	10.9378	10.6086	10.6407	7.3728	7.54313	7.32911
AMD2	9.48149	9.94165	10.4585	1.94352	2.00456	1.65866
PET123	11.8002	11.814	11.1526	4.76979	4.91407	5.18024
TPO4	18.5282	16.7342	17.9987	3.06385	3.1245	2.55474
SDH1	11.4497	11.1035	11.9735	2.51079	3.06306	2.32059
NAM9	11.9634	11.4917	11.2619	5.42227	5.68802	5.72382
CLD1	10.6342	10.0936	10.9592	3.28303	3.55696	3.62354
YDL027C	10.7891	10.4183	11.0436	3.97555	4.5543	4.08238
SDH4	15.337	15.4597	14.1683	2.23386	2.58169	1.61457
ATP17	12.0968	11.1799	12.151	2.04986	2.53624	1.79471
MRP17	12.0702	11.7453	12.0088	5.45099	6.21492	5.77425
AIM11	10.4886	10.3919	10.6419	6.17284	6.67418	6.46229
MSS2	9.74526	9.7808	9.91298	8.21054	8.29335	8.15997
QCR10	14.3545	15.7128	16.0444	1.79377	1.98991	1.33174
SOR2	8.71962	7.90203	7.83229	18.6315	19.7539	18.895
YPL107W	11.5365	11.9889	11.3864	3.85786	4.39121	3.50793
PEX11	6.45911	6.32618	6.6839	11.4803	11.4824	10.9758
COX8	12.895	11.4596	12.072	1.35659	1.82213	1.36388
STE3	1.51211	1.45865	1.92401	11.4867	12.7234	11.5355
ATO2	1.02267	1.45069	1.4621	5.05513	5.04668	5.25607
LEU1	21.4679	20.6813	19.6636	6.78088	6.93715	6.01797
FAS1	11.9228	11.7551	11.3939	8.03514	8.04155	7.98448
MMP1	8.76809	8.9515	9.2697	14.9016	15.3884	15.6829
DCI1	2.41708	2.35159	2.45049	5.6307	5.73518	6.11009
GDH3	13.9335	14.115	13.0078	5.41047	5.70355	5.45704
AEP1	11.285	10.4067	10.9433	4.90347	4.81344	5.00377
COX5A	11.9677	10.8357	12.0943	1.52536	1.91336	1.23482
CYT1	12.3352	11.071	11.9744	3.18015	3.32884	3.09359
CIT2	0.599546	0.823996	0.971257	7.06537	7.92993	7.90818
KGD1	11.7288	10.802	11.8787	2.98498	3.37907	2.80334
AGC1	11.0404	10.7943	11.5613	4.98629	5.41759	5.36091
RSM23	12.2305	11.3116	11.6489	4.42786	4.99312	4.59304
AIM38	12.7422	12.9101	11.9385	5.67527	5.30059	5.38967
ADH2	4.65312	5.64532	4.88893	15.6885	14.8773	16.1582
YJR003C	10.2527	10.0294	10.302	6.45672	6.91837	6.75674
RSM28	12.3168	11.7595	13.17	3.30764	3.14367	2.88667
REE1	7.25534	5.94804	6.63629	15.1893	15.5563	15.7204
MCT1	10.6023	11.665	12.0944	1.17022	1.24913	0.649658
COX9	12.8889	11.559	12.8461	1.93832	2.42436	1.74636
GND1	9.24706	9.32901	8.99122	6.81029	6.83143	6.68416
MRP51	12.4715	12.0972	11.4926	4.7607	4.77576	4.18518
TDA9	9.55223	9.52319	9.44166	6.18597	6.4542	6.66606
ATP19	13.1738	11.4455	12.4194	1.09179	1.34936	1.53882
AI3	7.9857	7.28361	7.54829	1.38567	2.03661	1.58752
NUC1	9.72538	9.98494	9.98018	6.68508	6.24663	6.26411
ACS1	0.290545	0.456233	0.459147	6.87712	7.27456	8.00039
GTF1	11.143	10.2766	11.0045	3.92626	4.49419	4.25465
YLR108C	4.20167	4.30794	3.64458	14.64	13.8376	15.453
MRP4	10.9723	11.4028	10.7839	6.82928	6.9367	7.08731
YMC1	6.59764	7.11208	7.21694	2.62706	2.25689	2.55268
HTD2	9.9325	9.7632	10.2826	4.79347	5.36509	4.76463
MRPL6	10.8614	10.393	10.7962	5.7221	6.1572	6.3077
ODC2	4.31998	4.04221	4.32519	0.780631	1.23023	1.01022
BAT1	13.6426	12.5186	13.3676	6.24599	6.42204	6.27267
OAC1	21.6104	19.3647	19.5169	4.57559	4.23278	5.20704
MRP7	10.2484	9.92811	10.3147	7.21631	7.07808	7.38433
PET8	11.2496	10.5646	10.7386	5.89122	5.4052	5.89637
FKS1	11.4631	11.0865	11.5697	7.97897	7.59689	7.709
AHP1	3.93364	4.73358	4.07056	12.8796	11.8291	11.9639
BI4	13.0592	13.4632	11.9495	2.00282	2.95548	2.02515
UBP13	8.68091	8.35827	8.93566	12.0606	11.9715	12.2039
UPS3	13.1526	12.2779	12.8185	6.02911	6.76782	6.48132
YAT2	1.53381	1.63858	1.53076	3.2707	3.2585	3.52856
