	14251X3	14251X5	14251X9	14251X11	14251X15	14251X17	14251X21	14251X23
ETS1-1	0	0	0	0	0	0	0	0
ETS1-2	0	0	0	0	0	0	0	0
ETS2-1	0	0	0	0	0	0	0	0
ETS2-2	0	0	0	0	0	0	0	0
HRA1	7	8	2	3	1	6	7	9
ICR1	207	168	225	157	147	108	212	107
IRT1	340	409	404	427	339	364	363	344
ITS1-1	0	0	0	0	0	0	0	0
ITS1-2	0	0	0	0	0	0	0	0
ITS2-1	0	0	0	0	0	0	0	0
ITS2-2	0	0	0	0	0	0	0	0
LSR1	397	194	142	174	345	152	166	163
NME1	113	65	59	59	96	35	40	49
PWR1	0	0	0	0	0	0	0	0
Q0010	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0
Q0020	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0
Q0045	0	0	0	0	0	0	0	0
Q0050	0	0	0	0	0	0	0	0
Q0055	0	0	0	0	0	0	0	0
Q0060	0	0	0	0	0	0	0	0
Q0065	0	0	0	0	0	0	0	0
Q0070	0	0	0	0	0	0	0	0
Q0075	0	0	0	0	0	0	0	0
Q0080	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0
Q0110	0	0	0	0	0	0	0	0
Q0115	0	0	0	0	0	0	0	0
Q0120	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0
Q0158	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0
Q0250	0	0	0	0	0	0	0	0
Q0255	0	0	0	0	0	0	0	0
Q0275	0	0	0	0	0	0	0	0
Q0285	0	0	0	0	0	0	0	0
Q0297	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0
RDN5-1	5	3	8	2	4	3	2	5
RDN5-2	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0
RME2	31	40	38	45	32	37	40	37
RME3	0	0	0	0	0	0	0	0
RNA170	23	30	21	31	21	19	28	24
RPR1	106	40	67	38	89	13	44	21
RUF20	164	191	179	188	142	174	168	181
RUF21	47	46	47	41	41	37	49	52
RUF22	1	0	0	1	0	1	2	1
RUF23	8	8	14	8	9	8	10	4
RUF5-1	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0
SCR1	290	107	111	94	262	37	102	39
SRG1	227	263	224	260	200	210	212	205
YAL001C	799	837	796	820	642	635	730	596
YAL002W	708	606	711	587	541	403	579	407
YAL003W	694	555	553	514	690	545	584	669
YAL004W	0	0	0	0	0	0	0	0
YAL005C	466	420	384	388	375	311	361	274
YAL007C	469	462	424	422	439	452	442	453
YAL008W	303	344	311	310	274	269	298	265
YAL009W	265	283	277	277	239	234	262	231
YAL010C	398	412	367	371	394	361	404	340
YAL011W	300	229	333	258	201	185	231	212
YAL012W	776	571	781	543	550	486	526	427
YAL013W	437	359	447	324	447	323	446	326
YAL014C	341	297	337	277	282	279	309	242
YAL015C	379	386	348	358	341	315	362	312
YAL016C-A	38	27	18	22	33	13	21	20
YAL016C-B	35	34	21	24	26	23	31	24
YAL016W	981	1003	918	924	844	893	884	836
YAL017W	842	753	794	666	547	418	681	450
YAL018C	20	14	16	8	8	13	15	9
YAL019W	774	649	950	700	631	506	588	403
YAL019W-A	2	1	1	1	2	0	1	1
YAL020C	183	150	211	160	152	124	172	107
YAL021C	852	648	929	639	610	423	507	385
YAL022C	503	457	557	454	445	403	514	411
YAL023C	1253	1026	1254	979	1020	874	1095	831
YAL024C	372	320	382	320	338	212	400	232
YAL025C	649	573	586	593	599	557	563	645
YAL026C	873	766	882	775	716	630	855	564
YAL026C-A	70	85	70	82	74	74	84	87
YAL027W	338	342	306	320	270	285	260	277
YAL028W	212	193	220	180	122	131	122	123
YAL029C	1335	1335	1365	1307	1143	1076	1261	1016
YAL030W	225	221	219	205	244	207	232	218
YAL031C	449	331	443	348	336	250	370	224
YAL031W-A	23	23	25	21	20	18	22	21
YAL032C	293	262	296	240	325	232	352	251
YAL033W	247	253	256	275	231	251	214	251
YAL034C	395	301	392	300	217	211	192	172
YAL034C-B	33	33	32	36	24	21	31	28
YAL034W-A	242	243	215	227	211	211	199	216
YAL035W	1639	1286	1620	1331	1501	1138	1555	1153
YAL036C	502	444	536	452	495	401	488	366
YAL037C-A	24	21	18	26	15	22	21	19
YAL037C-B	32	34	36	31	26	30	28	29
YAL037W	241	259	247	280	220	291	227	275
YAL038W	737	461	496	466	568	434	446	521
YAL039C	389	381	393	355	290	268	319	249
YAL040C	530	349	604	416	319	247	330	239
YAL041W	605	550	659	515	514	437	547	383
YAL042C-A	2	0	1	0	2	0	0	0
YAL042W	639	569	601	527	540	484	579	465
YAL043C	567	408	627	388	362	212	282	244
YAL044C	453	440	379	408	406	397	388	487
YAL044W-A	85	80	79	78	68	85	69	83
YAL045C	1	10	3	9	4	6	8	12
YAL046C	183	194	175	163	217	187	218	205
YAL047C	334	293	321	307	282	259	296	255
YAL047W-A	0	1	0	2	3	1	0	0
YAL048C	301	277	315	264	233	188	240	148
YAL049C	382	383	383	343	357	297	378	292
YAL051W	578	525	655	534	437	336	452	328
YAL053W	956	1025	959	865	929	858	1168	815
YAL054C	262	339	284	308	253	234	296	250
YAL055W	285	277	260	266	244	239	229	239
YAL056C-A	19	25	15	19	21	22	17	15
YAL056W	910	868	935	880	729	692	815	685
YAL058W	344	341	342	345	355	281	373	299
YAL059C-A	0	0	1	0	1	0	0	1
YAL059W	193	203	216	202	182	186	177	204
YAL060W	721	711	653	644	571	577	651	579
YAL061W	539	696	464	585	430	454	426	429
YAL062W	208	244	246	235	141	197	144	159
YAL063C	164	213	156	192	155	195	195	189
YAL063C-A	11	21	21	18	17	20	11	15
YAL064C-A	49	45	36	32	42	27	47	22
YAL064W	11	19	10	17	7	8	3	4
YAL064W-B	23	20	23	12	17	8	16	6
YAL065C	18	18	12	21	9	7	12	5
YAL066W	1	2	0	5	4	4	0	4
YAL067C	91	184	90	167	85	123	114	125
YAL067W-A	0	0	0	0	0	0	0	1
YAL068C	1	0	0	0	0	1	0	1
YAL068W-A	0	0	0	0	0	0	0	0
YAL069W	0	0	0	0	0	0	0	0
YAR002C-A	511	480	422	427	466	460	458	496
YAR002W	703	726	710	671	713	688	751	675
YAR003W	465	496	488	491	432	440	443	464
YAR007C	680	634	640	610	647	458	667	489
YAR008W	303	309	365	372	273	244	266	253
YAR009C	31	26	26	24	22	23	28	25
YAR010C	0	2	0	1	1	0	0	0
YAR014C	729	645	728	591	648	543	668	581
YAR015W	693	725	669	701	708	736	736	829
YAR018C	355	298	400	295	224	266	267	277
YAR019C	358	311	424	299	274	191	255	177
YAR019W-A	1	3	2	1	2	4	4	0
YAR020C	30	28	29	22	18	24	28	23
YAR023C	199	218	200	208	162	182	163	170
YAR027W	534	522	505	507	452	496	464	490
YAR028W	318	360	361	372	312	369	315	363
YAR029W	60	71	61	78	59	80	59	77
YAR030C	62	102	96	102	66	102	81	119
YAR031W	134	176	152	159	155	187	154	178
YAR033W	122	148	133	123	124	144	126	144
YAR035C-A	2	6	1	2	1	4	2	3
YAR035W	54	74	69	81	58	43	66	34
YAR042W	1046	857	980	798	594	490	572	387
YAR047C	39	33	29	46	30	32	25	25
YAR050W	180	200	214	204	152	138	190	136
YAR053W	24	60	26	56	37	63	37	56
YAR060C	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0
YAR064W	12	6	14	8	11	7	15	5
YAR066W	4	5	6	4	4	5	3	1
YAR068W	4	5	2	1	3	1	1	1
