"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR043C"	257.003494133652	-2.98224488133858	0.127798122135879	-23.3355923506275	1.93030272281789e-120	1.24813374057405e-116
"YOR221C"	235.308494740702	-3.62547780451961	0.169571856957779	-21.3801857782468	2.04314580218541e-101	6.60549037846542e-98
"YLR303W"	393.538266270847	8.66431875901143	0.515509516826292	16.8072915750477	2.15808754182702e-63	4.65139801515117e-60
"YGL009C"	1058.87347638411	-0.981997859634395	0.0615705581774092	-15.9491466165512	2.8881652328632e-57	4.66871909892337e-54
"YJL102W"	591.566761862624	-1.08268313109823	0.0736377965318034	-14.7028181462577	6.18319226216664e-49	7.9961042334339e-46
"YPR194C"	483.30964789799	-1.2207247125154	0.0839764193364353	-14.5365177767916	7.11195357632279e-48	7.66431530408386e-45
"YBL015W"	816.592821695859	-0.99138319704613	0.0685951552384735	-14.4526707986818	2.41150426249287e-47	2.22754093732556e-44
"YER001W"	717.032411125478	-1.19949540878408	0.0866840479885076	-13.8375564664805	1.51261621737361e-43	1.22257205769222e-40
"YER073W"	582.932216269422	-1.17823629872522	0.0867295652802489	-13.5851747315692	4.90360344210245e-42	3.52296665073716e-39
"YFL030W"	517.132475037184	-1.04437145063412	0.0822145775194277	-12.702996015364	5.69086035869492e-37	3.67971030793214e-34
"YDR536W"	417.696388229211	-1.28383099244939	0.102540535174295	-12.5202291002986	5.78678754436674e-36	3.40157893289776e-33
"YOR375C"	747.480023391775	-0.916640704375419	0.0747784723353983	-12.2580827843618	1.52054929150632e-34	8.19322643239986e-32
"YLL053C"	136.295761154673	-1.71766899547069	0.149246740789534	-11.5089213096648	1.18956990633438e-30	5.91673770335239e-28
"YIL125W"	1583.83273132153	-0.560505606198532	0.0505819345780389	-11.0811421285948	1.54884066377844e-28	7.1534312371367e-26
"YBR033W"	780.971100641207	-0.722402118455929	0.0662352934014247	-10.9066040377862	1.07185951926496e-27	4.6204291010448e-25
"YLL052C"	99.0191087230685	-1.91250020088194	0.180357822640795	-10.6039215426266	2.85741485107681e-26	1.15475277669142e-23
"YBR115C"	384.489841934364	10.6331514889116	1.01485713737234	10.4774860395059	1.09618911127209e-25	4.1693875255796e-23
"YJR047C"	128.800808132222	1.6790145734206	0.161411046218268	10.402104519849	2.42516890407405e-25	8.71174562985711e-23
"YKL120W"	390.303658107014	-0.904874649346585	0.0889688578791931	-10.1706897325272	2.6800409348119e-24	9.12060246552301e-22
"YFL011W"	118.35760012052	2.18099926397101	0.215747343332699	10.1090434314537	5.03736970249135e-24	1.62858162481545e-21
"IRT1"	490.125003077184	0.781744319728596	0.0774490435717981	10.0936600850841	5.89303455778504e-24	1.81449340241134e-21
"YIL055C"	373.070141932357	0.967491690728837	0.0980938605458487	9.86291787625827	6.02719061980153e-23	1.77144611580167e-20
"YBR093C"	821.053244177136	-0.632465017386207	0.0646231750766325	-9.78696909639934	1.28077602905888e-22	3.60065121908466e-20
"YLR377C"	513.420129918129	-1.11070151113189	0.116530203634804	-9.53144744012238	1.55105315530519e-21	4.17879570925139e-19
"YOR153W"	2140.66501215552	0.669591834767883	0.0717565064664559	9.33144418173282	1.04438024854519e-20	2.70118507483728e-18
"YHL028W"	179.706512609064	-1.85205485608824	0.200026323307863	-9.2590556355811	2.06248250813519e-20	5.1292353452316e-18
"YCR005C"	1033.05042875642	0.620931433639611	0.0679549791851442	9.13739421430585	6.39752135543293e-20	1.53208789200849e-17
"YHR208W"	607.340580240565	-0.626764350857977	0.0707896073559293	-8.85390347917334	8.45104765393542e-19	1.95158836179809e-16
"YGL062W"	1672.125468696	0.513982913316703	0.0581595644210305	8.83746153248092	9.79179392135041e-19	2.18323239639489e-16
"YDR148C"	932.042526132116	-0.511732450461585	0.0584015692173626	-8.76230651537781	1.91295271726125e-18	4.12305075660375e-16
"YJL103C"	602.899795103365	-0.699377952751984	0.0813337665057739	-8.59886345854074	8.05094029779293e-18	1.67927032146868e-15
