	14251X1	14251X3	14251X4	14251X7	14251X9	14251X10	14251X13	14251X15	14251X16	14251X19	14251X21	14251X22
ICR1	42.13093933	33.97532063	31.81188591	45.55238721	38.68705774	29.7000774	47.92715206	27.43724682	24.65369087	44.16125245	38.71207886	22.84777901
LSR1	215.297068	177.4026483	151.4533518	144.8362381	66.47340133	127.6498392	181.4266906	175.3148336	346.9813619	168.3239023	82.52681688	96.13390838
NME1	136.8532693	174.5046424	104.9944093	75.00401521	95.44881	84.77477809	120.4560721	168.5892006	324.3539612	91.27496357	68.72360725	71.65690691
RUF20	169.02041	194.3782109	149.1379771	172.6954752	222.2525377	161.4555175	222.8266518	191.3912389	209.7129517	227.9337051	221.5289191	186.2373745
RUF21	34.04144143	34.90486019	33.91277972	39.75041766	36.56586637	40.76863444	32.67730821	34.62596441	34.97812208	36.03288688	40.48568942	37.59292532
SCR1	310.4466422	291.6990089	241.9068309	219.340853	116.9633772	219.8466113	236.3798055	299.6872205	458.3811001	216.5085772	114.1443822	141.0799952
SRG1	219.3671948	216.31255	206.9342911	207.7965976	223.6113498	193.7448716	222.9858322	216.7284037	262.0090734	216.0415613	224.7548825	229.1223983
YAL001C	132.4437249	116.598531	126.1678565	140.0172516	121.6884424	120.0160092	134.2578475	106.5396595	101.4251509	132.3389664	118.5186167	91.72113053
YAL002W	100.0129985	92.93530423	96.57135037	90.68597716	97.7703192	88.2050168	101.2062652	80.75598324	68.6745796	90.90032753	84.55580827	62.70793638
YAL003W	310.0694975	372.587323	321.9726004	301.1930363	311.0166936	309.4539446	300.6506754	421.2575246	369.7196977	326.7879384	348.817982	409.3395812
YAL005C	96.10206235	106.1966704	100.5951566	93.51584804	91.67399831	95.21627034	96.62653218	97.18208858	98.34027137	107.9562011	91.5270785	102.1388006
YAL007C	258.8277323	282.3994304	243.7960696	260.8148422	267.4525822	258.9260233	245.6725817	300.5975737	258.3018965	228.4061289	296.0947161	249.5516029
YAL008W	230.1969615	205.0162879	232.7599558	227.355428	220.4428877	213.9195551	234.7906322	210.8270233	287.6728822	231.5931912	224.3258984	244.0330698
YAL009W	153.7632998	158.1141219	156.209457	144.8941203	173.1388468	141.93353	164.6794552	162.1633338	142.7872259	165.7996709	173.9175834	134.6528034
YAL010C	162.4001079	129.2351082	164.0928326	160.6045615	124.8399161	145.2427541	153.2657061	145.4868153	131.4411285	136.6356861	145.9473515	135.2606201
YAL011W	89.79082995	82.38361129	92.79543983	87.10226341	95.79741037	103.2917547	114.2400684	62.76905711	70.26229779	98.83893514	70.57468768	68.05566354
YAL012W	208.6760037	294.3968032	185.1736876	182.7542685	310.3933209	156.9676433	245.0808848	237.2815851	104.3114158	205.4887563	222.0110174	93.21893335
YAL013W	234.7438926	173.0395478	246.3129465	232.351528	185.422069	239.5108878	198.7802373	201.2803757	175.4082028	206.0934884	196.479031	197.5158332
YAL014C	197.6027015	198.0584642	222.1995672	187.6793626	205.0495847	197.2104187	200.3842928	186.259363	161.9160361	176.7691393	199.6709673	165.3787222
YAL015C	158.5554611	146.7529969	159.9208203	175.7814889	141.1617319	168.0815345	169.2134028	150.152347	148.8543163	158.1528724	155.9458256	152.3117614
YAL016W	271.5603946	249.5552858	253.7547111	271.8168768	244.6416583	250.0740341	267.6203033	244.1575673	276.8666212	253.8099798	250.1885586	242.2492023
YAL017W	95.78850376	96.44393932	84.03573006	103.8828451	95.27376264	78.59790726	111.5648432	71.24922632	72.31880588	99.42744332	86.78154463	60.63779585
YAL019W	83.11529717	114.4130234	95.85134031	82.19724364	147.1119905	88.36009779	106.727725	106.0703099	51.18116013	76.15451781	96.70061629	36.3217916
YAL020C	87.71572758	85.18231695	112.8909403	101.5034798	102.8894343	114.0406704	87.5108216	80.45849853	81.76814882	87.87401225	89.07261862	84.92221278
YAL021C	143.2034684	158.8599432	142.2838078	141.5674696	181.4598248	139.6968638	171.5410992	129.3405252	83.0710257	153.6278697	105.1720119	80.81527773
YAL022C	150.7420309	158.716516	173.2264607	146.3726317	184.1192923	176.7462042	149.8833182	159.6776471	128.9335348	125.8174548	180.4407693	132.1056776
YAL023C	227.9003207	262.7387958	235.5502586	228.6260488	275.4613272	243.0089929	244.0797037	243.2222393	156.1477463	226.2288121	255.449271	137.5435909
YAL024C	56.09005801	43.67657789	63.74149954	53.53322249	46.98497409	58.48521678	40.38960997	45.12864988	24.51072922	39.04768921	52.24961195	29.2209618
YAL025C	259.719055	306.4413509	258.7374309	255.0698139	289.8613112	288.0038424	252.6166703	321.6321624	275.8811815	296.1560412	295.7525382	310.7163459
YAL026C	103.2060364	106.6982827	105.5444926	101.7612337	112.9280258	99.39797418	105.2329852	99.5144587	70.47711345	86.79353765	116.2590353	53.87611949
YAL027W	180.561883	189.6043558	166.7869476	194.0514662	179.8220736	165.9468294	183.4361453	172.2365631	207.7931942	183.5920383	162.2640727	205.2758809
YAL028W	39.65336588	68.20609178	34.93284141	51.34203422	74.14808687	42.51821432	66.27657812	44.63516162	53.23991787	60.16881927	43.66812544	46.4819898
YAL029C	154.9182458	145.5466608	159.5324633	153.558885	155.899096	157.8248299	153.1802795	141.7089198	131.2861271	138.2057374	152.9514087	117.9628294
YAL030W	344.2878713	290.2655985	356.0777064	317.1207222	295.9696162	323.9323808	303.1701682	357.9586426	372.7740112	331.1725731	332.9802297	413.5837558
YAL031C	115.3508026	99.89455041	99.788514	111.5850119	103.2497828	95.67097132	116.359728	85.00896133	64.28772143	105.3945285	91.58294272	63.81770754
YAL032C	179.6956868	122.4857144	173.9259989	179.0034732	129.6282014	195.9129323	159.6933146	154.500951	150.0630081	148.9867026	163.7110135	184.2769182
YAL033W	193.6149963	210.5347067	194.6131109	196.8532363	228.5897101	202.7621857	208.8326425	223.9075321	195.3016767	208.2834868	202.9354571	195.0577993
YAL034C	122.6991933	104.1154595	136.6790196	114.6944852	108.2415884	125.6710742	126.7852566	65.04408897	114.4140144	112.3087463	56.30367823	107.0177199
YAL034W-A	165.1677389	133.470681	141.596938	166.7363312	124.2221196	162.0364475	156.6370168	132.337505	123.5634138	155.6929016	122.1071236	141.3362693
YAL035W	263.3421333	273.0236091	288.3786517	273.4270481	282.700274	282.6324002	256.3689488	284.3360454	203.351124	237.0303409	288.1834641	188.3184517
YAL036C	187.1109874	194.9550476	200.1968822	178.9961177	218.064777	213.5858082	187.1903077	218.6079455	150.2834204	166.1578368	210.8472802	151.9432867
YAL037W	103.9364696	123.5732715	103.5436354	117.9112867	132.6766265	108.4214465	128.1896801	128.2803569	112.9172585	112.6302824	129.4943361	113.5543136
YAL038W	134.9172372	218.8732495	136.5168411	127.4597276	154.3109836	131.328449	137.5028633	191.8242507	128.5318727	163.4775467	147.3592732	116.8182967
YAL039C	246.8012384	212.7579646	321.3494935	264.5549788	225.1742583	304.1360577	248.3119563	180.3699564	307.7267253	247.515223	194.1083969	321.8453688
YAL040C	98.0370032	116.7285463	90.29119544	89.50451753	139.3567827	96.05121437	122.2361728	79.89541693	62.79946533	102.5849035	80.85978119	60.62036607
YAL041W	114.7147147	112.8054761	107.2804774	105.3439395	128.721232	109.1796385	115.4173265	108.985295	70.01700737	100.3351183	113.4696065	67.4443802
YAL042W	232.2283246	245.2574561	239.9191443	227.1201069	241.6494429	242.3021801	234.1298297	235.692139	201.2914358	213.3095182	247.2392055	193.4755534
YAL043C	124.1248666	124.0450035	118.1056515	123.169859	143.6989923	114.9823341	150.9561673	90.06058513	73.5202312	132.008119	68.63770274	69.67548486
YAL044C	309.6377661	391.2029142	336.5099686	320.9926134	342.872816	366.9648959	304.8485529	398.7125352	456.2035877	336.7243108	372.7803565	507.2661869
YAL044W-A	92.65675576	97.87269377	96.98030346	102.7176363	95.29270877	93.64335462	90.96519614	89.03925252	121.6542901	90.40260532	88.39121854	110.4996362
YAL046C	244.7704702	193.7210757	252.4390138	246.5775516	194.06794	260.4267003	215.9541243	261.2254541	266.8072906	215.7178514	256.7436376	328.2085967
