refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
ERR3079402	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 1	
ERR3079403	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 1	
ERR3079404	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 1	
ERR3079405	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 1	
ERR3079406	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 10	
ERR3079407	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 10	
ERR3079408	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 10	
ERR3079409	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 10	
ERR3079410	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 11	
ERR3079411	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 11	
ERR3079412	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 11	
ERR3079413	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 11	
ERR3079414	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 12	
ERR3079415	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 12	
ERR3079416	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 12	
ERR3079417	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 12	
ERR3079418	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 13	
ERR3079419	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 13	
ERR3079420	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 13	
ERR3079421	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 13	
ERR3079422	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 14	
ERR3079423	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 14	
ERR3079424	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 14	
ERR3079425	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 14	
ERR3079426	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 15	
ERR3079427	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 15	
ERR3079428	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 15	
ERR3079429	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 15	
ERR3079430	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 2	
ERR3079431	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 2	
ERR3079432	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 2	
ERR3079433	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 2	
ERR3079434	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 3	
ERR3079435	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 3	
ERR3079436	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 3	
ERR3079437	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 3	
ERR3079438	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 4	
ERR3079439	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 4	
ERR3079440	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 4	
ERR3079441	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 4	
ERR3079442	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 5	
ERR3079443	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 5	
ERR3079444	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 5	
ERR3079445	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 5	
ERR3079446	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 6	
ERR3079447	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 6	
ERR3079448	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 6	
ERR3079449	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 6	
ERR3079450	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 7	
ERR3079451	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 7	
ERR3079452	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 7	
ERR3079453	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 7	
ERR3079454	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 8	
ERR3079455	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 8	
ERR3079456	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 8	
ERR3079457	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 8	
ERR3079458	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 9	
ERR3079459	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 9	
ERR3079460	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 9	
ERR3079461	ERP113383		tam strain - delft university					SACCHAROMYCES_CEREVISIAE	NextSeq 500 (NextSeq500)	True				SRA	cen.pk			Sample 9	
