refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR3672327	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_dmso-rep1	dmso
SRR3672328	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_1napp1-rep1	1-napp-1
SRR3672329	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_cmk-rep1	cmk
SRR3672330	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28as_dmso-rep1	dmso
SRR3672331	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28as_1napp1-rep1	1-napp-1
SRR3672332	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28is_dmso-rep1	dmso
SRR3672333	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28is_1napp1-rep1	1-napp-1
SRR3672334	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28is_cmk-rep1	cmk
SRR3672335	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_dmso-rep2	dmso
SRR3672336	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_1napp1-rep2	1-napp-1
SRR3672337	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_cmk-rep2	cmk
SRR3672338	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28is_dmso-rep2	dmso
SRR3672339	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28is_1napp1-rep2	1-napp-1
SRR3672340	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		kin28is_cmk-rep2	cmk
SRR3672341	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		WT_dmso-minus-4-thiouracil	dmso
SRR3672342	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_WT_dmso-rep1	dmso
SRR3672343	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_WT_1napp1-rep1	1-napp-1
SRR3672344	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_WT_cmk-rep1	cmk
SRR3672345	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28as_dmso-rep1	dmso
SRR3672347	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_dmso-rep1	dmso
SRR3672348	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_1napp1-rep1	1-napp-1
SRR3672349	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_cmk-rep1	cmk
SRR3672350	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_WT_dmso-rep2	dmso
SRR3672351	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_WT_1napp1-rep2	1-napp-1
SRR3672352	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_WT_cmk-rep2	cmk
SRR3672353	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_dmso-rep2	dmso
SRR3672354	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_1napp1-rep2	1-napp-1
SRR3672355	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_cmk-rep2	cmk
SRR3672356	SRP076628		by4741					SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True				SRA		yeast by4741		n_kin28is_dmso-rep3	dmso
