Gene	SRR4018567	SRR4018568	SRR4018569	SRR4018570	SRR4018571	SRR4018572	SRR4018573	SRR4018574	SRR4018575	SRR4018576	SRR4018577	SRR4018578
ETS1-1	3.637563437356669	4.022210565855373	3.43439340724483	4.5552769872289876	2.9460629072546602	4.1736600078265536	2.9058021551826476	2.957006979066355	3.724395688963964	3.0655629933118083	2.87917799249189	2.7423287943743855
ETS2-1	0.259204865953015	0.5601014636166457	0.6094373457896068	0.6167632653087639	0.58391998782257	0.48597931357153734	0.4364767819601296	0.4411858620124387	0.4184863890541406	0.22958738306753143	0.5685180611458917	0.5506129682350573
HRA1	0.37534598537785985	0.2818358008849934	0.46605496690945786	0.3424169409188892	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.22869036810030596	0.3296764814923524	0.07811618253988781	0.07225061366584558	0.08356300254105213
ICR1	0.9805470388355368	0.987646160474418	0.9454738879342182	0.9695684403067402	0.9630201701417429	0.9409293951576254	1.0390550047341551	0.9899569520671597	1.029298818094028	1.1105362733609714	0.9845733112028527	0.9695684403067402
IRT1	1.182424179937643	1.2756189361379673	1.241785503102061	1.1853532370632491	1.2675874228146211	1.1966371958227753	0.9164160080024946	0.9319720977372463	0.9226560606644831	0.8953965829102831	0.9224321032600584	0.9740586938739562
ITS1-1	1.1126565464575608	1.2260827950718258	1.1112839005039543	1.3430114188545064	1.0922987534420003	1.180317734651915	1.1163392851501983	1.1798981981312535	1.1924549393043786	1.0462026339479127	1.0279679621525177	1.0387790240030372
ITS2-1	1.1792514703361292	1.253661216712858	1.1316530901558473	1.4074153161978629	1.1465424662557593	1.24897960000213	1.2310082587749187	1.4700500380107688	1.4193243341051838	1.2108339613926051	1.1545595648822389	1.1183139455633473
LSR1	0.8854780728393037	0.9034148287159447	0.8880061602379032	0.92876701345025	0.8998270469517922	0.9180590525370217	0.8464496693006938	0.8507753593602431	0.8627124639261939	0.8552015296503253	0.8936150797318404	0.9034148287159447
NME1	0.8552015296503253	0.8871891531149626	0.8726340909352271	0.8965296497524815	0.8776299946499793	0.919700102856168	0.8587677141755604	0.8689935658125737	0.8650746418795932	0.8334706518014015	0.8322123364780121	0.8377558530770033
PWR1	0.07184775402032201	0.24979341550257567	0.4923931415807441	0.10580408065644367	0.1159231208648187	0.3167491923167039	0.06638952523995305	0.22788627666264868	0.4155809435399752	0.3662907631138216	0.39597379959843887	0.3110533168224849
Q0010	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0017	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0020	0.5351711592561661	0.6493002134860963	0.4838253978694283	0.40252220887303714	0.6288721268441373	0.6468313922221081	0.5883866073761919	0.5621950220883309	0.5356875528972419	0.5628335957676683	0.5356875528972419	0.5562005816423163
Q0032	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0045	0.07184775402032201	0.2978374008712847	0.314488435443962	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.26471067451022995	0.22584400631272386	0.2752891334505877	0.08356300254105213
Q0050	0.07184775402032201	0.08610681275759909	0.36289849228081145	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.2377674912671586	0.07225061366584558	0.08356300254105213
Q0055	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.3461487862982448	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.2445742294635027
Q0060	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0065	0.07184775402032201	0.08610681275759909	0.3110533168224849	0.10580408065644367	0.1159231208648187	0.36289849228081145	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.216950473702504	0.07225061366584558	0.08356300254105213
Q0070	0.07184775402032201	0.30345544897274235	0.30946238935626597	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0075	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0080	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0085	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0092	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0105	0.07184775402032201	0.08610681275759909	0.094500771256062	0.2752891334505877	0.1159231208648187	0.35712000437583225	0.2859437068125136	0.3167491923167039	0.0659724896685954	0.07811618253988781	0.3296764814923524	0.08356300254105213
Q0110	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0115	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0120	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.28762989241247483	0.0659724896685954	0.2222569322296936	0.07225061366584558	0.3289218734151451
Q0130	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.1159231208648187	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0140	0.27688854493044196	0.35466387542729527	0.42162083869342565	0.41178327705361684	0.1159231208648187	0.36997774198886724	0.06638952523995305	0.2377674912671586	0.0659724896685954	0.2177823064502422	0.2462947061348716	0.3010589943341316
Q0142	0.07184775402032201	0.08610681275759909	0.094500771256062	0.10580408065644367	0.3538663323309392	0.09534603529946473	0.06638952523995305	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
Q0143	0.2752891334505877	0.3110533168224849	0.44709301438078825	0.3493524440840029	0.4560169715159633	0.09534603529946473	0.3996255273107284	0.07143798363665636	0.0659724896685954	0.07811618253988781	0.07225061366584558	0.08356300254105213
