index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_5693148_reaction_382560_reaction_70560	BCKDK phosphorylates BCKDH // ABC7, mABC1 and mABC2 mediate heme transport // carbamoyl phosphate + ornithine => citrulline + orthophosphate	true	ADP,p-BCKDH	CAP,ornithine	Heme transporters,catalyst,BCKDK,catalyst,OTC trimer,catalyst	Q9NUT2,ENST00000542328,O75027,ENST00000373394,Q9NRK6,ENST00000344517,P11182,ENST00000370132,P09622,ENST00000437604,species_29480,P21953,ENST00000369760,species_113596,P12694,ENST00000457836,P11182,ENST00000370132,P09622,ENST00000437604,species_29480,P21953,ENST00000369760,species_113596,P12694,ENST00000457836,ENST00000394951,P00480,ENST00000039007	1.090684977	0.023686914	3.2200000000000004e-8	0.00007507177066435009
1	0	reaction_203946_reaction_382560_reaction_70560	PDK isoforms phosphorylate lipo-PDH // ABC7, mABC1 and mABC2 mediate heme transport // carbamoyl phosphate + ornithine => citrulline + orthophosphate	true	p-lipo-PDH,ADP	CAP,ornithine	Heme transporters,catalyst,PDK isoforms,catalyst,Ac-CoA,catalyst,RXRA:PPARD:atRA,catalyst,NADH,catalyst,PYR,inhibitor,DCA:PDK2,inhibitor,OTC trimer,catalyst	Q9NUT2,ENST00000542328,O75027,ENST00000373394,Q9NRK6,ENST00000344517,P10515,ENST00000280346,O00330,ENST00000430469,P09622,ENST00000437604,P11177,ENST00000485460,species_29480,P08559,ENST00000540249,P29803,ENST00000295266,species_113596,P10515,ENST00000280346,O00330,ENST00000430469,P09622,ENST00000437604,P11177,ENST00000485460,species_29480,P08559,ENST00000540249,P29803,ENST00000295266,species_113596,Q15120,ENST00000648777,Q15119,ENST00000614357,Q15118,ENST00000410055,Q16654,ENST00000005178,species_5334804,P19793,ENST00000481739,Q03181,ENST00000448077,species_9010792,Q15119,ENST00000614357,P00480,ENST00000039007	1.090684977	0.023686914	3.2200000000000004e-8	0.00007507177066435009
2	0	reaction_70560_reaction_70997_reaction_5693148	carbamoyl phosphate + ornithine => citrulline + orthophosphate // ADP + Orthophosphate + Succinyl-CoA <=> ATP + Succinate + CoA // BCKDK phosphorylates BCKDH	true	CAP,ornithine	ADP,p-BCKDH	SUCLA2:SUCLG1,catalyst,OTC trimer,catalyst,BCKDK,catalyst	P53597,ENST00000393868,Q9P2R7,ENST00000646932,P00480,ENST00000039007,P11182,ENST00000370132,P09622,ENST00000437604,species_29480,P21953,ENST00000369760,species_113596,P12694,ENST00000457836,P11182,ENST00000370132,P09622,ENST00000437604,species_29480,P21953,ENST00000369760,species_113596,P12694,ENST00000457836,ENST00000394951	1.090684977	3.2200000000000004e-8	0.023686914	0.00007507177066435009
3	0	reaction_70560_reaction_70997_reaction_203946	carbamoyl phosphate + ornithine => citrulline + orthophosphate // ADP + Orthophosphate + Succinyl-CoA <=> ATP + Succinate + CoA // PDK isoforms phosphorylate lipo-PDH	true	CAP,ornithine	p-lipo-PDH,ADP	SUCLA2:SUCLG1,catalyst,OTC trimer,catalyst,PDK isoforms,catalyst,Ac-CoA,catalyst,RXRA:PPARD:atRA,catalyst,NADH,catalyst,PYR,inhibitor,DCA:PDK2,inhibitor	P53597,ENST00000393868,Q9P2R7,ENST00000646932,P00480,ENST00000039007,P10515,ENST00000280346,O00330,ENST00000430469,P09622,ENST00000437604,P11177,ENST00000485460,species_29480,P08559,ENST00000540249,P29803,ENST00000295266,species_113596,P10515,ENST00000280346,O00330,ENST00000430469,P09622,ENST00000437604,P11177,ENST00000485460,species_29480,P08559,ENST00000540249,P29803,ENST00000295266,species_113596,Q15120,ENST00000648777,Q15119,ENST00000614357,Q15118,ENST00000410055,Q16654,ENST00000005178,species_5334804,P19793,ENST00000481739,Q03181,ENST00000448077,species_9010792,Q15119,ENST00000614357	1.090684977	3.2200000000000004e-8	0.023686914	0.00007507177066435009
4	0	reaction_70664_reaction_70667_reaction_70654	PYCR1 decamer reduces (S)-1-pyrroline-5-carboxylate to L-Pro // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	proline,NAD+	ornithine,2OG	PYCR1 decamer,catalyst,OAT hexamer,catalyst	P32322,ENST00000619204,P04181,ENST00000539214	1.287135443	0.000637014	3.2200000000000004e-8	0.000012311101342044729
5	0	reaction_8955817_reaction_70667_reaction_70654	PRODH2 oxidises HPRO to 1PYR-5COOH // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	FAD,HPRO	ornithine,2OG	PRODH2,catalyst,OAT hexamer,catalyst	ENST00000301175,P04181,ENST00000539214	1.090684977	0.023686914	3.2200000000000004e-8	0.00007507177066435009
6	0	reaction_70670_reaction_70667_reaction_70654	PRODH oxidises L-Pro to 1PYR-5COOH // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	FAD,proline	ornithine,2OG	PRODH(1-?),catalyst,OAT hexamer,catalyst	ENST00000357068,P04181,ENST00000539214	1.18891021	0.000637014	3.2200000000000004e-8	0.0002136972463278409
7	0	reaction_6783939_reaction_70667_reaction_70654	PYCR2 decamer reduces (S)-1-pyrroline-5-carboxylate to L-Pro // 1PYR-5COOH spontaneously hydrolyses to L-GluSS // ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	true	proline,NAD+	ornithine,2OG	PYCR2 decamer,catalyst,OAT hexamer,catalyst	Q96C36,ENST00000343818,P04181,ENST00000539214	1.287135443	0.000637014	3.2200000000000004e-8	0.000012311101342044729
8	0	reaction_70654_reaction_507749_reaction_1362408	ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT] // PXLP-K341-GPT2 transaminates PYR to form L-Ala // FXN:NFS1:ISD11:ISCU assembles 2Fe-2S iron-sulfur cluster	true	ornithine,2OG	2 Iron:FXN:NFS1:ISD11:ISCU,FDX1,FDX2 (reduced),cysteine	PXLP-K341-GPT2 dimer,catalyst,OAT hexamer,catalyst,2 Iron:FXN:NFS1:ISD11:ISCU,catalyst,FDX1,FDX2 (reduced),catalyst	Q8TD30,P04181,ENST00000539214,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,species_71067,Q6P4F2,ENST00000393708,CHEBI:33738,P10109,ENST00000260270,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,CHEBI:33739,Q6P4F2,ENST00000393708,CHEBI:33737,P10109,ENST00000260270,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,species_71067,Q6P4F2,ENST00000393708,CHEBI:33738,P10109,ENST00000260270	1.524422989	3.2200000000000004e-8	0.00000228	7.365289828371268e-7
9	0	reaction_893583_reaction_507749_reaction_1362408	kynurenine + 2-oxoglutarate => 4-(2-aminophenyl)-2,4-dioxobutanoic acid + glutamate // PXLP-K341-GPT2 transaminates PYR to form L-Ala // FXN:NFS1:ISD11:ISCU assembles 2Fe-2S iron-sulfur cluster	true	kynurenine,2OG	2 Iron:FXN:NFS1:ISD11:ISCU,FDX1,FDX2 (reduced),cysteine	PXLP-K341-GPT2 dimer,catalyst,AADAT dimer,catalyst,2 Iron:FXN:NFS1:ISD11:ISCU,catalyst,FDX1,FDX2 (reduced),catalyst	Q8TD30,Q8N5Z0,ENST00000515480,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,species_71067,Q6P4F2,ENST00000393708,CHEBI:33738,P10109,ENST00000260270,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,CHEBI:33739,Q6P4F2,ENST00000393708,CHEBI:33737,P10109,ENST00000260270,Q16595,ENST00000484259,Q9HD34,ENST00000330636,Q9Y697,Q9H1K1,ENST00000392807,species_71067,Q6P4F2,ENST00000393708,CHEBI:33738,P10109,ENST00000260270	1.025375698	0.110070081	0.00000228	0.001361747380234703
