	log2fc	p-adj
urea	0.052125115	0.58452693
levoglucosan	-0.16877771	0.36948541
5-aminovaleric acid	0.685248295	0.286770074
3-phosphoglycerate	-1.085793749	0.001044686
cellobiotol	0.148481234	0.6215931
azelaic acid	-0.295670818	0.059058275
homoserine	0.159452671	0.087592179
2-ketoisocaproic acid	-0.21543181	0.142382123
erythronic acid lactone	-0.556876905	0.001613925
allantoic acid	-0.664780978	0.000878199
4-hydroxybutyric acid	0.37402911	0.013627837
dodecanol	-0.354274066	0.000271477
alanine	0.294946874	0.00095755
N-acetyl-D-mannosamine	0.468630833	0.000183534
5-methoxytryptamine	0.098300907	0.594978747
1-monopalmitin	0.156225142	0.161169378
238267 trisaccharide	0.601411342	0.03931121
fucose-rhamnose	1.083475984	0.000752443
citric acid	-0.636298204	0.000501045
isoleucine	0.243870183	0.004716428
pyrophosphate	-0.041297457	0.720539197
UDP-GlcNAc	1.176163198	1.94e-07
glycolic acid	-0.002013729	0.974237568
serine	-0.030029659	0.694785594
indole-3-lactate	0.19253182	0.170232153
icosenoic acid	-0.042541432	0.784226267
taurine	0.388917561	0.003907708
valine	0.01939655	0.765924786
dodecane	-0.090948178	0.466463577
guanine	-0.094394699	0.471141775
cytidine-5-monophosphate	0.769034459	0.003001838
1-monostearin	-0.226174471	0.028190959
gamma-tocopherol	0.221425414	0.274201373
galactose-6-phosphate	-0.163492098	0.237908294
caprylic acid	-0.360573208	0.00033643
kynurenine	-0.349060539	0.110070081
glycerol-beta-phosphate	0.243143072	0.013247487
glycerol	0.305653692	0.001225158
adenosine-5-phosphate	1.310849716	0.000228557
cystine	-0.240817155	0.118751843
pseudo uridine	-0.07654489	0.352328601
dihydroabietic acid	0.120499967	0.527736334
cysteine	0.676315159	2.28e-06
shikimic acid	0.230208529	0.075351591
ribose	-0.034321029	0.830872396
spermidine	-0.55962869	3.12e-05
trehalose	0.189363463	0.55251835
pantothenic acid	-0.129979077	0.366057286
myo-inositol	0.023029596	0.803432611
xylitol	0.519232882	4.77e-05
histidine	-0.630702184	9.26e-05
quinic acid	-0.362192381	0.457769051
glyceric acid	0.500730719	0.000144083
beta-alanine	-0.081472043	0.535769412
biuret	-0.697971463	0.001443451
maltotriose	0.007200986	0.981451698
methionine	0.191338859	0.094225561
1-hexadecanol	-0.054971749	0.637810756
capric acid	-0.237370118	0.011714321
triethanolamine	-0.416771708	0.016322219
erythronic acid	0.314420281	0.002795622
2-hydroxyglutaric acid	0.679551668	0.003363723
asparagine	0.231201015	0.004191927
orotic acid	0.249763903	0.224036315
trans-4-hydroxyproline	0.305911257	0.001126476
3-aminoisobutyric acid	-0.179596171	0.268788057
putrescine	0.184698885	0.330032371
glycerol-3-galactoside	1.089042751	0.04131462
phenylalanine	0.190696526	0.071881265
Cytidine-5'-diphosphate	0.01012597	0.943991378
dihydrosphingosine	-0.597481192	0.002385164
adipic acid	-0.327964345	0.073973389
salicylaldehyde	-0.09583416	0.45371809
