	log2fc	p-adj
MTG1	-1.352435741	1.16e-05
SPC34	0.124320849	0.190337831
HTD2	-1.006362613	3.1e-07
HAP5	-0.060968014	0.382171995
MXR2	-0.016138588	0.957201018
CHS5	-0.04547132	0.415235094
ROG1	0.726736198	0.005729773
SSD1	-0.00281673	0.929351955
VTH1	0.569747181	0.000140098
YAL044W-A	-0.102137309	0.649332605
PRP31	0.056186035	0.229358272
MEC1	0.398246305	6.72e-05
ARF3	-0.034998941	0.625032937
ACM1	-0.199189822	0.206564624
SDT1	-0.164901869	0.004836427
RPB9	-0.049512525	0.76648869
HRB1	0.086278159	0.424632441
GLN4	-0.163299987	0.014633497
LCP5	0.254259688	0.013956696
TOM70	-0.10466069	0.119002264
BNI1	0.158144019	0.000824588
PHO4	-0.384084496	0.013101598
RRG8	-1.737696929	2.51e-05
NMD3	-0.006086033	0.874127991
ADE2	0.286020766	0.002515922
YEL025C	0.499093413	0.06247142
CSE4	0.114998023	0.061755201
SPE3	0.203465648	0.006520994
OCA2	0.432717901	4.35e-05
ASI3	0.346841152	0.078868322
ARK1	0.189923227	0.073190215
RAD34	0.033388208	0.546571709
ABD1	0.029403113	0.0389515
COX2	-3.718569251	0.000263257
YMR209C	0.077577177	0.197163071
HMG2	0.475110223	0.001296397
MSW1	-1.081178448	7.35e-07
YOR1	0.350586146	0.004030634
RAM1	0.204540683	0.015602537
SUM1	0.214586171	0.068652367
MRP7	-0.492113826	5.38e-07
CPR8	-0.662705929	1.91e-05
PEP7	-0.003286343	0.93675112
NNF2	0.270083794	0.001672178
TOD6	0.196414729	0.192030676
ERV2	-0.076571368	0.757197363
NVJ1	-0.071353316	0.235563069
LPD1	-0.980206872	7.63e-06
TCB1	0.179796189	0.040182157
YPR147C	-0.072410768	0.63523364
SMF2	0.28540977	0.012786697
OSH3	0.155152982	0.031651418
PDH1	2.143451065	4.69e-05
NTG2	0.103491328	0.681001089
SSP120	-0.011635572	0.867373311
MBR1	-0.775503165	0.035101302
PBS2	-0.01753538	0.798840757
YPT10	0.155018612	0.018778228
ISN1	-0.006200879	0.930329268
YHM2	-1.950505477	0.000322588
RPL13A	-0.45861847	0.121156384
MDM12	0.105635392	0.301432966
KRE27	0.159471489	0.057517085
SLX4	0.063882847	0.27196954
YHR112C	0.465377406	0.001504249
FAA3	0.152767458	0.146207668
NSG2	0.144080742	0.120537848
EMC4	0.08393416	0.35913166
YPS3	-0.708328635	0.048207757
MTM1	-1.071873586	4.51e-05
IZH2	-0.001767328	0.981315948
MIG1	0.314017006	0.338838237
COQ9	-1.255083957	1.58e-06
HXK2	-0.121312316	0.382592243
YKR041W	0.234337945	0.199945346
ALD5	-0.118574585	0.012064453
YDR061W	-0.016305148	0.893202554
CST6	0.242490103	0.059236453
SHB17	-0.043865507	0.3985337
TGL5	-0.058241774	0.24840405
HFI1	0.294592089	0.004354793
PDX3	0.102597273	0.083809647
ERG5	-0.061257329	0.63307779
MAK10	0.160375582	0.01089218
MNE1	-1.409831965	0.000302471
VMS1	-0.004356261	0.93586276
GYP6	0.186468039	0.059782067
COA1	0.005496017	0.951553008
HTB2	-0.302350605	0.404169501
REI1	-0.088821767	0.279366012
SWD3	0.106899727	0.090729088
