	log2fc	p-adj
LIP2	-0.632480672	0.001865366
YHR138C	0.621313395	0.011781117
RPO21	0.078493858	0.095724097
YKR070W	-0.315618271	0.000100596
UBA3	-0.015047318	0.976107814
UBC9	-0.051427957	0.720353447
CHS2	0.090536552	0.186655523
RRP3	-0.250859997	0.012196582
GOR1	-0.180519692	0.081987307
ADH4	-1.51012475	0.047142106
ODC2	-2.070257406	6.06e-07
HLR1	0.813484455	0.000661369
FUR1	-0.339584554	0.001164845
FBP1	-3.030572267	0.000745809
KTR7	-0.342098847	0.024032528
ATG16	0.294052382	0.05828725
TMN2	-0.075017787	0.391952306
NMA111	0.105691126	0.167500426
STF2	-1.086998367	0.000184513
MDG1	0.081950993	0.231777507
SKO1	-0.075734609	0.262151452
SWC7	0.006574667	0.916051745
DBP8	0.155048624	0.003235604
MEX67	0.025762067	0.682077812
YHR097C	-0.00351701	0.925403293
KAR3	0.023040971	0.551899147
UBA2	0.028112594	0.162396171
HTB1	0.698734977	0.151296069
SEC9	-0.038942312	0.588922486
YPL168W	-0.719285265	0.000481332
FRA2	-0.127900773	0.786563472
KEI1	-0.045579642	0.53742094
RPL32	-0.375084215	0.043704543
YOR022C	-0.557512839	4.64e-05
MCM2	0.11263002	0.011451229
INP54	0.05736606	0.877253583
TRP2	0.012464115	0.607574566
GZF3	-0.103623889	0.465894261
YHR162W	3.688170893	0.000694694
VMA3	0.734312381	0.450971536
SRF1	0.244397748	0.225935783
SRP1	0.045348943	0.685182621
GEP7	-1.382716747	9.23e-07
ARO7	-0.267920853	0.010467668
RPL43B	-0.231759805	0.093899017
COA4	-0.115078234	0.295855243
PMC1	0.353949792	0.003747971
SGF29	0.246425492	0.020028726
YKR041W	0.234337945	0.199945346
NPY1	0.012579725	0.889957024
ERR3	1.092975295	0.005124211
CTP1	-0.644042926	0.006062425
RIB2	-0.079644661	0.175883944
HRP1	-0.000588908	0.995969464
CUS1	0.080973685	0.363570455
DET1	0.003948687	0.921721515
TOM22	-0.18078034	0.238192563
SEC15	0.097427822	0.262471008
THO2	0.220426216	0.001851362
FIP1	0.02286955	0.71127697
IML1	0.050955315	0.290080211
YIL161W	0.086794915	0.39215544
