Geneid	Length
R0010W	1272
R0020C	1122
R0030W	546
R0040C	891
YAL068C	363
YAL067W-A	228
YAL067C	2026
YAL065C	387
YAL064W-B	381
YAL064C-A	381
YAL064W	285
YAL063C-A	291
YAL063C	3969
YAL062W	1832
YAL061W	1536
YAL060W	1296
YAL059W	732
YAL058W	1624
YAL056W	2752
YAL055W	632
YAL054C	2188
YAL053W	2544
YAL051W	3286
YAL049C	920
YAL048C	2184
YAL047C	1968
YAL046C	496
YAL044W-A	456
YAL044C	608
YAL043C	2400
YAL042W	1368
YAL041W	2816
YAL040C	2384
YAL039C	960
YAL038W	1768
YAL037C-A	93
YAL037W	1024
YAL036C	1352
YAL035W	3152
YAL034W-A	952
YAL034C	1992
YAL033W	616
YAL032C	1256
YAL031C	2360
YAL030W	407
YAL029C	4816
YAL028W	1632
YAL027W	936
YAL026C	4296
HRA1	564
YAL025C	1112
YAL024C	4472
YAL023C	2504
YAL022C	1664
YAL021C	2816
YAL020C	1128
YAL019W	3552
YAL018C	978
YAL017W	4584
YAL016W	2064
YAL015C	1356
YAL014C	904
YAL013W	1326
YAL012W	1384
YAL011W	1912
YAL010C	1617
YAL009W	880
YAL008W	776
YAL007C	872
tP(UGG)A	72
YAL005C	2304
YAL003W	978
snR18	102
YAL002W	4000
YAL001C	3598
YAR002W	1776
YAR002C-A	864
YAR003W	1872
YAR007C	1968
YAR008W	1009
tA(UGC)A	73
YAR014C	2422
YAR015W	1224
YAR018C	1344
YAR019C	2955
YAR020C	168
YAR023C	1328
tL(CAA)A	82
tS(AGA)A	82
YAR027W	860
YAR028W	759
YAR029W	225
YAR031W	897
YAR033W	758
YAR035W	2400
YAR035C-A	81
YAR042W	3672
YAR050W	4614
YAR064W	300
YAR066W	612
YAR068W	486
YAR071W	1404
YBL113C	2379
YBL112C	318
YBL111C	2004
YBL108C-A	129
tL(UAA)B1	84
YBL107C	744
YBL106C	3071
YBL105C	3816
YBL104C	3125
YBL103C	1944
YBL102W	896
YBL101C	3660
YBL100W-C	120
tF(GAA)B	73
YBL099W	2200
YBL098W	1440
YBL097W	2360
YBL095W	1056
YBL093C	896
YBL092W	871
YBL091C-A	564
YBL091C	1456
YBL090W	648
YBL089W	1480
YBL088C	8737
YBL087C	616
YBL086C	1511
YBL085W	3168
YBL084C	2528
YBL082C	1520
YBL081W	1496
YBL080C	1760
YBL079W	4640
YBL078C	743
YBL076C	3360
YBL075C	1950
YBL074C	1068
snR56	88
YBL072C	734
YBL071C-B	99
YBL071W-A	520
YBL069W	1456
YBL068W	1229
YBL067C	2576
YBL066C	3717
YBL064C	896
YBL063W	3352
YBL061C	2288
YBL060W	2310
YBL059C-A	523
YBL059W	743
YBL058W	1416
YBL057C	711
YBL056W	1920
YBL055C	1720
YBL054W	1984
YBL052C	2792
YBL051C	2504
YBL050W	1020
YBL049W	417
YBL047C	4528
YBL046W	1448
YBL045C	1920
YBL044W	439
YBL043W	1032
YBL042C	2176
YBL041W	1064
YBL040C	815
YBL039W-B	544
YBL039C	1984
YBL038W	784
YBL037W	3264
YBL036C	904
YBL035C	2448
YBL034C	4712
YBL033C	1144
YBL032W	1344
YBL031W	1104
YBL030C	1376
YBL029C-A	393
YBL029W	1264
YBL028C	528
YBL027W	752
YBL026W	456
YBL025W	784
YBL024W	2184
YBL023C	2689
YBL022C	3592
YBL021C	632
YBL020W	1872
YBL019W	1712
YBL018C	541
YBL017C	5008
YBL016W	1062
YBL015W	1832
tI(AAU)B	74
tG(GCC)B	71
YBL014C	2856
YBL013W	1425
YBL011W	2512
YBL010C	1112
YBL009W	2152
YBL008W-A	240
YBL008W	2523
YBL007C	4000
YBL006C	688
YBL005W	3208
tS(AGA)B	82
YBL004W	7688
YBL003C	760
YBL002W	780
YBL001C	617
YBR001C	2448
YBR002C	1048
YBR003W	1568
YBR004C	1416
YBR005W	840
YBR006W	1648
YBR007C	2497
YBR008C	2381
YBR009C	480
YBR010W	592
YBR011C	1128
YBR013C	689
tT(AGU)B	73
YBR014C	888
YBR015C	2080
YBR016W	672
YBR017C	2928
YBR018C	1101
YBR019C	2100
YBR020W	2448
YBR021W	2168
YBR022W	728
YBR023C	3816
YBR024W	1216
YBR025C	1608
YBR026C	1344
YBR028C	1728
YBR029C	1552
YBR030W	1968
YBR031W	1224
YBR033W	2760
YBR034C	1264
YBR035C	848
snR161	161
TLC1	1301
YBR036C	1512
YBR037C	952
YBR038W	3128
YBR039W	1160
YBR040W	897
YBR041W	2160
YBR042C	1253
YBR043C	2384
YBR044C	1865
tV(UAC)B	74
YBR045C	2081
YBR046C	1328
YBR047W	640
YBR048W	793
YBR049C	2744
YBR050C	1144
YBR052C	752
YBR053C	1136
YBR054W	2008
YBR055C	2824
tL(UAA)B2	84
YBR056W	1640
tQ(UUG)B	72
YBR057C	1328
YBR058C	2488
YBR058C-A	488
YBR059C	3568
YBR060C	1976
YBR061C	1136
YBR062C	669
YBR063C	1215
YBR065C	1095
YBR066C	800
YBR067C	848
